   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00250983, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00535407, 0, 2.43037e-18, 0, 1.41421, -2.43037e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13142e-20, 0, 0, 1.53217e-23, 2.6552e-20, 0, 2.38248e-18, 0, 0, 0
0.013218, 0, 4.60218e-18, 0, 1.41421, -4.60218e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03522e-20, 0, 0, 2.94463e-23, 5.12652e-20, 0, 4.51053e-18, 0, 0, 0
0.0210819, 0, 8.64094e-18, 0, 1.41421, -8.64094e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57474e-20, 0, 0, 5.61221e-23, 9.81624e-20, 0, 8.46698e-18, 0, 0, 0
0.0289458, 0, 1.60898e-17, 0, 1.41421, -1.60898e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41013e-19, 0, 0, 1.06098e-22, 1.86454e-19, 0, 1.57623e-17, 0, 0, 0
0.0368097, 0, 2.97178e-17, 0, 1.41421, -2.97178e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60387e-19, 0, 0, 1.98991e-22, 3.514e-19, 0, 2.91058e-17, 0, 0, 0
0.0446736, 0, 5.44536e-17, 0, 1.41421, -5.44536e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77003e-19, 0, 0, 3.70333e-22, 6.57239e-19, 0, 5.3319e-17, 0, 0, 0
0.0525375, 0, 9.90037e-17, 0, 1.41421, -9.90037e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.6703e-19, 0, 0, 6.83998e-22, 1.22018e-18, 0, 9.69158e-17, 0, 0, 0
0.0604014, 0, 1.78629e-16, 0, 1.41421, -1.78629e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56393e-18, 0, 0, 1.25396e-21, 2.24896e-18, 0, 1.74815e-16, 0, 0, 0
0.0682653, 0, 3.19879e-16, 0, 1.41421, -3.19879e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79982e-18, 0, 0, 2.28217e-21, 4.11596e-18, 0, 3.12961e-16, 0, 0, 0
0.0761292, 0, 5.68599e-16, 0, 1.41421, -5.68599e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97534e-18, 0, 0, 4.12378e-21, 7.48099e-18, 0, 5.56139e-16, 0, 0, 0
0.0839931, 0, 1.00337e-15, 0, 1.41421, -1.00337e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77697e-18, 0, 0, 7.39917e-21, 1.35056e-17, 0, 9.81082e-16, 0, 0, 0
0.091857, 0, 1.75792e-15, 0, 1.41421, -1.75792e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53724e-17, 0, 0, 1.31844e-20, 2.4221e-17, 0, 1.71831e-15, 0, 0, 0
0.0997209, 0, 3.05815e-15, 0, 1.41421, -3.05815e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67334e-17, 0, 0, 2.33331e-20, 4.31571e-17, 0, 2.98824e-15, 0, 0, 0
0.107585, 0, 5.28302e-15, 0, 1.41421, -5.28302e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6166e-17, 0, 0, 4.10168e-20, 7.64101e-17, 0, 5.16041e-15, 0, 0, 0
0.115449, 0, 9.09957e-15, 0, 1.41421, -9.09957e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94832e-17, 0, 0, 7.20545e-20, 1.35436e-16, 0, 8.88458e-15, 0, 0, 0
0.123313, 0, 1.5498e-14, 0, 1.41421, -1.5498e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35319e-16, 0, 0, 1.24932e-19, 2.36694e-16, 0, 1.51259e-14, 0, 0, 0
0.131177, 0, 2.62192e-14, 0, 1.41421, -2.62192e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28835e-16, 0, 0, 2.15237e-19, 4.11194e-16, 0, 2.5579e-14, 0, 0, 0
