   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_615.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0131437, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00526517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00261334, 0, 5.26695e-15, 0, 1.41421, -5.26695e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19697e-18, 0, 0, 1.17031e-17, 0, 8.82093e-19, 0, 5.24917e-15, 0, 0, 0
0.0104919, 0, 8.39669e-15, 0, 1.41421, -8.39669e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28474e-18, 0, 0, 1.89958e-17, 0, 1.44985e-18, 0, 8.36796e-15, 0, 0, 0
0.0183704, 0, 1.33198e-14, 0, 1.41421, -1.33198e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31416e-17, 0, 0, 3.06855e-17, 0, 2.37241e-18, 0, 1.32736e-14, 0, 0, 0
0.0262489, 0, 2.10256e-14, 0, 1.41421, -2.10256e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07433e-17, 0, 0, 4.9335e-17, 0, 3.86492e-18, 0, 2.09516e-14, 0, 0, 0
0.0341274, 0, 3.30275e-14, 0, 1.41421, -3.30275e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25825e-17, 0, 0, 7.89497e-17, 0, 6.26897e-18, 0, 3.29097e-14, 0, 0, 0
0.0420059, 0, 5.16297e-14, 0, 1.41421, -5.16297e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09316e-17, 0, 0, 1.2576e-16, 0, 1.01245e-17, 0, 5.14429e-14, 0, 0, 0
0.0498844, 0, 8.03222e-14, 0, 1.41421, -8.03222e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92322e-17, 0, 0, 1.99415e-16, 0, 1.62816e-17, 0, 8.00273e-14, 0, 0, 0
0.0577629, 0, 1.24365e-13, 0, 1.41421, -1.24365e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22671e-16, 0, 0, 3.14786e-16, 0, 2.60724e-17, 0, 1.23901e-13, 0, 0, 0
