   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_167.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.201273, 0, 1.96266e-20, 0, 1.41421, -1.96266e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35466e-22, 0, 0, 8.04194e-26, 1.14556e-24, 0, 1.94899e-20, 0, 0, 0
0.209139, 0, 5.38229e-20, 0, 1.41421, -5.38229e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71495e-22, 0, 0, 2.21852e-25, 3.22625e-24, 0, 5.3448e-20, 0, 0, 0
0.217005, 0, 1.44554e-19, 0, 1.41421, -1.44554e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97737e-22, 0, 0, 5.99569e-25, 8.88867e-24, 0, 1.43547e-19, 0, 0, 0
0.224871, 0, 3.80573e-19, 0, 1.41421, -3.80573e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62677e-21, 0, 0, 1.5889e-24, 2.39835e-23, 0, 3.77921e-19, 0, 0, 0
0.232737, 0, 9.82958e-19, 0, 1.41421, -9.82958e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78451e-21, 0, 0, 4.13228e-24, 6.34361e-23, 0, 9.76106e-19, 0, 0, 0
0.240604, 0, 2.55157e-18, 0, 1.41421, -2.55157e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76113e-20, 0, 0, 1.08288e-23, 1.6948e-22, 0, 2.53378e-18, 0, 0, 0
0.24847, 0, 6.33556e-18, 0, 1.41421, -6.33556e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37287e-20, 0, 0, 2.70917e-23, 4.30183e-22, 0, 6.29137e-18, 0, 0, 0
0.256336, 0, 1.54684e-17, 0, 1.41421, -1.54684e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06765e-19, 0, 0, 6.66721e-23, 1.07327e-21, 0, 1.53605e-17, 0, 0, 0
0.264202, 0, 3.71517e-17, 0, 1.41421, -3.71517e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56424e-19, 0, 0, 1.61472e-22, 2.63331e-21, 0, 3.68925e-17, 0, 0, 0
0.272068, 0, 8.78135e-17, 0, 1.41421, -8.78135e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06094e-19, 0, 0, 3.85023e-22, 6.35696e-21, 0, 8.72007e-17, 0, 0, 0
0.279934, 0, 2.04334e-16, 0, 1.41421, -2.04334e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41032e-18, 0, 0, 9.04212e-22, 1.51052e-20, 0, 2.02908e-16, 0, 0, 0
0.2878, 0, 4.68236e-16, 0, 1.41421, -4.68236e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23177e-18, 0, 0, 2.0922e-21, 3.53429e-20, 0, 4.64967e-16, 0, 0, 0
0.295666, 0, 1.05694e-15, 0, 1.41421, -1.05694e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29499e-18, 0, 0, 4.77108e-21, 8.14568e-20, 0, 1.04956e-15, 0, 0, 0
0.303532, 0, 2.35081e-15, 0, 1.41421, -2.35081e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62251e-17, 0, 0, 1.0726e-20, 1.84987e-19, 0, 2.33439e-15, 0, 0, 0
0.311399, 0, 5.15304e-15, 0, 1.41421, -5.15304e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55657e-17, 0, 0, 2.37786e-20, 4.14069e-19, 0, 5.11704e-15, 0, 0, 0
0.319265, 0, 1.11348e-14, 0, 1.41421, -1.11348e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68505e-17, 0, 0, 5.19966e-20, 9.13766e-19, 0, 1.1057e-14, 0, 0, 0
0.327131, 0, 2.37224e-14, 0, 1.41421, -2.37224e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63727e-16, 0, 0, 1.1218e-19, 1.98858e-18, 0, 2.35566e-14, 0, 0, 0
0.334997, 0, 4.98388e-14, 0, 1.41421, -4.98388e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43975e-16, 0, 0, 2.38846e-19, 4.26874e-18, 0, 4.94903e-14, 0, 0, 0
0.342863, 0, 1.03272e-13, 0, 1.41421, -1.03272e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12751e-16, 0, 0, 5.01979e-19, 9.04072e-18, 0, 1.02549e-13, 0, 0, 0
