   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_262.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00137438, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.006488, 0, 1.66477e-18, 0, 1.41421, -1.66477e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6704e-19, 0, 1.19773e-18, 0, 0
0.0143504, 0, 3.16895e-18, 0, 1.41421, -3.16895e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.01008e-19, 0, 2.26794e-18, 0, 0
0.0222128, 0, 5.98176e-18, 0, 1.41421, -5.98176e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72389e-18, 0, 4.25788e-18, 0, 0
0.0300751, 0, 1.11992e-17, 0, 1.41421, -1.11992e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27188e-18, 0, 7.92737e-18, 0, 0
0.0379375, 0, 2.08009e-17, 0, 1.41421, -2.08009e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16158e-18, 0, 1.46393e-17, 0, 0
0.0457999, 0, 3.83344e-17, 0, 1.41421, -3.83344e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15155e-17, 0, 2.68189e-17, 0, 0
0.0536623, 0, 7.01106e-17, 0, 1.41421, -7.01106e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13626e-17, 0, 4.8748e-17, 0, 0
0.0615247, 0, 1.27273e-16, 0, 1.41421, -1.27273e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93445e-17, 0, 8.79285e-17, 0, 0
0.0693871, 0, 2.29357e-16, 0, 1.41421, -2.29357e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19526e-17, 0, 1.57405e-16, 0, 0
