   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_590.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00308793, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00477561, 0, 4.09986e-20, 0, 1.41421, -4.09986e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32048e-23, 0, 0, 4.51601e-25, 0, 1.05533e-20, 0, 3.04317e-20, 0, 0
0.0126392, 0, 8.51835e-20, 0, 1.41421, -8.51835e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7296e-23, 0, 0, 9.45376e-25, 0, 2.22491e-20, 0, 6.29062e-20, 0, 0
0.0205027, 0, 1.75029e-19, 0, 1.41421, -1.75029e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57982e-23, 0, 0, 1.95747e-24, 0, 4.63795e-20, 0, 1.28592e-19, 0, 0
0.0283662, 0, 3.55807e-19, 0, 1.41421, -3.55807e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12841e-22, 0, 0, 4.01056e-24, 0, 9.56388e-20, 0, 2.60052e-19, 0, 0
0.0362298, 0, 7.15865e-19, 0, 1.41421, -7.15865e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25836e-22, 0, 0, 8.13377e-24, 0, 1.95172e-19, 0, 5.20459e-19, 0, 0
0.0440933, 0, 1.42596e-18, 0, 1.41421, -1.42596e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47445e-22, 0, 0, 1.63343e-23, 0, 3.94313e-19, 0, 1.03118e-18, 0, 0
0.0519569, 0, 2.81302e-18, 0, 1.41421, -2.81302e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77877e-22, 0, 0, 3.24905e-23, 0, 7.88958e-19, 0, 2.02315e-18, 0, 0
0.0598204, 0, 5.49734e-18, 0, 1.41421, -5.49734e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70604e-21, 0, 0, 6.403e-23, 0, 1.56385e-18, 0, 3.93172e-18, 0, 0
0.0676839, 0, 1.06452e-17, 0, 1.41421, -1.06452e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28478e-21, 0, 0, 1.2505e-22, 0, 3.07174e-18, 0, 7.57007e-18, 0, 0
0.0755475, 0, 2.04306e-17, 0, 1.41421, -2.04306e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26729e-21, 0, 0, 2.42078e-22, 0, 5.98051e-18, 0, 1.44435e-17, 0, 0
0.083411, 0, 3.88706e-17, 0, 1.41421, -3.88706e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18521e-20, 0, 0, 4.6461e-22, 0, 1.15442e-17, 0, 2.73142e-17, 0, 0
0.0912746, 0, 7.33273e-17, 0, 1.41421, -7.33273e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22191e-20, 0, 0, 8.84228e-22, 0, 2.20981e-17, 0, 5.12061e-17, 0, 0
0.0991381, 0, 1.37179e-16, 0, 1.41421, -1.37179e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12999e-20, 0, 0, 1.669e-21, 0, 4.1957e-17, 0, 9.51795e-17, 0, 0
0.107002, 0, 2.54547e-16, 0, 1.41421, -2.54547e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61247e-20, 0, 0, 3.12491e-21, 0, 7.90309e-17, 0, 1.75436e-16, 0, 0
0.114865, 0, 4.68561e-16, 0, 1.41421, -4.68561e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3916e-19, 0, 0, 5.80453e-21, 0, 1.47709e-16, 0, 3.20707e-16, 0, 0
0.122729, 0, 8.55763e-16, 0, 1.41421, -8.55763e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52331e-19, 0, 0, 1.06981e-20, 0, 2.73979e-16, 0, 5.81521e-16, 0, 0
