   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_321.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00315215, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00471333, 0, 3.30046e-22, 0, 1.41421, -3.30046e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21533e-23, 0, 2.87893e-22, 0, 0, 0
0.0125788, 0, 7.91184e-22, 0, 1.41421, -7.91184e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03286e-22, 0, 6.87898e-22, 0, 0, 0
0.0204443, 0, 1.8644e-21, 0, 1.41421, -1.8644e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48498e-22, 0, 1.61591e-21, 0, 0, 0
0.0283098, 0, 4.32308e-21, 0, 1.41421, -4.32308e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87749e-22, 0, 3.73533e-21, 0, 0, 0
0.0361753, 0, 9.87208e-21, 0, 1.41421, -9.87208e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36799e-21, 0, 8.50409e-21, 0, 0, 0
0.0440407, 0, 2.22184e-20, 0, 1.41421, -2.22184e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13603e-21, 0, 1.90823e-20, 0, 0, 0
0.0519062, 0, 4.93163e-20, 0, 1.41421, -4.93163e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08626e-21, 0, 4.223e-20, 0, 0, 0
0.0597717, 0, 1.08018e-19, 0, 1.41421, -1.08018e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57939e-20, 0, 9.22243e-20, 0, 0, 0
0.0676372, 0, 2.33593e-19, 0, 1.41421, -2.33593e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47425e-20, 0, 1.9885e-19, 0, 0, 0
