   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.18315, 0, 1.75491e-12, 0, 1.41421, -1.75491e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25514e-14, 0, 0, 3.81261e-16, 0, 7.27822e-15, 0, 1.6747e-12, 0, 0, 0
0.190999, 0, 2.74966e-12, 0, 1.41421, -2.74966e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13667e-13, 0, 0, 6.11465e-16, 0, 1.17906e-14, 0, 2.62359e-12, 0, 0, 0
0.198848, 0, 4.28426e-12, 0, 1.41421, -4.28426e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77093e-13, 0, 0, 9.76011e-16, 0, 1.90133e-14, 0, 4.08718e-12, 0, 0, 0
0.206697, 0, 6.63832e-12, 0, 1.41421, -6.63832e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74383e-13, 0, 0, 1.55067e-15, 0, 3.05236e-14, 0, 6.33186e-12, 0, 0, 0
0.214546, 0, 1.0229e-11, 0, 1.41421, -1.0229e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22778e-13, 0, 0, 2.45263e-15, 0, 4.87867e-14, 0, 9.75497e-12, 0, 0, 0
0.222395, 0, 1.56751e-11, 0, 1.41421, -1.56751e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47859e-13, 0, 0, 3.86246e-15, 0, 7.7643e-14, 0, 1.49457e-11, 0, 0, 0
0.230245, 0, 2.38892e-11, 0, 1.41421, -2.38892e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87351e-13, 0, 0, 6.05758e-15, 0, 1.2305e-13, 0, 2.27727e-11, 0, 0, 0
0.238094, 0, 3.62087e-11, 0, 1.41421, -3.62087e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49657e-12, 0, 0, 9.46292e-15, 0, 1.94218e-13, 0, 3.45085e-11, 0, 0, 0
0.245943, 0, 5.45827e-11, 0, 1.41421, -5.45827e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25616e-12, 0, 0, 1.47279e-14, 0, 3.05336e-13, 0, 5.20064e-11, 0, 0, 0
0.253792, 0, 8.18343e-11, 0, 1.41421, -8.18343e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.383e-12, 0, 0, 2.28433e-14, 0, 4.78195e-13, 0, 7.79503e-11, 0, 0, 0
0.261641, 0, 1.22029e-10, 0, 1.41421, -1.22029e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04553e-12, 0, 0, 3.5318e-14, 0, 7.4616e-13, 0, 1.16202e-10, 0, 0, 0
0.26949, 0, 1.80988e-10, 3.08286e-43, 1.41421, -1.80988e-10, 0, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 3.08286e-43, 7.48508e-12, 3.08286e-43, 3.08286e-43, 5.44476e-14, 3.08286e-43, 1.16017e-12, 3.08286e-43, 1.72288e-10, 3.08286e-43, 3.08286e-43, 3.08286e-43
0.277339, 0, 2.66993e-10, 5.24366e-42, 1.41421, -2.66993e-10, 0, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 5.24366e-42, 1.10455e-11, 5.24366e-42, 5.24366e-42, 8.37226e-14, 5.24366e-42, 1.79782e-12, 5.24366e-42, 2.54066e-10, 5.24366e-42, 5.24366e-42, 5.24366e-42
0.285188, 0, 3.91765e-10, 7.49162e-41, 1.41421, -3.91765e-10, 0, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 7.49162e-41, 1.6214e-11, 7.49162e-41, 7.49162e-41, 1.28449e-13, 7.49162e-41, 2.777e-12, 7.49162e-41, 3.72645e-10, 7.49162e-41, 7.49162e-41, 7.49162e-41
0.293038, 0, 5.71789e-10, 9.47828e-40, 1.41421, -5.71789e-10, 0, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 9.47828e-40, 2.3677e-11, 9.47828e-40, 9.47828e-40, 1.96695e-13, 9.47828e-40, 4.27647e-12, 9.47828e-40, 5.43638e-10, 9.47828e-40, 9.47828e-40, 9.47828e-40
0.300887, 0, 8.30119e-10, 1.07504e-38, 1.41421, -8.30119e-10, 0, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 1.07504e-38, 3.43964e-11, 1.07504e-38, 1.07504e-38, 3.00729e-13, 1.07504e-38, 6.56677e-12, 1.07504e-38, 7.88855e-10, 1.07504e-38, 1.07504e-38, 1.07504e-38
0.308736, 0, 1.19882e-09, 1.10064e-37, 1.41421, -1.19882e-09, 0, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 1.10064e-37, 4.97129e-11, 1.10064e-37, 1.10064e-37, 4.59226e-13, 1.10064e-37, 1.00567e-11, 1.10064e-37, 1.13859e-09, 1.10064e-37, 1.10064e-37, 1.10064e-37
