   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_523.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00293323, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00493, 0, 1.3072e-15, 0, 1.41421, -1.3072e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02179e-18, 0, 6.58358e-17, 0, 1.23834e-15, 0, 0, 0
0.0127932, 0, 2.15773e-15, 0, 1.41421, -2.15773e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06773e-18, 0, 1.11469e-16, 0, 2.04119e-15, 0, 0, 0
0.0206565, 0, 3.54239e-15, 0, 1.41421, -3.54239e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45389e-18, 0, 1.87803e-16, 0, 3.34613e-15, 0, 0, 0
0.0285197, 0, 5.78457e-15, 0, 1.41421, -5.78457e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4029e-17, 0, 3.14876e-16, 0, 5.45567e-15, 0, 0, 0
0.0363829, 0, 9.39613e-15, 0, 1.41421, -9.39613e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31606e-17, 0, 5.25409e-16, 0, 8.84756e-15, 0, 0, 0
0.0442461, 0, 1.51829e-14, 0, 1.41421, -1.51829e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80415e-17, 0, 8.72583e-16, 0, 1.42723e-14, 0, 0, 0
0.0521094, 0, 2.44071e-14, 0, 1.41421, -2.44071e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.217e-17, 0, 1.44243e-15, 0, 2.29025e-14, 0, 0, 0
0.0599726, 0, 3.90347e-14, 0, 1.41421, -3.90347e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01099e-16, 0, 2.37348e-15, 0, 3.65601e-14, 0, 0, 0
0.0678358, 0, 6.2113e-14, 0, 1.41421, -6.2113e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.636e-16, 0, 3.88781e-15, 0, 5.80616e-14, 0, 0, 0
0.0756991, 0, 9.83399e-14, 0, 1.41421, -9.83399e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6346e-16, 0, 6.33976e-15, 0, 9.17367e-14, 0, 0, 0
0.0835623, 0, 1.54922e-13, 0, 1.41421, -1.54922e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22246e-16, 0, 1.02922e-14, 0, 1.44207e-13, 0, 0, 0
0.0914255, 0, 2.42854e-13, 0, 1.41421, -2.42854e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73535e-16, 0, 1.66354e-14, 0, 2.25545e-13, 0, 0, 0
0.0992887, 0, 3.78834e-13, 0, 1.41421, -3.78834e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06936e-15, 0, 2.67708e-14, 0, 3.50993e-13, 0, 0, 0
0.107152, 0, 5.88081e-13, 0, 1.41421, -5.88081e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69e-15, 0, 4.28993e-14, 0, 5.43492e-13, 0, 0, 0
0.115015, 0, 9.08505e-13, 0, 1.41421, -9.08505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65872e-15, 0, 6.84534e-14, 0, 8.37393e-13, 0, 0, 0
0.122878, 0, 1.3968e-12, 0, 1.41421, -1.3968e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16404e-15, 0, 1.08771e-13, 0, 1.28386e-12, 0, 0, 0
0.130742, 0, 2.13731e-12, 0, 1.41421, -2.13731e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49301e-15, 0, 1.72119e-13, 0, 1.9587e-12, 0, 0, 0
0.138605, 0, 3.25498e-12, 0, 1.41421, -3.25498e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00812e-14, 0, 2.71244e-13, 0, 2.97366e-12, 0, 0, 0
0.146468, 0, 4.93387e-12, 0, 1.41421, -4.93387e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55867e-14, 0, 4.25724e-13, 0, 4.49256e-12, 0, 0, 0
0.154331, 0, 7.4439e-12, 0, 1.41421, -7.4439e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4e-14, 0, 6.65515e-13, 0, 6.75438e-12, 0, 0, 0
0.162195, 0, 1.11867e-11, 0, 1.41421, -1.11867e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68755e-14, 0, 1.03867e-12, 0, 1.01112e-11, 0, 0, 0
0.170058, 0, 1.67216e-11, 0, 1.41421, -1.67216e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63331e-14, 0, 1.61082e-12, 0, 1.50545e-11, 0, 0, 0
0.177921, 0, 2.48815e-11, 0, 1.41421, -2.48815e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5739e-14, 0, 2.48864e-12, 0, 2.23071e-11, 0, 0, 0
0.185784, 0, 3.68565e-11, 0, 1.41421, -3.68565e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30031e-13, 0, 3.83051e-12, 0, 3.2896e-11, 0, 0, 0
0.193647, 0, 5.43511e-11, 0, 1.41421, -5.43511e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96539e-13, 0, 5.87437e-12, 0, 4.82802e-11, 0, 0, 0
0.201511, 0, 7.97954e-11, 0, 1.41421, -7.97954e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96118e-13, 0, 8.97661e-12, 0, 7.05227e-11, 0, 0, 0
0.209374, 0, 1.16639e-10, 0, 1.41421, -1.16639e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44822e-13, 0, 1.36693e-11, 0, 1.02525e-10, 0, 0, 0
0.217237, 0, 1.69756e-10, 0, 1.41421, -1.69756e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66364e-13, 0, 2.07444e-11, 0, 1.48345e-10, 0, 0, 0
0.2251, 0, 2.46006e-10, 0, 1.41421, -2.46006e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.95745e-13, 0, 3.13778e-11, 0, 2.13633e-10, 0, 0, 0
0.232964, 0, 3.55006e-10, 0, 1.41421, -3.55006e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48461e-12, 0, 4.73102e-11, 0, 3.06211e-10, 0, 0, 0
0.240827, 0, 5.10176e-10, 3.58732e-43, 1.41421, -5.10176e-10, 0, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 2.20915e-12, 3.58732e-43, 7.11125e-11, 3.58732e-43, 4.36854e-10, 3.58732e-43, 3.58732e-43, 3.58732e-43
0.24869, 0, 7.30183e-10, 5.79997e-42, 1.41421, -7.30183e-10, 0, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 5.79997e-42, 3.2818e-12, 5.79997e-42, 1.06573e-10, 5.79997e-42, 6.20329e-10, 5.79997e-42, 5.79997e-42, 5.79997e-42
0.256553, 0, 1.0409e-09, 7.90669e-41, 1.41421, -1.0409e-09, 0, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 7.90669e-41, 4.86861e-12, 7.90669e-41, 1.5926e-10, 7.90669e-41, 8.76767e-10, 7.90669e-41, 7.90669e-41, 7.90669e-41
0.264417, 0, 1.47803e-09, 9.56919e-40, 1.41421, -1.47803e-09, 0, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 9.56919e-40, 7.21497e-12, 9.56919e-40, 2.37347e-10, 9.56919e-40, 1.23347e-09, 9.56919e-40, 9.56919e-40, 9.56919e-40
0.27228, 0, 2.09076e-09, 1.0405e-38, 1.41421, -2.09076e-09, 0, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.0405e-38, 1.06838e-11, 1.0405e-38, 3.52799e-10, 1.0405e-38, 1.72728e-09, 1.0405e-38, 1.0405e-38, 1.0405e-38
0.280143, 0, 2.94657e-09, 1.02317e-37, 1.41421, -2.94657e-09, 0, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.02317e-37, 1.58125e-11, 1.02317e-37, 5.23109e-10, 1.02317e-37, 2.40765e-09, 1.02317e-37, 1.02317e-37, 1.02317e-37
0.288006, 0, 4.13783e-09, 9.14776e-37, 1.41421, -4.13783e-09, 0, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 9.14776e-37, 2.33977e-11, 9.14776e-37, 7.73803e-10, 9.14776e-37, 3.34063e-09, 9.14776e-37, 9.14776e-37, 9.14776e-37
0.295869, 0, 5.79068e-09, 7.4745e-36, 1.41421, -5.79068e-09, 0, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 7.4745e-36, 3.46207e-11, 7.4745e-36, 1.14207e-09, 7.4745e-36, 4.61399e-09, 7.4745e-36, 7.4745e-36, 7.4745e-36
0.303733, 0, 8.07698e-09, 5.60905e-35, 1.41421, -8.07698e-09, 0, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.60905e-35, 5.12353e-11, 5.60905e-35, 1.68201e-09, 5.60905e-35, 6.34373e-09, 5.60905e-35, 5.60905e-35, 5.60905e-35
0.311596, 0, 1.12305e-08, 3.83789e-34, 1.41421, -1.12305e-08, 0, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 3.83789e-34, 7.58454e-11, 3.83789e-34, 2.47214e-09, 3.83789e-34, 8.68247e-09, 3.83789e-34, 3.83789e-34, 3.83789e-34
0.319459, 0, 1.55685e-08, 2.5736e-33, 1.41421, -1.55685e-08, 0, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 2.5736e-33, 1.12318e-10, 2.5736e-33, 3.62631e-09, 2.5736e-33, 1.18299e-08, 2.5736e-33, 2.5736e-33, 2.5736e-33
0.327322, 0, 2.15217e-08, 1.56554e-32, 1.41421, -2.15217e-08, 0, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.56554e-32, 1.66393e-10, 1.56554e-32, 5.30925e-09, 1.56554e-32, 1.6046e-08, 1.56554e-32, 1.56554e-32, 1.56554e-32
0.335186, 0, 2.96731e-08, 8.94676e-32, 1.41421, -2.96731e-08, 0, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 8.94676e-32, 2.46583e-10, 8.94676e-32, 7.75876e-09, 8.94676e-32, 2.16678e-08, 8.94676e-32, 8.94676e-32, 8.94676e-32
0.343049, 0, 4.08124e-08, 4.93889e-31, 1.41421, -4.08124e-08, 0, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 4.93889e-31, 3.65503e-10, 4.93889e-31, 1.13175e-08, 4.93889e-31, 2.91293e-08, 4.93889e-31, 4.93889e-31, 4.93889e-31
0.350912, 0, 5.60078e-08, 2.5751e-30, 1.41421, -5.60078e-08, 0, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 2.5751e-30, 5.41805e-10, 2.5751e-30, 1.64782e-08, 2.5751e-30, 3.89878e-08, 2.5751e-30, 2.5751e-30, 2.5751e-30
0.358775, 0, 7.67043e-08, 1.26214e-29, 1.41421, -7.67043e-08, 0, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 1.26214e-29, 8.03018e-10, 1.26214e-29, 2.39469e-08, 1.26214e-29, 5.19544e-08, 1.26214e-29, 1.26214e-29, 1.26214e-29
0.366639, 0, 1.04855e-07, 5.8414e-29, 1.41421, -1.04855e-07, 0, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 5.8414e-29, 1.18966e-09, 5.8414e-29, 3.47332e-08, 5.8414e-29, 6.8932e-08, 5.8414e-29, 5.8414e-29, 5.8414e-29
0.374502, 0, 1.43099e-07, 2.58303e-28, 1.41421, -1.43099e-07, 0, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 2.58303e-28, 1.76121e-09, 2.58303e-28, 5.02757e-08, 2.58303e-28, 9.10626e-08, 2.58303e-28, 2.58303e-28, 2.58303e-28
0.382365, 0, 1.95004e-07, 1.08642e-27, 1.41421, -1.95004e-07, 0, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 1.08642e-27, 2.60464e-09, 1.08642e-27, 7.26168e-08, 1.08642e-27, 1.19782e-07, 1.08642e-27, 1.08642e-27, 1.08642e-27
0.390228, 0, 2.65381e-07, 4.3451e-27, 1.41421, -2.65381e-07, 0, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 4.3451e-27, 3.84667e-09, 4.3451e-27, 1.04646e-07, 4.3451e-27, 1.56889e-07, 4.3451e-27, 4.3451e-27, 4.3451e-27
0.398091, 0, 3.60726e-07, 1.65564e-26, 1.41421, -3.60726e-07, 0, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 1.65564e-26, 5.67119e-09, 1.65564e-26, 1.50433e-07, 1.65564e-26, 2.04622e-07, 1.65564e-26, 1.65564e-26, 1.65564e-26
0.405955, 0, 4.89788e-07, 6.02217e-26, 1.41421, -4.89788e-07, 0, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 3.72776e-13, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 6.02217e-26, 8.34383e-09, 6.02217e-26, 2.15684e-07, 6.02217e-26, 2.65759e-07, 6.02217e-26, 6.02217e-26, 6.02217e-26
0.413818, 0, 6.64341e-07, 2.09557e-25, 1.41421, -6.64341e-07, 0, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 1.12208e-12, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 2.09557e-25, 1.22465e-08, 2.09557e-25, 3.08365e-07, 2.09557e-25, 3.43729e-07, 2.09557e-25, 2.09557e-25, 2.09557e-25
0.421681, 0, 9.01128e-07, 7.07425e-25, 1.41421, -9.01128e-07, 0, 3.06728e-12, 8.86759e-12, 9.03335e-11, 2.00609e-12, 9.22084e-11, 2.57758e-10, 1.14585e-11, 1.90958e-11, 9.41533e-11, 1.61377e-11, 2.56289e-10, 6.29305e-12, 2.3208e-13, 1.79258e-08, 1.2604e-14, 4.39532e-07, 1.09741e-15, 4.42789e-07, 7.07425e-25, 7.07425e-25, 2.2962e-11
0.429544, 0, 1.22145e-06, 1.06651e-10, 1.41421, -1.22145e-06, 1.06651e-10, 1.15853e-10, 1.33255e-10, 3.77663e-10, 1.1267e-10, 3.83287e-10, 8.79956e-10, 1.41028e-10, 1.61611e-10, 3.89123e-10, 1.55066e-10, 8.7555e-10, 1.25531e-10, 1.07347e-10, 2.62672e-08, 1.06793e-10, 6.24565e-07, 1.06654e-10, 5.68193e-07, 1.06651e-10, 1.06651e-10, 1.7554e-10
0.437408, 0, 1.65452e-06, 3.18356e-10, 1.41421, -1.65452e-06, 3.18356e-10, 3.39635e-10, 3.79872e-10, 9.45014e-10, 3.32273e-10, 9.5802e-10, 2.10646e-09, 3.97846e-10, 4.4375e-10, 9.71513e-10, 4.30306e-10, 2.09627e-09, 3.62012e-10, 3.19966e-10, 3.83711e-08, 3.18872e-10, 8.84426e-07, 3.18364e-10, 7.26258e-07, 3.18356e-10, 3.18356e-10, 4.77647e-10
0.445271, 0, 2.23992e-06, 7.32e-10, 1.41421, -2.23992e-06, 7.32e-10, 7.76689e-10, 8.61198e-10, 2.04813e-09, 7.61228e-10, 2.07544e-09, 4.48744e-09, 8.98947e-10, 9.93639e-10, 2.10378e-09, 9.6712e-10, 4.46605e-09, 8.23688e-10, 7.35382e-10, 5.5886e-08, 7.33325e-10, 1.24783e-06, 7.32016e-10, 9.24852e-07, 7.32e-10, 7.32e-10, 1.06655e-09
0.453134, 0, 3.031e-06, 1.52929e-09, 1.41421, -3.031e-06, 1.52929e-09, 1.61869e-09, 1.78776e-09, 4.1623e-09, 1.58776e-09, 4.21695e-09, 9.04234e-09, 1.86328e-09, 2.0506e-09, 4.27364e-09, 1.99967e-09, 8.99953e-09, 1.71272e-09, 1.53605e-09, 8.11669e-08, 1.53227e-09, 1.75379e-06, 1.52932e-09, 1.17347e-06, 1.52929e-09, 1.52929e-09, 2.19858e-09
0.460997, 0, 4.10013e-06, 3.04661e-09, 1.41421, -4.10013e-06, 3.04661e-09, 3.22017e-09, 3.54838e-09, 8.15815e-09, 3.16012e-09, 8.26424e-09, 1.76319e-08, 3.69499e-09, 4.05523e-09, 8.37429e-09, 3.95976e-09, 1.75488e-08, 3.4027e-09, 3.05974e-09, 1.17576e-07, 3.05285e-09, 2.45507e-06, 3.04667e-09, 1.4838e-06, 3.04661e-09, 3.04661e-09, 4.34592e-09
0.46886, 0, 5.54874e-06, 5.89724e-09, 1.41421, -5.54874e-06, 5.89724e-09, 6.2269e-09, 6.8503e-09, 1.5606e-08, 6.11284e-09, 1.58075e-08, 3.36003e-08, 7.12876e-09, 8.08915e-09, 1.60166e-08, 7.63166e-09, 3.34425e-08, 6.57359e-09, 5.92218e-09, 1.6992e-07, 5.90977e-09, 3.42551e-06, 5.89735e-09, 1.87029e-06, 5.89724e-09, 5.89724e-09, 8.36512e-09
0.476724, 0, 7.5068e-06, 1.11771e-08, 1.41421, -7.5068e-06, 1.11771e-08, 1.17922e-08, 1.29552e-08, 2.92898e-08, 1.15794e-08, 2.96658e-08, 6.28599e-08, 1.34747e-08, 1.5579e-08, 3.00557e-08, 1.44129e-08, 6.25655e-08, 1.2439e-08, 1.12237e-08, 2.45066e-07, 1.12016e-08, 4.75601e-06, 1.11774e-08, 2.35086e-06, 1.11771e-08, 1.11771e-08, 1.57812e-08
0.484587, 0, 1.01631e-05, 2.08164e-08, 1.41421, -1.01631e-05, 2.08164e-08, 2.19455e-08, 2.40808e-08, 5.40705e-08, 2.15549e-08, 5.47607e-08, 1.15704e-07, 2.50346e-08, 3.28015e-08, 5.54767e-08, 2.67571e-08, 1.15163e-07, 2.3133e-08, 2.09018e-08, 3.52851e-07, 2.08629e-08, 6.57447e-06, 2.08168e-08, 2.94812e-06, 2.08164e-08, 2.08164e-08, 2.92693e-08
0.49245, 0, 1.37704e-05, 3.81612e-08, 1.41421, -1.37704e-05, 3.81612e-08, 4.02033e-08, 4.4065e-08, 9.83032e-08, 3.94968e-08, 9.95515e-08, 2.09771e-07, 4.579e-08, 6.45908e-08, 1.00846e-07, 4.89053e-08, 2.08793e-07, 4.2351e-08, 3.83157e-08, 5.07483e-07, 3.82479e-08, 9.048e-06, 3.81619e-08, 3.69099e-06, 3.81612e-08, 3.81612e-08, 5.34488e-08
0.500313, 0, 1.86817e-05, 6.8922e-08, 1.41421, -1.86817e-05, 6.8922e-08, 7.25621e-08, 7.94456e-08, 1.76125e-07, 7.13027e-08, 1.7835e-07, 3.74815e-07, 8.25203e-08, 1.22462e-07, 1.80658e-07, 8.80733e-08, 3.73073e-07, 7.63902e-08, 6.91974e-08, 7.29278e-07, 6.90812e-08, 1.23967e-05, 6.89233e-08, 4.61723e-06, 6.8922e-08, 6.8922e-08, 9.61721e-08
