   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_85.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000857531, 0, 1.15573e-18, 0, 1.41421, -1.15573e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20856e-21, 0, 1.78228e-23, 3.27068e-22, 0, 1.15317e-18, 0, 0
0.00872783, 0, 2.19684e-18, 0, 1.41421, -2.19684e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19807e-21, 0, 3.44496e-23, 6.33052e-22, 0, 2.19197e-18, 0, 0
0.0165981, 0, 4.14076e-18, 0, 1.41421, -4.14076e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91278e-21, 0, 6.60342e-23, 1.21525e-21, 0, 4.13156e-18, 0, 0
0.0244684, 0, 7.74097e-18, 0, 1.41421, -7.74097e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47925e-20, 0, 1.25553e-22, 2.31435e-21, 0, 7.72374e-18, 0, 0
0.0323388, 0, 1.43558e-17, 0, 1.41421, -1.43558e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74329e-20, 0, 2.36838e-22, 4.37346e-21, 0, 1.43238e-17, 0, 0
0.0402091, 0, 2.64152e-17, 0, 1.41421, -2.64152e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04772e-20, 0, 4.43322e-22, 8.2025e-21, 0, 2.6356e-17, 0, 0
0.0480794, 0, 4.82332e-17, 0, 1.41421, -4.82332e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2169e-20, 0, 8.23587e-22, 1.52715e-20, 0, 4.81249e-17, 0, 0
0.0559497, 0, 8.7411e-17, 0, 1.41421, -8.7411e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67033e-19, 0, 1.51876e-21, 2.82298e-20, 0, 8.72143e-17, 0, 0
0.06382, 0, 1.57245e-16, 0, 1.41421, -1.57245e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00475e-19, 0, 2.7805e-21, 5.18201e-20, 0, 1.56889e-16, 0, 0
0.0716903, 0, 2.80821e-16, 0, 1.41421, -2.80821e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3661e-19, 0, 5.05442e-21, 9.44759e-20, 0, 2.80184e-16, 0, 0
0.0795606, 0, 4.9794e-16, 0, 1.41421, -4.9794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51487e-19, 0, 9.12407e-21, 1.71096e-19, 0, 4.96808e-16, 0, 0
0.0874309, 0, 8.82779e-16, 0, 1.41421, -8.82779e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68684e-18, 0, 1.65201e-20, 3.11224e-19, 0, 8.80764e-16, 0, 0
0.0953012, 0, 1.54237e-15, 0, 1.41421, -1.54237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94719e-18, 0, 2.93898e-20, 5.55841e-19, 0, 1.53884e-15, 0, 0
0.103171, 0, 2.6766e-15, 0, 1.41421, -2.6766e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11444e-18, 0, 5.19432e-20, 9.86568e-19, 0, 2.67045e-15, 0, 0
0.111042, 0, 4.61388e-15, 0, 1.41421, -4.61388e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8161e-18, 0, 9.12107e-20, 1.7404e-18, 0, 4.60324e-15, 0, 0
0.118912, 0, 7.90079e-15, 0, 1.41421, -7.90079e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50965e-17, 0, 1.59142e-19, 3.05182e-18, 0, 7.88248e-15, 0, 0
0.126782, 0, 1.34408e-14, 0, 1.41421, -1.34408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56818e-17, 0, 2.75926e-19, 5.31987e-18, 0, 1.34095e-14, 0, 0
0.134653, 0, 2.27171e-14, 0, 1.41421, -2.27171e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34061e-17, 0, 4.75448e-19, 9.21963e-18, 0, 2.2664e-14, 0, 0
0.142523, 0, 3.8149e-14, 0, 1.41421, -3.8149e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28913e-17, 0, 8.14234e-19, 1.58866e-17, 0, 3.80594e-14, 0, 0
0.150393, 0, 6.36554e-14, 0, 1.41421, -6.36554e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21625e-16, 0, 1.386e-18, 2.72203e-17, 0, 6.35052e-14, 0, 0
0.158264, 0, 1.05543e-13, 0, 1.41421, -1.05543e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01659e-16, 0, 2.34522e-18, 4.63798e-17, 0, 1.05293e-13, 0, 0
