   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_575.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00591569, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00194705, 0, 2.54023e-23, 0, 1.41421, -2.54023e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18013e-28, 0, 3.15199e-24, 0, 2.22502e-23, 0, 0, 0
0.0098098, 0, 6.64154e-23, 0, 1.41421, -6.64154e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11932e-28, 0, 8.44049e-24, 0, 5.79746e-23, 0, 0, 0
0.0176725, 0, 1.69612e-22, 0, 1.41421, -1.69612e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05571e-28, 0, 2.20355e-23, 0, 1.47575e-22, 0, 0, 0
0.0255353, 0, 4.25157e-22, 0, 1.41421, -4.25157e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04463e-27, 0, 5.64514e-23, 0, 3.68703e-22, 0, 0, 0
0.033398, 0, 1.04393e-21, 0, 1.41421, -1.04393e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08331e-27, 0, 1.41447e-22, 0, 9.02479e-22, 0, 0, 0
0.0412608, 0, 2.6875e-21, 0, 1.41421, -2.6875e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33456e-26, 0, 3.74661e-22, 0, 2.31282e-21, 0, 0, 0
0.0491235, 0, 6.31262e-21, 0, 1.41421, -6.31262e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17292e-26, 0, 8.95245e-22, 0, 5.41734e-21, 0, 0, 0
0.0569863, 0, 1.45944e-20, 0, 1.41421, -1.45944e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42563e-26, 0, 2.10417e-21, 0, 1.24902e-20, 0, 0, 0
0.064849, 0, 3.32368e-20, 0, 1.41421, -3.32368e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.712e-25, 0, 4.86909e-21, 0, 2.83675e-20, 0, 0, 0
0.0727118, 0, 7.46115e-20, 0, 1.41421, -7.46115e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89109e-25, 0, 1.11016e-20, 0, 6.35095e-20, 0, 0, 0
0.0805745, 0, 1.652e-19, 0, 1.41421, -1.652e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72371e-25, 0, 2.4957e-20, 0, 1.40242e-19, 0, 0, 0
0.0884373, 0, 3.60961e-19, 0, 1.41421, -3.60961e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93031e-24, 0, 5.53518e-20, 0, 3.05607e-19, 0, 0, 0
0.0963, 0, 7.78697e-19, 0, 1.41421, -7.78697e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21756e-24, 0, 1.21184e-19, 0, 6.57509e-19, 0, 0, 0
0.104163, 0, 1.65929e-18, 0, 1.41421, -1.65929e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10323e-24, 0, 2.62025e-19, 0, 1.39725e-18, 0, 0, 0
0.112025, 0, 3.49374e-18, 0, 1.41421, -3.49374e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94179e-23, 0, 5.5979e-19, 0, 2.93393e-18, 0, 0, 0
0.119888, 0, 7.27157e-18, 0, 1.41421, -7.27157e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09489e-23, 0, 1.18213e-18, 0, 6.08939e-18, 0, 0, 0
0.127751, 0, 1.49651e-17, 0, 1.41421, -1.49651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54007e-23, 0, 2.4685e-18, 0, 1.24965e-17, 0, 0, 0
0.135614, 0, 3.0463e-17, 0, 1.41421, -3.0463e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76194e-22, 0, 5.09887e-18, 0, 2.5364e-17, 0, 0, 0
0.143476, 0, 6.13524e-17, 0, 1.41421, -6.13524e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59716e-22, 0, 1.04215e-17, 0, 5.09305e-17, 0, 0, 0
0.151339, 0, 1.22282e-16, 0, 1.41421, -1.22282e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26904e-22, 0, 2.1083e-17, 0, 1.01198e-16, 0, 0, 0
0.159202, 0, 2.41253e-16, 0, 1.41421, -2.41253e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45429e-21, 0, 4.22278e-17, 0, 1.99023e-16, 0, 0, 0
0.167065, 0, 4.71252e-16, 0, 1.41421, -4.71252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88124e-21, 0, 8.37614e-17, 0, 3.87488e-16, 0, 0, 0
0.174927, 0, 9.11579e-16, 0, 1.41421, -9.11579e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6539e-21, 0, 1.64578e-16, 0, 7.46996e-16, 0, 0, 0
0.18279, 0, 1.74653e-15, 0, 1.41421, -1.74653e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09911e-20, 0, 3.20388e-16, 0, 1.42613e-15, 0, 0, 0
0.190653, 0, 3.31492e-15, 0, 1.41421, -3.31492e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11707e-20, 0, 6.1809e-16, 0, 2.6968e-15, 0, 0, 0
0.198516, 0, 6.23382e-15, 0, 1.41421, -6.23382e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04109e-20, 0, 1.18191e-15, 0, 5.05188e-15, 0, 0, 0
0.206378, 0, 1.16168e-14, 0, 1.41421, -1.16168e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6453e-20, 0, 2.24052e-15, 0, 9.37617e-15, 0, 0, 0
0.214241, 0, 2.14548e-14, 0, 1.41421, -2.14548e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43385e-19, 0, 4.21137e-15, 0, 1.72433e-14, 0, 0, 0
0.222104, 0, 3.92761e-14, 0, 1.41421, -3.92761e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66614e-19, 0, 7.85018e-15, 0, 3.14256e-14, 0, 0, 0
0.229967, 0, 7.12767e-14, 0, 1.41421, -7.12767e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91581e-19, 0, 1.45139e-14, 0, 5.67623e-14, 0, 0, 0
0.237829, 0, 1.28243e-13, 0, 1.41421, -1.28243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98876e-19, 0, 2.66195e-14, 0, 1.01622e-13, 0, 0, 0
0.245692, 0, 2.28787e-13, 0, 1.41421, -2.28787e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63027e-18, 0, 4.84386e-14, 0, 1.80347e-13, 0, 0, 0
0.253555, 0, 4.04754e-13, 0, 1.41421, -4.04754e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93319e-18, 0, 8.74632e-14, 0, 3.17287e-13, 0, 0, 0
0.261418, 0, 7.10161e-13, 0, 1.41421, -7.10161e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23608e-18, 0, 1.56742e-13, 0, 5.53413e-13, 0, 0, 0
0.26928, 0, 1.23588e-12, 0, 1.41421, -1.23588e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27547e-18, 0, 2.78827e-13, 0, 9.57041e-13, 0, 0, 0
0.277143, 0, 2.13348e-12, 0, 1.41421, -2.13348e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63083e-17, 0, 4.92421e-13, 0, 1.64105e-12, 0, 0, 0
0.285006, 0, 3.65381e-12, 0, 1.41421, -3.65381e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84654e-17, 0, 8.63513e-13, 0, 2.79027e-12, 0, 0, 0
0.292869, 0, 6.20865e-12, 0, 1.41421, -6.20865e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93357e-17, 0, 1.50389e-12, 0, 4.70471e-12, 0, 0, 0
0.300731, 0, 1.04687e-11, 0, 1.41421, -1.04687e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49311e-17, 0, 2.60175e-12, 0, 7.86686e-12, 0, 0, 0
0.308594, 0, 1.75183e-11, 0, 1.41421, -1.75183e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45264e-16, 0, 4.47219e-12, 0, 1.30459e-11, 0, 0, 0
0.316457, 0, 2.91185e-11, 1.28919e-43, 1.41421, -2.91185e-11, 1.28919e-43, 0, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 2.47388e-16, 1.28919e-43, 7.6537e-12, 1.28919e-43, 2.14646e-11, 1.28919e-43, 1.28919e-43, 1.28919e-43
0.32432, 0, 4.80124e-11, 2.27571e-42, 1.41421, -4.80124e-11, 2.27571e-42, 0, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 2.27571e-42, 4.18108e-16, 2.27571e-42, 1.29978e-11, 2.27571e-42, 3.50142e-11, 2.27571e-42, 2.27571e-42, 2.27571e-42
0.332182, 0, 7.86064e-11, 3.32949e-41, 1.41421, -7.86064e-11, 3.32949e-41, 0, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 3.32949e-41, 7.02863e-16, 3.32949e-41, 2.1951e-11, 3.32949e-41, 5.66547e-11, 3.32949e-41, 3.32949e-41, 3.32949e-41
0.340045, 0, 1.27811e-10, 4.31007e-40, 1.41421, -1.27811e-10, 4.31007e-40, 0, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 4.31007e-40, 1.17575e-15, 4.31007e-40, 3.68779e-11, 4.31007e-40, 9.09319e-11, 4.31007e-40, 4.31007e-40, 4.31007e-40
0.347908, 0, 2.06437e-10, 4.99129e-39, 1.41421, -2.06437e-10, 4.99129e-39, 0, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 4.99129e-39, 1.95812e-15, 4.99129e-39, 6.16559e-11, 4.99129e-39, 1.44779e-10, 4.99129e-39, 4.99129e-39, 4.99129e-39
0.355771, 0, 3.31307e-10, 5.22174e-38, 1.41421, -3.31307e-10, 5.22174e-38, 0, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 5.22174e-38, 3.24832e-15, 5.22174e-38, 1.02625e-10, 5.22174e-38, 2.28678e-10, 5.22174e-38, 5.22174e-38, 5.22174e-38
0.363633, 0, 5.28479e-10, 4.95755e-37, 1.41421, -5.28479e-10, 4.95755e-37, 0, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 4.95755e-37, 5.37047e-15, 4.95755e-37, 1.70136e-10, 4.95755e-37, 3.58337e-10, 4.95755e-37, 4.95755e-37, 4.95755e-37
0.371496, 0, 8.38161e-10, 4.29874e-36, 1.41421, -8.38161e-10, 4.29874e-36, 0, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 4.29874e-36, 8.85389e-15, 4.29874e-36, 2.81059e-10, 4.29874e-36, 5.57093e-10, 4.29874e-36, 4.29874e-36, 4.29874e-36
0.379359, 0, 1.3222e-09, 3.41938e-35, 1.41421, -1.3222e-09, 3.41938e-35, 0, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 3.41938e-35, 1.45633e-14, 3.41938e-35, 4.62873e-10, 3.41938e-35, 8.59315e-10, 3.41938e-35, 3.41938e-35, 3.41938e-35
0.387222, 0, 2.07552e-09, 2.50635e-34, 1.41421, -2.07552e-09, 2.50635e-34, 0, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.50635e-34, 2.39116e-14, 2.50635e-34, 7.60311e-10, 2.50635e-34, 1.31519e-09, 2.50635e-34, 2.50635e-34, 2.50635e-34
