   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.223554, 0, 1.49839e-21, 0, 1.41421, -1.49839e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68842e-23, 0, 0, 1.89041e-26, 3.54403e-25, 0, 1.48113e-21, 0, 0, 0
0.231393, 0, 4.54969e-21, 0, 1.41421, -4.54969e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12666e-23, 0, 0, 5.78063e-26, 1.10542e-24, 0, 4.49726e-21, 0, 0, 0
0.239232, 0, 1.34629e-20, 0, 1.41421, -1.34629e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51701e-22, 0, 0, 1.72303e-25, 3.35426e-24, 0, 1.33076e-20, 0, 0, 0
0.247071, 0, 3.88819e-20, 0, 1.41421, -3.88819e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38122e-22, 0, 0, 5.01391e-25, 9.91968e-24, 0, 3.84334e-20, 0, 0, 0
0.254911, 0, 1.0974e-19, 0, 1.41421, -1.0974e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23655e-21, 0, 0, 1.4262e-24, 2.86345e-23, 0, 1.08474e-19, 0, 0, 0
0.26275, 0, 3.03015e-19, 0, 1.41421, -3.03015e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41434e-21, 0, 0, 3.97e-24, 8.07855e-23, 0, 2.99516e-19, 0, 0, 0
0.270589, 0, 8.19306e-19, 0, 1.41421, -8.19306e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23179e-21, 0, 0, 1.08247e-23, 2.23e-22, 0, 8.09841e-19, 0, 0, 0
0.278428, 0, 2.17108e-18, 0, 1.41421, -2.17108e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44631e-20, 0, 0, 2.89353e-23, 6.02881e-22, 0, 2.14598e-18, 0, 0, 0
0.286267, 0, 5.64242e-18, 0, 1.41421, -5.64242e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35768e-20, 0, 0, 7.5885e-23, 1.59765e-21, 0, 5.57717e-18, 0, 0, 0
0.294107, 0, 1.43912e-17, 0, 1.41421, -1.43912e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62154e-19, 0, 0, 1.95386e-22, 4.15324e-21, 0, 1.42247e-17, 0, 0, 0
