   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_679.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00734219, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000524311, 0, 5.14462e-21, 0, 1.41421, -5.14462e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11125e-21, 0, 4.03338e-21, 0, 0, 0
0.00839081, 0, 1.12949e-20, 0, 1.41421, -1.12949e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47418e-21, 0, 8.82071e-21, 0, 0, 0
0.0162573, 0, 2.44726e-20, 0, 1.41421, -2.44726e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43515e-21, 0, 1.90375e-20, 0, 0, 0
0.0241238, 0, 5.23607e-20, 0, 1.41421, -5.23607e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17878e-20, 0, 4.05729e-20, 0, 0, 0
0.0319903, 0, 1.10685e-19, 0, 1.41421, -1.10685e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52552e-20, 0, 8.54295e-20, 0, 0, 0
0.0398568, 0, 2.31276e-19, 0, 1.41421, -2.31276e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34796e-20, 0, 1.77797e-19, 0, 0, 0
0.0477233, 0, 4.77882e-19, 0, 1.41421, -4.77882e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11982e-19, 0, 3.659e-19, 0, 0, 0
0.0555898, 0, 9.76835e-19, 0, 1.41421, -9.76835e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3196e-19, 0, 7.44875e-19, 0, 0, 0
0.0634563, 0, 1.97598e-18, 0, 1.41421, -1.97598e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75496e-19, 0, 1.50048e-18, 0, 0, 0
0.0713228, 0, 3.95674e-18, 0, 1.41421, -3.95674e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64943e-19, 0, 2.9918e-18, 0, 0, 0
0.0791893, 0, 7.84535e-18, 0, 1.41421, -7.84535e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93916e-18, 0, 5.90619e-18, 0, 0, 0
0.0870558, 0, 1.5407e-17, 0, 1.41421, -1.5407e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8602e-18, 0, 1.15468e-17, 0, 0, 0
0.0949223, 0, 2.99751e-17, 0, 1.41421, -2.99751e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61385e-18, 0, 2.23612e-17, 0, 0, 0
0.102789, 0, 5.77872e-17, 0, 1.41421, -5.77872e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48835e-17, 0, 4.29037e-17, 0, 0, 0
0.110655, 0, 1.10413e-16, 0, 1.41421, -1.10413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88412e-17, 0, 8.15721e-17, 0, 0, 0
0.118522, 0, 2.09127e-16, 0, 1.41421, -2.09127e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54139e-17, 0, 1.53713e-16, 0, 0, 0
0.126388, 0, 3.92713e-16, 0, 1.41421, -3.92713e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05587e-16, 0, 2.87126e-16, 0, 0, 0
0.134255, 0, 7.31281e-16, 0, 1.41421, -7.31281e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99556e-16, 0, 5.31725e-16, 0, 0, 0
0.142121, 0, 1.35053e-15, 0, 1.41421, -1.35053e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74163e-16, 0, 9.76369e-16, 0, 0, 0
0.149988, 0, 2.47399e-15, 0, 1.41421, -2.47399e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96094e-16, 0, 1.77789e-15, 0, 0, 0
0.157854, 0, 4.49594e-15, 0, 1.41421, -4.49594e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28515e-15, 0, 3.21079e-15, 0, 0, 0
0.165721, 0, 8.10644e-15, 0, 1.41421, -8.10644e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35495e-15, 0, 5.75149e-15, 0, 0, 0
0.173587, 0, 1.45036e-14, 0, 1.41421, -1.45036e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28364e-15, 0, 1.022e-14, 0, 0, 0
