   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00287129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00500239, 0, 9.05069e-20, 0, 1.41421, -9.05069e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10358e-22, 0, 1.44697e-24, 1.90019e-21, 0, 8.79949e-20, 0, 0, 0
0.0128761, 0, 1.85198e-19, 0, 1.41421, -1.85198e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24844e-21, 0, 3.00111e-24, 3.95887e-21, 0, 1.79987e-19, 0, 0, 0
0.0207498, 0, 3.74922e-19, 0, 1.41421, -3.74922e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52641e-21, 0, 6.15915e-24, 8.15894e-21, 0, 3.6423e-19, 0, 0, 0
0.0286234, 0, 7.51201e-19, 0, 1.41421, -7.51201e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05994e-21, 0, 1.25123e-23, 1.66407e-20, 0, 7.29488e-19, 0, 0, 0
0.0364971, 0, 1.49012e-18, 0, 1.41421, -1.49012e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00331e-20, 0, 2.51696e-23, 3.3601e-20, 0, 1.44646e-18, 0, 0, 0
0.0443708, 0, 2.92724e-18, 0, 1.41421, -2.92724e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97012e-20, 0, 5.01491e-23, 6.71927e-20, 0, 2.8403e-18, 0, 0, 0
0.0522445, 0, 5.69625e-18, 0, 1.41421, -5.69625e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8321e-20, 0, 9.89968e-23, 1.33114e-19, 0, 5.52471e-18, 0, 0, 0
0.0601182, 0, 1.09828e-17, 0, 1.41421, -1.09828e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38538e-20, 0, 1.93668e-22, 2.61324e-19, 0, 1.06475e-17, 0, 0, 0
0.0679919, 0, 2.09861e-17, 0, 1.41421, -2.09861e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41057e-19, 0, 3.75557e-22, 5.08522e-19, 0, 2.03361e-17, 0, 0, 0
