   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_423.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00558614, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00227746, 0, 1.55148e-22, 0, 1.41421, -1.55148e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08497e-27, 0, 2.73451e-23, 0, 1.27802e-22, 0, 0
0.010141, 0, 3.76811e-22, 0, 1.41421, -3.76811e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66518e-27, 0, 6.76043e-23, 0, 3.09204e-22, 0, 0
0.0180046, 0, 8.98683e-22, 0, 1.41421, -8.98683e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43003e-27, 0, 1.63974e-22, 0, 7.34703e-22, 0, 0
0.0258682, 0, 2.10714e-21, 0, 1.41421, -2.10714e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52535e-26, 0, 3.90709e-22, 0, 1.71641e-21, 0, 0
0.0337318, 0, 4.86198e-21, 0, 1.41421, -4.86198e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56144e-26, 0, 9.15592e-22, 0, 3.94635e-21, 0, 0
0.0415954, 0, 1.10494e-20, 0, 1.41421, -1.10494e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19118e-26, 0, 2.11222e-21, 0, 8.93712e-21, 0, 0
0.049459, 0, 2.47514e-20, 0, 1.41421, -2.47514e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8572e-25, 0, 4.80105e-21, 0, 1.99502e-20, 0, 0
0.0573226, 0, 5.46863e-20, 0, 1.41421, -5.46863e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1538e-25, 0, 1.076e-20, 0, 4.39259e-20, 0, 0
0.0651862, 0, 1.19243e-19, 0, 1.41421, -1.19243e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16987e-25, 0, 2.37932e-20, 0, 9.54487e-20, 0, 0
