   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_752.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000564308, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00729181, 0, 9.28617e-15, 0, 1.41421, -9.28617e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63976e-17, 0, 0, 6.48584e-17, 0, 0, 9.19492e-15, 0, 0, 0
0.0151479, 0, 1.45959e-14, 0, 1.41421, -1.45959e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14861e-17, 0, 0, 1.03838e-16, 0, 0, 1.44506e-14, 0, 0, 0
0.023004, 0, 2.28333e-14, 0, 1.41421, -2.28333e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48906e-17, 0, 0, 1.65488e-16, 0, 0, 2.2603e-14, 0, 0, 0
0.0308601, 0, 3.55522e-14, 0, 1.41421, -3.55522e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01023e-16, 0, 0, 2.62558e-16, 0, 0, 3.51886e-14, 0, 0, 0
0.0387163, 0, 5.5098e-14, 0, 1.41421, -5.5098e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56541e-16, 0, 0, 4.14714e-16, 0, 0, 5.45267e-14, 0, 0, 0
0.0465724, 0, 8.49951e-14, 0, 1.41421, -8.49951e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41448e-16, 0, 0, 6.52174e-16, 0, 0, 8.41015e-14, 0, 0, 0
0.0544285, 0, 1.30513e-13, 0, 1.41421, -1.30513e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70697e-16, 0, 0, 1.02115e-15, 0, 0, 1.29121e-13, 0, 0, 0
0.0622846, 0, 1.99492e-13, 0, 1.41421, -1.99492e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66534e-16, 0, 0, 1.59204e-15, 0, 0, 1.97333e-13, 0, 0, 0
0.0701407, 0, 3.03544e-13, 0, 1.41421, -3.03544e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61898e-16, 0, 0, 2.47159e-15, 0, 0, 3.0021e-13, 0, 0, 0
0.0779968, 0, 4.59783e-13, 0, 1.41421, -4.59783e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30533e-15, 0, 0, 3.82108e-15, 0, 0, 4.54656e-13, 0, 0, 0
0.085853, 0, 6.93314e-13, 0, 1.41421, -6.93314e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96802e-15, 0, 0, 5.8831e-15, 0, 0, 6.85463e-13, 0, 0, 0
0.0937091, 0, 1.04079e-12, 0, 1.41421, -1.04079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95387e-15, 0, 0, 9.0213e-15, 0, 0, 1.02881e-12, 0, 0, 0
