   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_265.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00142264, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00644133, 0, 2.09268e-23, 0, 1.41421, -2.09268e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80291e-24, 0, 1.61239e-23, 0, 0
0.0143053, 0, 5.42549e-23, 0, 1.41421, -5.42549e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27273e-23, 0, 4.15276e-23, 0, 0
0.0221693, 0, 1.3761e-22, 0, 1.41421, -1.3761e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29397e-23, 0, 1.0467e-22, 0, 0
0.0300333, 0, 3.42016e-22, 0, 1.41421, -3.42016e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34247e-23, 0, 2.58591e-22, 0, 0
0.0378972, 0, 8.34128e-22, 0, 1.41421, -8.34128e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07095e-22, 0, 6.27033e-22, 0, 0
0.0457612, 0, 1.99858e-21, 0, 1.41421, -1.99858e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04602e-22, 0, 1.49398e-21, 0, 0
0.0536252, 0, 4.70931e-21, 0, 1.41421, -4.70931e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2082e-21, 0, 3.50111e-21, 0, 0
0.0614891, 0, 1.09224e-20, 0, 1.41421, -1.09224e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84564e-21, 0, 8.07681e-21, 0, 0
0.0693531, 0, 2.49544e-20, 0, 1.41421, -2.49544e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59856e-21, 0, 1.83558e-20, 0, 0
0.0772171, 0, 5.61993e-20, 0, 1.41421, -5.61993e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50759e-20, 0, 4.11234e-20, 0, 0
0.0850811, 0, 1.24869e-19, 0, 1.41421, -1.24869e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39761e-20, 0, 9.08932e-20, 0, 0
0.0929451, 0, 2.73791e-19, 0, 1.41421, -2.73791e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55378e-20, 0, 1.98253e-19, 0, 0
0.100809, 0, 5.92697e-19, 0, 1.41421, -5.92697e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65767e-19, 0, 4.2693e-19, 0, 0
0.108673, 0, 1.29802e-18, 0, 1.41421, -1.29802e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69406e-19, 0, 9.28617e-19, 0, 0
0.116537, 0, 2.73547e-18, 0, 1.41421, -2.73547e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8868e-19, 0, 1.94679e-18, 0, 0
0.124401, 0, 5.69991e-18, 0, 1.41421, -5.69991e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66478e-18, 0, 4.03514e-18, 0, 0
