   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.106988, 0, 5.16077e-15, 0, 1.41421, -5.16077e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17411e-17, 3.44612e-20, 1.29009e-16, 0, 4.98998e-15, 0, 0
0.114863, 0, 8.8267e-15, 0, 1.41421, -8.8267e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13476e-17, 5.99674e-20, 2.25962e-16, 0, 8.52933e-15, 0, 0
0.122739, 0, 1.49979e-14, 0, 1.41421, -1.49979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21152e-16, 1.03698e-19, 3.93448e-16, 0, 1.44832e-14, 0, 0
0.130615, 0, 2.53187e-14, 0, 1.41421, -2.53187e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04382e-16, 1.7821e-19, 6.81109e-16, 0, 2.4433e-14, 0, 0
0.13849, 0, 4.24673e-14, 0, 1.41421, -4.24673e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42565e-16, 3.04392e-19, 1.17237e-15, 0, 4.0952e-14, 0, 0
0.146366, 0, 7.07775e-14, 0, 1.41421, -7.07775e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70497e-16, 5.16784e-19, 2.00663e-15, 0, 6.81999e-14, 0, 0
0.154241, 0, 1.17216e-13, 0, 1.41421, -1.17216e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4405e-16, 8.72153e-19, 3.41553e-15, 0, 1.12855e-13, 0, 0
0.162117, 0, 1.92908e-13, 0, 1.41421, -1.92908e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55235e-15, 1.46325e-18, 5.78195e-15, 0, 1.85572e-13, 0, 0
0.169993, 0, 3.15504e-13, 0, 1.41421, -3.15504e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53662e-15, 2.44076e-18, 9.73526e-15, 0, 3.0323e-13, 0, 0
0.177868, 0, 5.12828e-13, 0, 1.41421, -5.12828e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11915e-15, 4.04805e-18, 1.63058e-14, 0, 4.92399e-13, 0, 0
0.185744, 0, 8.28452e-13, 0, 1.41421, -8.28452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64762e-15, 6.67613e-18, 2.7169e-14, 0, 7.94628e-13, 0, 0
0.193619, 0, 1.33017e-12, 0, 1.41421, -1.33017e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06621e-14, 1.09497e-17, 4.50378e-14, 0, 1.27446e-12, 0, 0
0.201495, 0, 2.12282e-12, 0, 1.41421, -2.12282e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69964e-14, 1.78619e-17, 7.42831e-14, 0, 2.03152e-12, 0, 0
0.209371, 0, 3.3674e-12, 0, 1.41421, -3.3674e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6929e-14, 2.89844e-17, 1.21913e-13, 0, 3.21853e-12, 0, 0
0.217246, 0, 5.30973e-12, 0, 1.41421, -5.30973e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24076e-14, 4.67915e-17, 1.99113e-13, 0, 5.06816e-12, 0, 0
0.225122, 0, 8.3226e-12, 0, 1.41421, -8.3226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6381e-14, 7.51622e-17, 3.23653e-13, 0, 7.93249e-12, 0, 0
0.232997, 0, 1.29679e-11, 0, 1.41421, -1.29679e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03284e-13, 1.20153e-16, 5.23643e-13, 0, 1.23409e-11, 0, 0
0.240873, 0, 2.00874e-11, 0, 1.41421, -2.00874e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59742e-13, 1.91188e-16, 8.43367e-13, 0, 1.90841e-11, 0, 0
0.248749, 0, 3.09338e-11, 0, 1.41421, -3.09338e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45596e-13, 3.02874e-16, 1.35232e-12, 0, 2.93356e-11, 0, 0
0.256624, 0, 4.73606e-11, 0, 1.41421, -4.73606e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75361e-13, 4.77802e-16, 2.15912e-12, 0, 4.48257e-11, 0, 0
0.2645, 0, 7.2093e-11, 0, 1.41421, -7.2093e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70319e-13, 7.50811e-16, 3.43301e-12, 0, 6.8089e-11, 0, 0
