   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_580.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000851421, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00700984, 0, 1.9742e-22, 0, 1.41421, -1.9742e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11598e-23, 0, 1.7626e-22, 0, 0, 0
0.0148711, 0, 4.78888e-22, 0, 1.41421, -4.78888e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23693e-23, 0, 4.26518e-22, 0, 0, 0
0.0227324, 0, 1.14168e-21, 0, 1.41421, -1.14168e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27264e-22, 0, 1.01442e-21, 0, 0, 0
0.0305936, 0, 2.67767e-21, 0, 1.41421, -2.67767e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04017e-22, 0, 2.37365e-21, 0, 0, 0
0.0384549, 0, 6.18375e-21, 0, 1.41421, -6.18375e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14637e-22, 0, 5.46911e-21, 0, 0, 0
0.0463162, 0, 1.4072e-20, 0, 1.41421, -1.4072e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65442e-21, 0, 1.24176e-20, 0, 0, 0
0.0541774, 0, 3.15764e-20, 0, 1.41421, -3.15764e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7749e-21, 0, 2.78015e-20, 0, 0, 0
0.0620387, 0, 6.99081e-20, 0, 1.41421, -6.99081e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49494e-21, 0, 6.14131e-20, 0, 0, 0
0.0699, 0, 1.52783e-19, 0, 1.41421, -1.52783e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88655e-20, 0, 1.33918e-19, 0, 0, 0
0.0777612, 0, 3.29772e-19, 0, 1.41421, -3.29772e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13678e-20, 0, 2.88405e-19, 0, 0, 0
0.0856225, 0, 7.03273e-19, 0, 1.41421, -7.03273e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96089e-20, 0, 6.13664e-19, 0, 0, 0
0.0934838, 0, 1.48242e-18, 0, 1.41421, -1.48242e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91833e-19, 0, 1.29058e-18, 0, 0, 0
0.101345, 0, 3.08959e-18, 0, 1.41421, -3.08959e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06022e-19, 0, 2.68357e-18, 0, 0, 0
0.109206, 0, 6.36867e-18, 0, 1.41421, -6.36867e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49934e-19, 0, 5.51874e-18, 0, 0, 0
0.117068, 0, 1.29879e-17, 0, 1.41421, -1.29879e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76025e-18, 0, 1.12277e-17, 0, 0, 0
0.124929, 0, 2.6211e-17, 0, 1.41421, -2.6211e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60782e-18, 0, 2.26032e-17, 0, 0, 0
0.13279, 0, 5.23581e-17, 0, 1.41421, -5.23581e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32019e-18, 0, 4.50379e-17, 0, 0, 0
0.140651, 0, 1.03546e-16, 0, 1.41421, -1.03546e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47067e-17, 0, 8.88396e-17, 0, 0, 0
0.148513, 0, 2.02778e-16, 0, 1.41421, -2.02778e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92636e-17, 0, 1.73515e-16, 0, 0, 0
