   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_367.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00820384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000333092, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00753766, 0, 8.21344e-16, 0, 1.41421, -8.21344e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4484e-20, 6.37409e-17, 0, 7.57509e-16, 0, 0, 0
0.0154084, 0, 1.39125e-15, 0, 1.41421, -1.39125e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62643e-19, 1.10426e-16, 0, 1.28067e-15, 0, 0, 0
0.0232792, 0, 2.3427e-15, 0, 1.41421, -2.3427e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78331e-19, 1.90253e-16, 0, 2.15217e-15, 0, 0, 0
0.0311499, 0, 3.92191e-15, 0, 1.41421, -3.92191e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73567e-19, 3.26022e-16, 0, 3.59542e-15, 0, 0, 0
0.0390206, 0, 6.52804e-15, 0, 1.41421, -6.52804e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0118e-19, 5.55723e-16, 0, 5.97151e-15, 0, 0, 0
0.0468914, 0, 1.08045e-14, 0, 1.41421, -1.08045e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34786e-18, 9.42333e-16, 0, 9.86086e-15, 0, 0, 0
0.0547621, 0, 1.77828e-14, 0, 1.41421, -1.77828e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25504e-18, 1.58972e-15, 0, 1.61908e-14, 0, 0, 0
0.0626329, 0, 2.91067e-14, 0, 1.41421, -2.91067e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75226e-18, 2.66832e-15, 0, 2.64346e-14, 0, 0, 0
0.0705036, 0, 4.73819e-14, 0, 1.41421, -4.73819e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21011e-18, 4.45644e-15, 0, 4.29193e-14, 0, 0, 0
0.0783744, 0, 7.67158e-14, 0, 1.41421, -7.67158e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02236e-17, 7.40628e-15, 0, 6.92993e-14, 0, 0, 0
0.0862451, 0, 1.23547e-13, 0, 1.41421, -1.23547e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67429e-17, 1.2249e-14, 0, 1.11282e-13, 0, 0, 0
0.0941159, 0, 1.97917e-13, 0, 1.41421, -1.97917e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72781e-17, 2.01611e-14, 0, 1.77728e-13, 0, 0, 0
0.101987, 0, 3.15392e-13, 0, 1.41421, -3.15392e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42158e-17, 3.30265e-14, 0, 2.82321e-13, 0, 0, 0
0.109857, 0, 4.99989e-13, 0, 1.41421, -4.99989e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13101e-17, 5.38485e-14, 0, 4.46069e-13, 0, 0, 0
0.117728, 0, 7.88554e-13, 0, 1.41421, -7.88554e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14436e-16, 8.73933e-14, 0, 7.01047e-13, 0, 0, 0
0.125599, 0, 1.23733e-12, 0, 1.41421, -1.23733e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82744e-16, 1.41192e-13, 0, 1.09596e-12, 0, 0, 0
0.13347, 0, 1.93169e-12, 0, 1.41421, -1.93169e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90419e-16, 2.27079e-13, 0, 1.70433e-12, 0, 0, 0
0.14134, 0, 3.00061e-12, 0, 1.41421, -3.00061e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59346e-16, 3.63585e-13, 0, 2.63656e-12, 0, 0, 0
0.149211, 0, 4.63783e-12, 0, 1.41421, -4.63783e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23142e-16, 5.7959e-13, 0, 4.05752e-12, 0, 0, 0
0.157082, 0, 7.13303e-12, 0, 1.41421, -7.13303e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13329e-15, 9.19913e-13, 0, 6.21198e-12, 0, 0, 0
0.164953, 0, 1.0917e-11, 0, 1.41421, -1.0917e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76816e-15, 1.45382e-12, 0, 9.46145e-12, 0, 0, 0
0.172823, 0, 1.66275e-11, 0, 1.41421, -1.66275e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74674e-15, 2.28793e-12, 0, 1.43368e-11, 0, 0, 0
