   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_118.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00400158, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0038799, 0, 1.95879e-18, 0, 1.41421, -1.95879e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44949e-20, 0, 5.28623e-23, 2.6388e-21, 0, 1.9416e-18, 0, 0, 0
0.0117614, 0, 3.68683e-18, 0, 1.41421, -3.68683e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72816e-20, 0, 1.00994e-22, 5.06014e-21, 0, 3.65439e-18, 0, 0, 0
0.0196429, 0, 6.88271e-18, 0, 1.41421, -6.88271e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0929e-20, 0, 1.91406e-22, 9.62598e-21, 0, 6.82197e-18, 0, 0, 0
0.0275243, 0, 1.27465e-17, 0, 1.41421, -1.27465e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43157e-20, 0, 3.59927e-22, 1.817e-20, 0, 1.26337e-17, 0, 0, 0
0.0354058, 0, 2.34221e-17, 0, 1.41421, -2.34221e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73303e-19, 0, 6.71669e-22, 3.40398e-20, 0, 2.32141e-17, 0, 0, 0
0.0432873, 0, 4.32344e-17, 0, 1.41421, -4.32344e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19886e-19, 0, 1.26417e-21, 6.44082e-20, 0, 4.28489e-17, 0, 0, 0
0.0511688, 0, 7.81489e-17, 0, 1.41421, -7.81489e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78195e-19, 0, 2.32104e-21, 1.18751e-19, 0, 7.74496e-17, 0, 0, 0
0.0590503, 0, 1.40237e-16, 0, 1.41421, -1.40237e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03753e-18, 0, 4.23153e-21, 2.17446e-19, 0, 1.38978e-16, 0, 0, 0
0.0669317, 0, 2.49863e-16, 0, 1.41421, -2.49863e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84852e-18, 0, 7.6614e-21, 3.95509e-19, 0, 2.47611e-16, 0, 0, 0
0.0748132, 0, 4.42065e-16, 0, 1.41421, -4.42065e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27035e-18, 0, 1.37773e-20, 7.14677e-19, 0, 4.38066e-16, 0, 0, 0
0.0826947, 0, 7.76707e-16, 0, 1.41421, -7.76707e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74579e-18, 0, 2.46102e-20, 1.28313e-18, 0, 7.69653e-16, 0, 0, 0
0.0905762, 0, 1.35537e-15, 0, 1.41421, -1.35537e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00261e-17, 0, 4.36717e-20, 2.28925e-18, 0, 1.34301e-15, 0, 0, 0
0.0984577, 0, 2.3492e-15, 0, 1.41421, -2.3492e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73771e-17, 0, 7.69949e-20, 4.05909e-18, 0, 2.32768e-15, 0, 0, 0
0.106339, 0, 4.04464e-15, 0, 1.41421, -4.04464e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99172e-17, 0, 1.34877e-19, 7.15363e-18, 0, 4.00743e-15, 0, 0, 0
0.114221, 0, 6.91784e-15, 0, 1.41421, -6.91784e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11673e-17, 0, 2.34783e-19, 1.25324e-17, 0, 6.8539e-15, 0, 0, 0
0.122102, 0, 1.17549e-14, 0, 1.41421, -1.17549e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69401e-17, 0, 4.06149e-19, 2.18269e-17, 0, 1.16457e-14, 0, 0, 0
0.129984, 0, 1.9845e-14, 0, 1.41421, -1.9845e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46768e-16, 0, 6.98288e-19, 3.77958e-17, 0, 1.96597e-14, 0, 0, 0
0.137865, 0, 3.32882e-14, 0, 1.41421, -3.32882e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46179e-16, 0, 1.19329e-18, 6.50769e-17, 0, 3.29758e-14, 0, 0, 0
