   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_731.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00140603, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00645133, 0, 3.78534e-22, 0, 1.41421, -3.78534e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40845e-24, 0, 0, 0, 3.99585e-23, 0, 3.34167e-22, 0, 0, 0
0.0143087, 0, 9.02925e-22, 0, 1.41421, -9.02925e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04891e-23, 0, 0, 0, 9.7349e-23, 0, 7.95087e-22, 0, 0, 0
0.022166, 0, 2.11735e-21, 0, 1.41421, -2.11735e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45366e-23, 0, 0, 0, 2.3291e-22, 0, 1.8599e-21, 0, 0, 0
0.0300234, 0, 4.88601e-21, 0, 1.41421, -4.88601e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64851e-23, 0, 0, 0, 5.47879e-22, 0, 4.28165e-21, 0, 0, 0
0.0378808, 0, 1.11047e-20, 0, 1.41421, -1.11047e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28075e-22, 0, 0, 0, 1.26839e-21, 0, 9.70822e-21, 0, 0, 0
0.0457381, 0, 2.48755e-20, 0, 1.41421, -2.48755e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86232e-22, 0, 0, 0, 2.8925e-21, 0, 2.16968e-20, 0, 0, 0
0.0535955, 0, 5.49589e-20, 0, 1.41421, -5.49589e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30933e-22, 0, 0, 0, 6.50243e-21, 0, 4.78255e-20, 0, 0, 0
0.0614528, 0, 1.19828e-19, 0, 1.41421, -1.19828e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37248e-21, 0, 0, 0, 1.44196e-20, 0, 1.04036e-19, 0, 0, 0
0.0693102, 0, 2.58015e-19, 0, 1.41421, -2.58015e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94838e-21, 0, 0, 0, 3.15756e-20, 0, 2.23491e-19, 0, 0, 0
