   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.107778, 0, 2.0687e-15, 0, 1.41421, -2.0687e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34022e-17, 0, 0, 3.74801e-20, 6.72804e-17, 0, 1.98798e-15, 0, 0
0.115652, 0, 3.60994e-15, 0, 1.41421, -3.60994e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33695e-17, 0, 0, 6.65236e-20, 1.20047e-16, 0, 3.46646e-15, 0, 0
0.123527, 0, 6.25583e-15, 0, 1.41421, -6.25583e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04659e-17, 0, 0, 1.17284e-19, 2.1284e-16, 0, 6.00241e-15, 0, 0
0.131401, 0, 1.07668e-14, 0, 1.41421, -1.07668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95871e-17, 0, 0, 2.0542e-19, 3.75013e-16, 0, 1.0322e-14, 0, 0
0.139276, 0, 1.8405e-14, 0, 1.41421, -1.8405e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18849e-16, 0, 0, 3.57454e-19, 6.56708e-16, 0, 1.76291e-14, 0, 0
0.14715, 0, 3.12508e-14, 0, 1.41421, -3.12508e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01612e-16, 0, 0, 6.18028e-19, 1.14307e-15, 0, 2.99055e-14, 0, 0
0.155025, 0, 5.27094e-14, 0, 1.41421, -5.27094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39718e-16, 0, 0, 1.0618e-18, 1.97785e-15, 0, 5.03907e-14, 0, 0
0.162899, 0, 8.83169e-14, 0, 1.41421, -8.83169e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68624e-16, 0, 0, 1.81285e-18, 3.40226e-15, 0, 8.43442e-14, 0, 0
0.170774, 0, 1.47011e-13, 0, 1.41421, -1.47011e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45492e-16, 0, 0, 3.0761e-18, 5.81883e-15, 0, 1.40244e-13, 0, 0
0.178648, 0, 2.43125e-13, 0, 1.41421, -2.43125e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56184e-15, 0, 0, 5.18798e-18, 9.89541e-15, 0, 2.31663e-13, 0, 0
0.186523, 0, 3.99491e-13, 0, 1.41421, -3.99491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5632e-15, 0, 0, 8.69748e-18, 1.67349e-14, 0, 3.80184e-13, 0, 0
0.194397, 0, 6.52227e-13, 0, 1.41421, -6.52227e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17937e-15, 0, 0, 1.44954e-17, 2.81466e-14, 0, 6.19886e-13, 0, 0
0.202272, 0, 1.05809e-12, 0, 1.41421, -1.05809e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77079e-15, 0, 0, 2.40188e-17, 4.70848e-14, 0, 1.00421e-12, 0, 0
0.210146, 0, 1.7057e-12, 0, 1.41421, -1.7057e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08989e-14, 0, 0, 3.95737e-17, 7.83477e-14, 0, 1.61642e-12, 0, 0
0.218021, 0, 2.73246e-12, 0, 1.41421, -2.73246e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74326e-14, 0, 0, 6.48434e-17, 1.29689e-13, 0, 2.58527e-12, 0, 0
0.225895, 0, 4.35005e-12, 0, 1.41421, -4.35005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77068e-14, 0, 0, 1.05678e-16, 2.13579e-13, 0, 4.10866e-12, 0, 0
0.23377, 0, 6.88241e-12, 0, 1.41421, -6.88241e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37593e-14, 0, 0, 1.71327e-16, 3.49972e-13, 0, 6.48851e-12, 0, 0
0.241644, 0, 1.08221e-11, 0, 1.41421, -1.08221e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86799e-14, 0, 0, 2.76357e-16, 5.7066e-13, 0, 1.01825e-11, 0, 0
0.249519, 0, 1.69133e-11, 0, 1.41421, -1.69133e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07122e-13, 0, 0, 4.43617e-16, 9.26076e-13, 0, 1.58796e-11, 0, 0
0.257393, 0, 2.62727e-11, 0, 1.41421, -2.62727e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66046e-13, 0, 0, 7.08812e-16, 1.49588e-12, 0, 2.46101e-11, 0, 0
0.265268, 0, 4.05663e-11, 0, 1.41421, -4.05663e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55798e-13, 0, 0, 1.12758e-15, 2.4054e-12, 0, 3.7904e-11, 0, 0
0.273142, 0, 6.22629e-11, 0, 1.41421, -6.22629e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91647e-13, 0, 0, 1.7864e-15, 3.85114e-12, 0, 5.80183e-11, 0, 0
0.281016, 0, 9.49992e-11, 1.4013e-44, 1.41421, -9.49992e-11, 1.4013e-44, 0, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 5.9599e-13, 1.4013e-44, 1.4013e-44, 2.81939e-15, 6.14009e-12, 1.4013e-44, 8.82603e-11, 1.4013e-44, 1.4013e-44
0.288891, 0, 1.44099e-10, 2.77457e-43, 1.41421, -1.44099e-10, 2.77457e-43, 0, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 9.01454e-13, 2.77457e-43, 2.77457e-43, 4.43426e-15, 9.75037e-12, 2.77457e-43, 1.33443e-10, 2.77457e-43, 2.77457e-43
0.296765, 0, 2.17311e-10, 4.04695e-42, 1.41421, -2.17311e-10, 4.04695e-42, 0, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 4.04695e-42, 1.35527e-12, 4.04695e-42, 4.04695e-42, 6.9523e-15, 1.54245e-11, 4.04695e-42, 2.00524e-10, 4.04695e-42, 4.04695e-42
0.30464, 0, 3.25843e-10, 5.40817e-41, 1.41421, -3.25843e-10, 5.40817e-41, 0, 5.40817e-41, 5.40817e-41, 5.40817e-41, 5.40817e-41, 5.40817e-41, 5.40817e-41, 5.40817e-41, 5.40817e-41, 2.02535e-12, 5.40817e-41, 5.40817e-41, 1.08704e-14, 2.43129e-11, 5.40817e-41, 2.99494e-10, 5.40817e-41, 5.40817e-41
0.312514, 0, 4.85823e-10, 6.49058e-40, 1.41421, -4.85823e-10, 6.49058e-40, 0, 6.49058e-40, 6.49058e-40, 6.49058e-40, 6.49058e-40, 6.49058e-40, 6.49058e-40, 6.49058e-40, 6.49058e-40, 3.00878e-12, 6.49058e-40, 6.49058e-40, 1.69566e-14, 3.81936e-11, 6.49058e-40, 4.44604e-10, 6.49058e-40, 6.49058e-40
