   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_393.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.017642, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00978418, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00192633, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00593152, 0, 4.92105e-18, 0, 1.41421, -4.92105e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.85224e-20, 0, 0, 1.79028e-20, 0, 0, 4.81462e-18, 0, 0, 0
0.0137894, 0, 8.85934e-18, 0, 1.41421, -8.85934e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59357e-19, 0, 0, 3.27259e-20, 0, 0, 8.66726e-18, 0, 0, 0
0.0216472, 0, 1.58369e-17, 0, 1.41421, -1.58369e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84849e-19, 0, 0, 5.94099e-20, 0, 0, 1.54926e-17, 0, 0, 0
0.0295051, 0, 2.81137e-17, 0, 1.41421, -2.81137e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05636e-19, 0, 0, 1.07123e-19, 0, 0, 2.75009e-17, 0, 0, 0
0.0373629, 0, 4.9568e-17, 0, 1.41421, -4.9568e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91446e-19, 0, 0, 1.91877e-19, 0, 0, 4.84847e-17, 0, 0, 0
0.0452208, 0, 8.68101e-17, 0, 1.41421, -8.68101e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56112e-18, 0, 0, 3.41452e-19, 0, 0, 8.49075e-17, 0, 0, 0
0.0530786, 0, 1.51033e-16, 0, 1.41421, -1.51033e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71587e-18, 0, 0, 6.0375e-19, 0, 0, 1.47713e-16, 0, 0, 0
0.0609365, 0, 2.61062e-16, 0, 1.41421, -2.61062e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69411e-18, 0, 0, 1.06083e-18, 0, 0, 2.55307e-16, 0, 0, 0
0.0687943, 0, 4.48363e-16, 0, 1.41421, -4.48363e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06138e-18, 0, 0, 1.85245e-18, 0, 0, 4.38449e-16, 0, 0, 0
0.0766522, 0, 7.6518e-16, 0, 1.41421, -7.6518e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37567e-17, 0, 0, 3.21507e-18, 0, 0, 7.48209e-16, 0, 0, 0
0.08451, 0, 1.29771e-15, 0, 1.41421, -1.29771e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3329e-17, 0, 0, 5.54649e-18, 0, 0, 1.26884e-15, 0, 0, 0
0.0923679, 0, 2.1873e-15, 0, 1.41421, -2.1873e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9318e-17, 0, 0, 9.51186e-18, 0, 0, 2.13847e-15, 0, 0, 0
0.100226, 0, 3.66418e-15, 0, 1.41421, -3.66418e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58609e-17, 0, 0, 1.62168e-17, 0, 0, 3.5821e-15, 0, 0, 0
0.108084, 0, 6.10116e-15, 0, 1.41421, -6.10116e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09655e-16, 0, 0, 2.74888e-17, 0, 0, 5.96402e-15, 0, 0, 0
0.115941, 0, 1.00981e-14, 0, 1.41421, -1.00981e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81477e-16, 0, 0, 4.63314e-17, 0, 0, 9.87029e-15, 0, 0, 0
0.123799, 0, 1.66142e-14, 0, 1.41421, -1.66142e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98555e-16, 0, 0, 7.76519e-17, 0, 0, 1.6238e-14, 0, 0, 0
0.131657, 0, 2.7174e-14, 0, 1.41421, -2.7174e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88272e-16, 0, 0, 1.29425e-16, 0, 0, 2.65563e-14, 0, 0, 0
0.139515, 0, 4.41856e-14, 0, 1.41421, -4.41856e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93874e-16, 0, 0, 2.1454e-16, 0, 0, 4.31772e-14, 0, 0, 0
0.147373, 0, 7.14296e-14, 0, 1.41421, -7.14296e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28325e-15, 0, 0, 3.53713e-16, 0, 0, 6.97926e-14, 0, 0, 0
0.155231, 0, 1.14805e-13, 0, 1.41421, -1.14805e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06232e-15, 0, 0, 5.80071e-16, 0, 0, 1.12163e-13, 0, 0, 0
0.163089, 0, 1.83462e-13, 0, 1.41421, -1.83462e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29536e-15, 0, 0, 9.4632e-16, 0, 0, 1.79221e-13, 0, 0, 0
0.170946, 0, 2.91506e-13, 0, 1.41421, -2.91506e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23558e-15, 0, 0, 1.53589e-15, 0, 0, 2.84734e-13, 0, 0, 0
0.178804, 0, 4.60549e-13, 0, 1.41421, -4.60549e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27097e-15, 0, 0, 2.4802e-15, 0, 0, 4.49798e-13, 0, 0, 0
0.186662, 0, 7.2351e-13, 0, 1.41421, -7.2351e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29924e-14, 0, 0, 3.98535e-15, 0, 0, 7.06532e-13, 0, 0, 0
0.19452, 0, 1.13023e-12, 0, 1.41421, -1.13023e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02944e-14, 0, 0, 6.37331e-15, 0, 0, 1.10356e-12, 0, 0, 0
0.202378, 0, 1.75569e-12, 0, 1.41421, -1.75569e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15229e-14, 0, 0, 1.01446e-14, 0, 0, 1.71403e-12, 0, 0, 0
0.210236, 0, 2.71209e-12, 0, 1.41421, -2.71209e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86912e-14, 0, 0, 1.60746e-14, 0, 0, 2.64732e-12, 0, 0, 0
0.218093, 0, 4.16621e-12, 0, 1.41421, -4.16621e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47932e-14, 0, 0, 2.53603e-14, 0, 0, 4.06605e-12, 0, 0, 0
0.225951, 0, 6.36455e-12, 0, 1.41421, -6.36455e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14253e-13, 0, 0, 3.98436e-14, 0, 0, 6.21046e-12, 0, 0, 0
0.233809, 0, 9.66932e-12, 0, 1.41421, -9.66932e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73573e-13, 0, 0, 6.23514e-14, 0, 0, 9.4334e-12, 0, 0, 0
0.241667, 0, 1.46094e-11, 0, 1.41421, -1.46094e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62248e-13, 0, 0, 9.72117e-14, 0, 0, 1.425e-11, 0, 0, 0
0.249525, 0, 2.19528e-11, 0, 1.41421, -2.19528e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94067e-13, 0, 0, 1.51038e-13, 0, 0, 2.14076e-11, 0, 0, 0
0.257383, 0, 3.28074e-11, 0, 1.41421, -3.28074e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88931e-13, 0, 0, 2.33925e-13, 0, 0, 3.19845e-11, 0, 0, 0
0.265241, 0, 4.87629e-11, 1.12104e-44, 1.41421, -4.87629e-11, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 8.75402e-13, 1.12104e-44, 1.12104e-44, 3.6126e-13, 1.12104e-44, 1.12104e-44, 4.75263e-11, 1.12104e-44, 1.12104e-44, 1.12104e-44
0.273098, 0, 7.20865e-11, 2.2701e-43, 1.41421, -7.20865e-11, 0, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 2.2701e-43, 1.29423e-12, 2.2701e-43, 2.2701e-43, 5.56495e-13, 2.2701e-43, 2.2701e-43, 7.02358e-11, 2.2701e-43, 2.2701e-43, 2.2701e-43
0.280956, 0, 1.05992e-10, 3.30847e-42, 1.41421, -1.05992e-10, 0, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 3.30847e-42, 1.90321e-12, 3.30847e-42, 3.30847e-42, 8.55368e-13, 3.30847e-42, 3.30847e-42, 1.03234e-10, 3.30847e-42, 3.30847e-42, 3.30847e-42
0.288814, 0, 1.5501e-10, 4.40947e-41, 1.41421, -1.5501e-10, 0, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 4.40947e-41, 2.78387e-12, 4.40947e-41, 4.40947e-41, 1.31236e-12, 4.40947e-41, 4.40947e-41, 1.50914e-10, 4.40947e-41, 4.40947e-41, 4.40947e-41
0.296672, 0, 2.25489e-10, 5.27522e-40, 1.41421, -2.25489e-10, 0, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 5.27522e-40, 4.05053e-12, 5.27522e-40, 5.27522e-40, 2.01059e-12, 5.27522e-40, 5.27522e-40, 2.19428e-10, 5.27522e-40, 5.27522e-40, 5.27522e-40
0.30453, 0, 3.26273e-10, 5.68742e-39, 1.41421, -3.26273e-10, 0, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.68742e-39, 5.86258e-12, 5.68742e-39, 5.68742e-39, 3.07698e-12, 5.68742e-39, 5.68742e-39, 3.17333e-10, 5.68742e-39, 5.68742e-39, 5.68742e-39
