   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_78.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.188908, 0, 2.75501e-13, 0, 1.41421, -2.75501e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32479e-15, 0, 9.64174e-18, 3.53567e-17, 0, 2.74131e-13, 0, 0
0.196774, 0, 4.51492e-13, 0, 1.41421, -4.51492e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1711e-15, 0, 1.61471e-17, 5.96663e-17, 0, 4.49245e-13, 0, 0
0.204639, 0, 7.35167e-13, 0, 1.41421, -7.35167e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53529e-15, 0, 2.68853e-17, 1.00143e-16, 0, 7.31505e-13, 0, 0
0.212505, 0, 1.18945e-12, 0, 1.41421, -1.18945e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72001e-15, 0, 4.45105e-17, 1.67181e-16, 0, 1.18352e-12, 0, 0
0.22037, 0, 1.91224e-12, 0, 1.41421, -1.91224e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19626e-15, 0, 7.32806e-17, 2.77633e-16, 0, 1.90269e-12, 0, 0
0.228236, 0, 3.05484e-12, 0, 1.41421, -3.05484e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4692e-14, 0, 1.19997e-16, 4.58686e-16, 0, 3.03957e-12, 0, 0
0.236102, 0, 4.84951e-12, 0, 1.41421, -4.84951e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3325e-14, 0, 1.9546e-16, 7.53994e-16, 0, 4.82524e-12, 0, 0
0.243967, 0, 7.65033e-12, 0, 1.41421, -7.65033e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67998e-14, 0, 3.16761e-16, 1.23333e-15, 0, 7.61198e-12, 0, 0
0.251833, 0, 1.19936e-11, 0, 1.41421, -1.19936e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76985e-14, 0, 5.10823e-16, 2.00773e-15, 0, 1.19333e-11, 0, 0
0.259698, 0, 1.86858e-11, 0, 1.41421, -1.86858e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99072e-14, 0, 8.19913e-16, 3.25317e-15, 0, 1.85918e-11, 0, 0
0.267564, 0, 2.89322e-11, 0, 1.41421, -2.89322e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39234e-13, 0, 1.31016e-15, 5.24744e-15, 0, 2.87864e-11, 0, 0
0.27543, 0, 4.4521e-11, 0, 1.41421, -4.4521e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14305e-13, 0, 2.08475e-15, 8.42747e-15, 0, 4.42962e-11, 0, 0
0.283295, 0, 6.80884e-11, 1.96182e-44, 1.41421, -6.80884e-11, 1.96182e-44, 0, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 3.27843e-13, 1.96182e-44, 3.3043e-15, 1.34782e-14, 1.96182e-44, 6.77438e-11, 1.96182e-44, 1.96182e-44
0.291161, 0, 1.03494e-10, 3.53127e-43, 1.41421, -1.03494e-10, 3.53127e-43, 0, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 3.53127e-43, 4.98498e-13, 3.53127e-43, 5.21839e-15, 2.14703e-14, 3.53127e-43, 1.02969e-10, 3.53127e-43, 3.53127e-43
0.299026, 0, 1.56352e-10, 5.18761e-42, 1.41421, -1.56352e-10, 5.18761e-42, 0, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 5.18761e-42, 7.53425e-13, 5.18761e-42, 8.21437e-15, 3.40722e-14, 5.18761e-42, 1.55556e-10, 5.18761e-42, 5.18761e-42
