   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_576.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00309984, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00475847, 0, 1.32442e-22, 0, 1.41421, -1.32442e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41511e-24, 0, 0, 0, 7.46064e-24, 0, 1.23567e-22, 0, 0, 0
0.0126168, 0, 3.31495e-22, 0, 1.41421, -3.31495e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53595e-24, 0, 0, 0, 1.9202e-23, 0, 3.08757e-22, 0, 0, 0
0.0204751, 0, 8.12901e-22, 0, 1.41421, -8.12901e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.65694e-24, 0, 0, 0, 4.83252e-23, 0, 7.55919e-22, 0, 0, 0
0.0283334, 0, 1.95593e-21, 0, 1.41421, -1.95593e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07971e-23, 0, 0, 0, 1.19144e-22, 0, 1.81599e-21, 0, 0, 0
0.0361917, 0, 4.62348e-21, 0, 1.41421, -4.62348e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90862e-23, 0, 0, 0, 2.88215e-22, 0, 4.28618e-21, 0, 0, 0
0.04405, 0, 1.07484e-20, 0, 1.41421, -1.07484e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13944e-22, 0, 0, 0, 6.84967e-22, 0, 9.94952e-21, 0, 0, 0
0.0519083, 0, 2.4597e-20, 0, 1.41421, -2.4597e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60372e-22, 0, 0, 0, 1.60109e-21, 0, 2.27355e-20, 0, 0, 0
0.0597666, 0, 5.54537e-20, 0, 1.41421, -5.54537e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86159e-22, 0, 0, 0, 3.68447e-21, 0, 5.11831e-20, 0, 0, 0
0.0676249, 0, 1.23253e-19, 0, 1.41421, -1.23253e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30094e-21, 0, 0, 0, 8.35429e-21, 0, 1.13598e-19, 0, 0, 0
0.0754833, 0, 2.70244e-19, 0, 1.41421, -2.70244e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84836e-21, 0, 0, 0, 1.86786e-20, 0, 2.48717e-19, 0, 0, 0
0.0833416, 0, 5.84853e-19, 0, 1.41421, -5.84853e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15546e-21, 0, 0, 0, 4.12059e-20, 0, 5.37491e-19, 0, 0, 0
0.0911999, 0, 1.24993e-18, 0, 1.41421, -1.24993e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31362e-20, 0, 0, 0, 8.97452e-20, 0, 1.14705e-18, 0, 0, 0
0.0990582, 0, 2.63917e-18, 0, 1.41421, -2.63917e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7696e-20, 0, 0, 0, 1.93075e-19, 0, 2.4184e-18, 0, 0, 0
0.106916, 0, 5.50766e-18, 0, 1.41421, -5.50766e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77128e-20, 0, 0, 0, 4.10496e-19, 0, 5.03945e-18, 0, 0, 0
0.114775, 0, 1.13642e-17, 0, 1.41421, -1.13642e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18901e-19, 0, 0, 0, 8.62859e-19, 0, 1.03824e-17, 0, 0, 0
0.122633, 0, 2.3191e-17, 0, 1.41421, -2.3191e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4227e-19, 0, 0, 0, 1.79384e-18, 0, 2.11549e-17, 0, 0, 0
0.130491, 0, 4.6821e-17, 0, 1.41421, -4.6821e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88355e-19, 0, 0, 0, 3.68974e-18, 0, 4.26429e-17, 0, 0, 0
0.13835, 0, 9.35438e-17, 0, 1.41421, -9.35438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74107e-19, 0, 0, 0, 7.51116e-18, 0, 8.50585e-17, 0, 0, 0
0.146208, 0, 1.84989e-16, 0, 1.41421, -1.84989e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92316e-18, 0, 0, 0, 1.51372e-17, 0, 1.67929e-16, 0, 0, 0
0.154066, 0, 3.62182e-16, 0, 1.41421, -3.62182e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75879e-18, 0, 0, 0, 3.02081e-17, 0, 3.28215e-16, 0, 0, 0
0.161925, 0, 7.02172e-16, 0, 1.41421, -7.02172e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27429e-18, 0, 0, 0, 5.97099e-17, 0, 6.35187e-16, 0, 0, 0
0.169783, 0, 1.34826e-15, 0, 1.41421, -1.34826e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39418e-17, 0, 0, 0, 1.16927e-16, 0, 1.21739e-15, 0, 0, 0
0.177641, 0, 2.56441e-15, 0, 1.41421, -2.56441e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64666e-17, 0, 0, 0, 2.26892e-16, 0, 2.31105e-15, 0, 0, 0
0.1855, 0, 4.83228e-15, 0, 1.41421, -4.83228e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97728e-17, 0, 0, 0, 4.3636e-16, 0, 4.34615e-15, 0, 0, 0
0.193358, 0, 9.0225e-15, 0, 1.41421, -9.0225e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2738e-17, 0, 0, 0, 8.31903e-16, 0, 8.09786e-15, 0, 0, 0
0.201216, 0, 1.66943e-14, 0, 1.41421, -1.66943e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71217e-16, 0, 0, 0, 1.57246e-15, 0, 1.49506e-14, 0, 0, 0
0.209075, 0, 3.06145e-14, 0, 1.41421, -3.06145e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13261e-16, 0, 0, 0, 2.94737e-15, 0, 2.73539e-14, 0, 0, 0
0.216933, 0, 5.56486e-14, 0, 1.41421, -5.56486e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68044e-16, 0, 0, 0, 5.47913e-15, 0, 4.96014e-14, 0, 0, 0
0.224791, 0, 1.00275e-13, 0, 1.41421, -1.00275e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02097e-15, 0, 0, 0, 1.01036e-14, 0, 8.91506e-14, 0, 0, 0
0.232649, 0, 1.79138e-13, 0, 1.41421, -1.79138e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81903e-15, 0, 0, 0, 1.84839e-14, 0, 1.58835e-13, 0, 0, 0
0.240508, 0, 3.17306e-13, 0, 1.41421, -3.17306e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21287e-15, 0, 0, 0, 3.35525e-14, 0, 2.80541e-13, 0, 0, 0
0.248366, 0, 5.5732e-13, 0, 1.41421, -5.5732e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6261e-15, 0, 0, 0, 6.04409e-14, 0, 4.91253e-13, 0, 0, 0
0.256224, 0, 9.70751e-13, 0, 1.41421, -9.70751e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76825e-15, 0, 0, 0, 1.08071e-13, 0, 8.52913e-13, 0, 0, 0
0.264083, 0, 1.67891e-12, 0, 1.41421, -1.67891e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68335e-14, 0, 0, 0, 1.92323e-13, 0, 1.46975e-12, 0, 0, 0
0.271941, 0, 2.87625e-12, 0, 1.41421, -2.87625e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87336e-14, 0, 0, 0, 3.38865e-13, 0, 2.50865e-12, 0, 0, 0
0.279799, 0, 4.8879e-12, 0, 1.41421, -4.8879e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86397e-14, 0, 0, 0, 5.92922e-13, 0, 4.24633e-12, 0, 0, 0
0.287658, 0, 8.24044e-12, 0, 1.41421, -8.24044e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16585e-14, 0, 0, 0, 1.03044e-12, 0, 7.12835e-12, 0, 0, 0
0.295516, 0, 1.37832e-11, 0, 1.41421, -1.37832e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35971e-13, 0, 0, 0, 1.77904e-12, 0, 1.18682e-11, 0, 0, 0
0.303374, 0, 2.28751e-11, 0, 1.41421, -2.28751e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24567e-13, 0, 0, 0, 3.05197e-12, 0, 1.95986e-11, 0, 0, 0
0.311233, 0, 3.76732e-11, 0, 1.41421, -3.76732e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67899e-13, 0, 0, 0, 5.20363e-12, 0, 3.21017e-11, 0, 0, 0
0.319091, 0, 6.15752e-11, 3.40516e-43, 1.41421, -6.15752e-11, 3.40516e-43, 0, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 3.40516e-43, 5.97882e-13, 3.40516e-43, 3.40516e-43, 3.40516e-43, 8.82018e-12, 3.40516e-43, 5.21571e-11, 3.40516e-43, 3.40516e-43, 3.40516e-43
0.326949, 0, 9.98931e-11, 5.83781e-42, 1.41421, -9.98931e-11, 5.83781e-42, 0, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 5.83781e-42, 9.639e-13, 5.83781e-42, 5.83781e-42, 5.83781e-42, 1.48668e-11, 5.83781e-42, 8.40624e-11, 5.83781e-42, 5.83781e-42, 5.83781e-42
0.334807, 0, 1.60873e-10, 8.2182e-41, 1.41421, -1.60873e-10, 8.2182e-41, 0, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 8.2182e-41, 1.54172e-12, 8.2182e-41, 8.2182e-41, 8.2182e-41, 2.49267e-11, 8.2182e-41, 1.34404e-10, 8.2182e-41, 8.2182e-41, 8.2182e-41
0.342666, 0, 2.57223e-10, 1.02593e-39, 1.41421, -2.57223e-10, 1.02593e-39, 0, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 1.02593e-39, 2.44656e-12, 1.02593e-39, 1.02593e-39, 1.02593e-39, 4.15879e-11, 1.02593e-39, 2.13188e-10, 1.02593e-39, 1.02593e-39, 1.02593e-39
0.350524, 0, 4.08409e-10, 1.14811e-38, 1.41421, -4.08409e-10, 1.14811e-38, 0, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 1.14811e-38, 3.85228e-12, 1.14811e-38, 1.14811e-38, 1.14811e-38, 6.90701e-11, 1.14811e-38, 3.35487e-10, 1.14811e-38, 1.14811e-38, 1.14811e-38
0.358382, 0, 6.44059e-10, 1.16255e-37, 1.41421, -6.44059e-10, 1.16255e-37, 0, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.16255e-37, 6.0189e-12, 1.16255e-37, 1.16255e-37, 1.16255e-37, 1.14238e-10, 1.16255e-37, 5.23802e-10, 1.16255e-37, 1.16255e-37, 1.16255e-37
0.366241, 0, 1.00902e-09, 1.07065e-36, 1.41421, -1.00902e-09, 1.07065e-36, 0, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.07065e-36, 9.33226e-12, 1.07065e-36, 1.07065e-36, 1.07065e-36, 1.88241e-10, 1.07065e-36, 8.11447e-10, 1.07065e-36, 1.07065e-36, 1.07065e-36
0.374099, 0, 1.57084e-09, 9.0185e-36, 1.41421, -1.57084e-09, 9.0185e-36, 0, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 9.0185e-36, 1.43602e-11, 9.0185e-36, 9.0185e-36, 9.0185e-36, 3.09169e-10, 9.0185e-36, 1.24731e-09, 9.0185e-36, 9.0185e-36, 9.0185e-36
0.381957, 0, 2.43082e-09, 6.97872e-35, 1.41421, -2.43082e-09, 6.97872e-35, 0, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 6.97872e-35, 2.19317e-11, 6.97872e-35, 6.97872e-35, 6.97872e-35, 5.06358e-10, 6.97872e-35, 1.90253e-09, 6.97872e-35, 6.97872e-35, 6.97872e-35
0.389816, 0, 3.74034e-09, 4.9331e-34, 1.41421, -3.74034e-09, 4.9331e-34, 0, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 4.9331e-34, 3.32478e-11, 4.9331e-34, 4.9331e-34, 4.9331e-34, 8.27353e-10, 4.9331e-34, 2.87974e-09, 4.9331e-34, 4.9331e-34, 4.9331e-34
0.397674, 0, 5.72502e-09, 3.37719e-33, 1.41421, -5.72502e-09, 3.37719e-33, 0, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 3.37719e-33, 5.00349e-11, 3.37719e-33, 3.37719e-33, 3.37719e-33, 1.34922e-09, 3.37719e-33, 4.32577e-09, 3.37719e-33, 3.37719e-33, 3.37719e-33
0.405532, 0, 8.7205e-09, 2.02913e-32, 1.41421, -8.7205e-09, 2.02913e-32, 0, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.02913e-32, 7.47566e-11, 2.02913e-32, 2.02913e-32, 2.02913e-32, 2.19683e-09, 2.02913e-32, 6.4489e-09, 2.02913e-32, 2.02913e-32, 2.02913e-32
0.413391, 0, 1.32256e-08, 1.21131e-31, 1.41421, -1.32256e-08, 1.21131e-31, 0, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.21131e-31, 1.10902e-10, 1.21131e-31, 1.21131e-31, 1.21131e-31, 3.57251e-09, 1.21131e-31, 9.54215e-09, 1.21131e-31, 1.21131e-31, 1.21131e-31
0.421249, 0, 1.99815e-08, 6.51763e-31, 1.41421, -1.99815e-08, 6.51763e-31, 0, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 6.51763e-31, 1.63378e-10, 6.51763e-31, 6.51763e-31, 6.51763e-31, 5.80379e-09, 6.51763e-31, 1.40143e-08, 6.51763e-31, 6.51763e-31, 6.51763e-31
0.429107, 0, 3.00903e-08, 3.39957e-30, 1.41421, -3.00903e-08, 3.39957e-30, 0, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 3.39957e-30, 2.39038e-10, 3.39957e-30, 3.39957e-30, 3.39957e-30, 9.42036e-09, 3.39957e-30, 2.04309e-08, 3.39957e-30, 3.39957e-30, 3.39957e-30
0.436965, 0, 4.51928e-08, 1.68654e-29, 1.41421, -4.51928e-08, 1.68654e-29, 0, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.68654e-29, 3.47391e-10, 1.68654e-29, 1.68654e-29, 1.68654e-29, 1.52773e-08, 1.68654e-29, 2.95681e-08, 1.68654e-29, 1.68654e-29, 1.68654e-29
0.444824, 0, 6.77353e-08, 7.93872e-29, 1.41421, -6.77353e-08, 7.93872e-29, 0, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 7.93872e-29, 5.01541e-10, 7.93872e-29, 7.93872e-29, 7.93872e-29, 2.47511e-08, 7.93872e-29, 4.24827e-08, 7.93872e-29, 7.93872e-29, 7.93872e-29
0.452682, 0, 1.01372e-07, 3.59644e-28, 1.41421, -1.01372e-07, 3.59644e-28, 0, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 3.59644e-28, 7.19438e-10, 3.59644e-28, 3.59644e-28, 3.59644e-28, 4.00509e-08, 3.59644e-28, 6.06014e-08, 3.59644e-28, 3.59644e-28, 3.59644e-28
0.46054, 0, 1.51567e-07, 1.55663e-27, 1.41421, -1.51567e-07, 1.55663e-27, 0, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.55663e-27, 1.02551e-09, 1.55663e-27, 1.55663e-27, 1.55663e-27, 6.47055e-08, 1.55663e-27, 8.58356e-08, 1.55663e-27, 1.55663e-27, 1.55663e-27
0.468399, 0, 2.26503e-07, 6.42205e-27, 1.41421, -2.26503e-07, 6.42205e-27, 0, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 6.42205e-27, 1.45283e-09, 6.42205e-27, 6.42205e-27, 6.42205e-27, 1.04324e-07, 6.42205e-27, 1.20726e-07, 6.42205e-27, 6.42205e-27, 6.42205e-27
0.476257, 0, 3.38435e-07, 2.52872e-26, 1.41421, -3.38435e-07, 2.52872e-26, 0, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.52872e-26, 2.04586e-09, 2.52872e-26, 2.52872e-26, 2.52872e-26, 1.67766e-07, 2.52872e-26, 1.68623e-07, 2.52872e-26, 2.52872e-26, 2.52872e-26
0.484115, 0, 5.05706e-07, 9.51669e-26, 1.41421, -5.05706e-07, 9.51669e-26, 0, 9.51669e-26, 9.51669e-26, 9.51669e-26, 9.51669e-26, 9.51669e-26, 9.51669e-26, 9.51669e-26, 9.00921e-13, 9.51669e-26, 9.51669e-26, 9.51669e-26, 2.86409e-09, 9.51669e-26, 9.51669e-26, 9.51669e-26, 2.68932e-07, 9.51669e-26, 2.3391e-07, 9.51669e-26, 9.51669e-26, 9.51669e-26
0.491974, 0, 7.55727e-07, 3.42974e-25, 1.41421, -7.55727e-07, 3.42974e-25, 0, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.07756e-12, 3.42974e-25, 3.42974e-25, 3.42974e-25, 3.98662e-09, 3.42974e-25, 3.42974e-25, 3.42974e-25, 4.29457e-07, 3.42974e-25, 3.2228e-07, 3.42974e-25, 3.42974e-25, 3.42974e-25
0.499832, 0, 1.13105e-06, 1.19624e-24, 1.41421, -1.13105e-06, 1.92765e-11, 0, 1.86343e-14, 3.48572e-11, 3.38379e-10, 1.21783e-11, 2.14928e-10, 3.84434e-11, 6.73829e-11, 4.94909e-11, 3.18916e-10, 4.12519e-11, 5.02608e-10, 5.51816e-09, 1.78593e-11, 5.55887e-13, 2.54872e-13, 6.82733e-07, 1.90997e-15, 4.41133e-07, 1.19624e-24, 1.19624e-24, 8.61837e-12
0.50769, 0, 1.69314e-06, 1.57573e-10, 1.41421, -1.69314e-06, 2.23124e-10, 1.57573e-10, 1.57636e-10, 2.76108e-10, 1.30826e-09, 1.98986e-10, 8.88454e-10, 2.88303e-10, 3.86714e-10, 3.17846e-10, 1.24207e-09, 2.97853e-10, 1.86673e-09, 7.75383e-09, 2.18305e-10, 1.59463e-10, 1.60245e-10, 1.08001e-06, 1.57579e-10, 6.00034e-07, 1.57573e-10, 1.57573e-10, 1.8688e-10
0.515549, 0, 2.5346e-06, 5.28445e-10, 1.41421, -2.5346e-06, 7.01777e-10, 5.28445e-10, 5.28612e-10, 8.41877e-10, 3.57112e-09, 6.37951e-10, 2.46106e-09, 8.74125e-10, 1.13435e-09, 9.45461e-10, 3.39611e-09, 8.99378e-10, 5.04785e-09, 1.09292e-08, 6.89034e-10, 5.33443e-10, 5.39539e-10, 1.6987e-06, 5.28462e-10, 8.11069e-07, 5.28445e-10, 5.28445e-10, 6.0594e-10
0.523407, 0, 3.79377e-06, 1.38294e-09, 1.41421, -3.79377e-06, 1.80071e-09, 1.38294e-09, 1.38334e-09, 2.13838e-09, 8.71641e-09, 1.64687e-09, 6.04094e-09, 2.2161e-09, 2.84329e-09, 2.37954e-09, 8.29461e-09, 2.27696e-09, 1.22756e-08, 1.55482e-08, 1.76999e-09, 1.39498e-09, 1.41522e-09, 2.65505e-06, 1.38298e-09, 1.0899e-06, 1.38294e-09, 1.38294e-09, 1.56972e-09
