   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_397.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0142513, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00639883, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00145369, 0, 3.93656e-17, 0, 1.41421, -3.93656e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22826e-19, 0, 0, 1.65118e-19, 0, 2.10906e-20, 0, 3.88565e-17, 0, 0
0.00930621, 0, 6.83023e-17, 0, 1.41421, -6.83023e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6008e-19, 0, 0, 2.91498e-19, 0, 3.73883e-20, 0, 6.74133e-17, 0, 0
0.0171587, 0, 1.17758e-16, 0, 1.41421, -1.17758e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65531e-19, 0, 0, 5.11402e-19, 0, 6.58892e-20, 0, 1.16215e-16, 0, 0
0.0250112, 0, 2.01755e-16, 0, 1.41421, -2.01755e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6541e-18, 0, 0, 8.91712e-19, 0, 1.15446e-19, 0, 1.99094e-16, 0, 0
0.0328638, 0, 3.4354e-16, 0, 1.41421, -3.4354e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81627e-18, 0, 0, 1.54549e-18, 0, 2.01133e-19, 0, 3.38977e-16, 0, 0
0.0407163, 0, 5.81415e-16, 0, 1.41421, -5.81415e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76586e-18, 0, 0, 2.66271e-18, 0, 3.4847e-19, 0, 5.73637e-16, 0, 0
0.0485688, 0, 9.78103e-16, 0, 1.41421, -9.78103e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01673e-18, 0, 0, 4.56079e-18, 0, 6.00447e-19, 0, 9.64925e-16, 0, 0
0.0564213, 0, 1.64415e-15, 0, 1.41421, -1.64415e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34742e-17, 0, 0, 7.82725e-18, 0, 1.03869e-18, 0, 1.62181e-15, 0, 0
0.0642738, 0, 2.73195e-15, 0, 1.41421, -2.73195e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23866e-17, 0, 0, 1.32442e-17, 0, 1.76947e-18, 0, 2.69455e-15, 0, 0
0.0721264, 0, 4.5134e-15, 0, 1.41421, -4.5134e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69806e-17, 0, 0, 2.22858e-17, 0, 2.99891e-18, 0, 4.45114e-15, 0, 0
0.0799789, 0, 7.41414e-15, 0, 1.41421, -7.41414e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07411e-17, 0, 0, 3.72952e-17, 0, 5.05686e-18, 0, 7.31105e-15, 0, 0
0.0878314, 0, 1.21106e-14, 0, 1.41421, -1.21106e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92059e-17, 0, 0, 6.20768e-17, 0, 8.48445e-18, 0, 1.19408e-14, 0, 0
0.0956839, 0, 1.96714e-14, 0, 1.41421, -1.96714e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61123e-16, 0, 0, 1.02775e-16, 0, 1.41651e-17, 0, 1.93934e-14, 0, 0
0.103536, 0, 3.17755e-14, 0, 1.41421, -3.17755e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60232e-16, 0, 0, 1.69258e-16, 0, 2.3534e-17, 0, 3.13224e-14, 0, 0
0.111389, 0, 5.10448e-14, 0, 1.41421, -5.10448e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17991e-16, 0, 0, 2.773e-16, 0, 3.89115e-17, 0, 5.03106e-14, 0, 0
0.119241, 0, 8.15512e-14, 0, 1.41421, -8.15512e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67714e-16, 0, 0, 4.51975e-16, 0, 6.4031e-17, 0, 8.03674e-14, 0, 0
0.127094, 0, 1.29581e-13, 0, 1.41421, -1.29581e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06083e-15, 0, 0, 7.32951e-16, 0, 1.04874e-16, 0, 1.27683e-13, 0, 0
0.134946, 0, 2.04787e-13, 0, 1.41421, -2.04787e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67629e-15, 0, 0, 1.18267e-15, 0, 1.70978e-16, 0, 2.01757e-13, 0, 0
0.142799, 0, 3.21902e-13, 0, 1.41421, -3.21902e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63458e-15, 0, 0, 1.89893e-15, 0, 2.77474e-16, 0, 3.17091e-13, 0, 0
0.150652, 0, 5.03289e-13, 0, 1.41421, -5.03289e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11856e-15, 0, 0, 3.03426e-15, 0, 4.48272e-16, 0, 4.95688e-13, 0, 0
0.158504, 0, 7.82701e-13, 0, 1.41421, -7.82701e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40419e-15, 0, 0, 4.82538e-15, 0, 7.2098e-16, 0, 7.7075e-13, 0, 0
0.166357, 0, 1.21079e-12, 0, 1.41421, -1.21079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90552e-15, 0, 0, 7.63852e-15, 0, 1.1545e-15, 0, 1.19209e-12, 0, 0
0.174209, 0, 1.86315e-12, 0, 1.41421, -1.86315e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52404e-14, 0, 0, 1.20371e-14, 0, 1.84068e-15, 0, 1.83403e-12, 0, 0
0.182062, 0, 2.85195e-12, 0, 1.41421, -2.85195e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33254e-14, 0, 0, 1.88854e-14, 0, 2.9222e-15, 0, 2.80681e-12, 0, 0
0.189914, 0, 4.34269e-12, 0, 1.41421, -4.34269e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5513e-14, 0, 0, 2.95041e-14, 0, 4.61975e-15, 0, 4.27306e-12, 0, 0
0.197767, 0, 6.57824e-12, 0, 1.41421, -6.57824e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37875e-14, 0, 0, 4.59049e-14, 0, 7.27341e-15, 0, 6.47128e-12, 0, 0
0.205619, 0, 9.91294e-12, 0, 1.41421, -9.91294e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.10435e-14, 0, 0, 7.11433e-14, 0, 1.14052e-14, 0, 9.74934e-12, 0, 0
0.213472, 0, 1.48609e-11, 0, 1.41421, -1.48609e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21481e-13, 0, 0, 1.09848e-13, 0, 1.78139e-14, 0, 1.46118e-11, 0, 0
0.221324, 0, 2.2164e-11, 0, 1.41421, -2.2164e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8116e-13, 0, 0, 1.69015e-13, 0, 2.77166e-14, 0, 2.17861e-11, 0, 0
0.229177, 0, 3.28864e-11, 0, 1.41421, -3.28864e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68775e-13, 0, 0, 2.59202e-13, 0, 4.2963e-14, 0, 3.23155e-11, 0, 0
0.237029, 0, 4.85471e-11, 0, 1.41421, -4.85471e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96731e-13, 0, 0, 3.9632e-13, 0, 6.63549e-14, 0, 4.76877e-11, 0, 0
0.244882, 0, 7.1301e-11, 0, 1.41421, -7.1301e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82636e-13, 0, 0, 6.04327e-13, 0, 1.02124e-13, 0, 7.00119e-11, 0, 0
0.252734, 0, 1.04189e-10, 3.08286e-44, 1.41421, -1.04189e-10, 0, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 8.51337e-13, 3.08286e-44, 3.08286e-44, 9.19276e-13, 3.08286e-44, 1.56642e-13, 3.08286e-44, 1.02262e-10, 3.08286e-44, 3.08286e-44
0.260587, 0, 1.5148e-10, 5.31092e-43, 1.41421, -1.5148e-10, 0, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 5.31092e-43, 1.23771e-12, 5.31092e-43, 5.31092e-43, 1.39543e-12, 5.31092e-43, 2.39485e-13, 5.31092e-43, 1.48607e-10, 5.31092e-43, 5.31092e-43
0.268439, 0, 2.1913e-10, 7.75058e-42, 1.41421, -2.1913e-10, 0, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 7.75058e-42, 1.79045e-12, 7.75058e-42, 7.75058e-42, 2.11448e-12, 7.75058e-42, 3.65004e-13, 7.75058e-42, 2.1486e-10, 7.75058e-42, 7.75058e-42
0.276292, 0, 3.15411e-10, 9.95707e-41, 1.41421, -3.15411e-10, 0, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 9.95707e-41, 2.5772e-12, 9.95707e-41, 9.95707e-41, 3.1995e-12, 9.95707e-41, 5.54663e-13, 9.95707e-41, 3.0908e-10, 9.95707e-41, 9.95707e-41
0.284144, 0, 4.51743e-10, 1.14587e-39, 1.41421, -4.51743e-10, 0, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 1.14587e-39, 3.69134e-12, 1.14587e-39, 1.14587e-39, 4.83601e-12, 1.14587e-39, 8.40498e-13, 1.14587e-39, 4.42375e-10, 1.14587e-39, 1.14587e-39
0.291997, 0, 6.43812e-10, 1.18971e-38, 1.41421, -6.43812e-10, 0, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 1.18971e-38, 5.26123e-12, 1.18971e-38, 1.18971e-38, 7.30409e-12, 1.18971e-38, 1.27024e-12, 1.18971e-38, 6.29976e-10, 1.18971e-38, 1.18971e-38
0.299849, 0, 9.13049e-10, 1.11987e-37, 1.41421, -9.13049e-10, 0, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 1.11987e-37, 7.46233e-12, 1.11987e-37, 1.11987e-37, 1.10269e-11, 1.11987e-37, 1.91488e-12, 1.11987e-37, 8.92645e-10, 1.11987e-37, 1.11987e-37
0.307702, 0, 1.28859e-09, 9.60459e-37, 1.41421, -1.28859e-09, 0, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 9.60459e-37, 1.05333e-11, 9.60459e-37, 9.60459e-37, 1.66444e-11, 9.60459e-37, 2.87983e-12, 9.60459e-37, 1.25853e-09, 9.60459e-37, 9.60459e-37
0.315554, 0, 1.80982e-09, 7.54515e-36, 1.41421, -1.80982e-09, 0, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 7.54515e-36, 1.47969e-11, 7.54515e-36, 7.54515e-36, 2.51253e-11, 7.54515e-36, 4.32134e-12, 7.54515e-36, 1.76558e-09, 7.54515e-36, 7.54515e-36
0.323407, 0, 2.52977e-09, 5.45667e-35, 1.41421, -2.52977e-09, 0, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 5.45667e-35, 2.06878e-11, 5.45667e-35, 5.45667e-35, 3.79371e-11, 5.45667e-35, 6.47073e-12, 5.45667e-35, 2.46467e-09, 5.45667e-35, 5.45667e-35
0.331259, 0, 3.51942e-09, 3.61203e-34, 1.41421, -3.51942e-09, 0, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 3.61203e-34, 2.87887e-11, 3.61203e-34, 3.61203e-34, 5.73031e-11, 3.61203e-34, 9.66981e-12, 3.61203e-34, 3.42366e-09, 3.61203e-34, 3.61203e-34
0.339112, 0, 4.87337e-09, 2.40976e-33, 1.41421, -4.87337e-09, 0, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 2.40976e-33, 3.98758e-11, 2.40976e-33, 2.40976e-33, 8.65912e-11, 2.40976e-33, 1.44228e-11, 2.40976e-33, 4.73248e-09, 2.40976e-33, 2.40976e-33
0.346964, 0, 6.71714e-09, 1.5306e-32, 1.41421, -6.71714e-09, 0, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 1.5306e-32, 5.498e-11, 1.5306e-32, 1.5306e-32, 1.30901e-10, 1.5306e-32, 2.14723e-11, 1.5306e-32, 6.50979e-09, 1.5306e-32, 1.5306e-32
0.354817, 0, 9.21653e-09, 9.07697e-32, 1.41421, -9.21653e-09, 0, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 9.07697e-32, 7.54627e-11, 9.07697e-32, 9.07697e-32, 1.97944e-10, 9.07697e-32, 3.19095e-11, 9.07697e-32, 8.91121e-09, 9.07697e-32, 9.07697e-32
0.36267, 0, 1.25895e-08, 5.03789e-31, 1.41421, -1.25895e-08, 0, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 5.03789e-31, 1.03115e-10, 5.03789e-31, 5.03789e-31, 2.99367e-10, 5.03789e-31, 4.73343e-11, 5.03789e-31, 1.21397e-08, 5.03789e-31, 5.03789e-31
0.370522, 0, 1.71219e-08, 2.6196e-30, 1.41421, -1.71219e-08, 0, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 2.6196e-30, 1.4028e-10, 2.6196e-30, 2.6196e-30, 4.52718e-10, 2.6196e-30, 7.00868e-11, 2.6196e-30, 1.64588e-08, 2.6196e-30, 2.6196e-30
0.378375, 0, 2.31863e-08, 1.27942e-29, 1.41421, -2.31863e-08, 0, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.27942e-29, 1.90014e-10, 1.27942e-29, 1.27942e-29, 6.84375e-10, 1.27942e-29, 1.0358e-10, 1.27942e-29, 2.22084e-08, 1.27942e-29, 1.27942e-29
