   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_788.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.00291153, 0, 8.358e-24, 0, 1.41421, -8.358e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83292e-28, 0, 1.75947e-24, 0, 6.59815e-24, 0, 0
0.010775, 0, 2.21872e-23, 0, 1.41421, -2.21872e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02708e-27, 0, 4.76748e-24, 0, 1.74187e-23, 0, 0
0.0186385, 0, 5.75119e-23, 0, 1.41421, -5.75119e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68836e-27, 0, 1.25927e-23, 0, 4.49165e-23, 0, 0
0.026502, 0, 1.45856e-22, 0, 1.41421, -1.45856e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.88677e-27, 0, 3.24991e-23, 0, 1.1335e-22, 0, 0
0.0343655, 0, 3.62503e-22, 0, 1.41421, -3.62503e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72934e-26, 0, 8.21049e-23, 0, 2.80381e-22, 0, 0
0.042229, 0, 8.84143e-22, 0, 1.41421, -8.84143e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26254e-26, 0, 2.0338e-22, 0, 6.80721e-22, 0, 0
0.0500925, 0, 2.11868e-21, 0, 1.41421, -2.11868e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03247e-25, 0, 4.94615e-22, 0, 1.62396e-21, 0, 0
0.057956, 0, 4.99315e-21, 0, 1.41421, -4.99315e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46002e-25, 0, 1.18233e-21, 0, 3.81057e-21, 0, 0
0.0658195, 0, 1.15834e-20, 0, 1.41421, -1.15834e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77071e-25, 0, 2.78068e-21, 0, 8.8021e-21, 0, 0
0.073683, 0, 2.64714e-20, 0, 1.41421, -2.64714e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33375e-24, 0, 6.43984e-21, 0, 2.00302e-20, 0, 0
