   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_392.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0142253, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00637364, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00147805, 0, 1.04531e-19, 0, 1.41421, -1.04531e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27352e-22, 0, 0, 1.70089e-22, 0, 0, 1.03534e-19, 0, 0
0.00932974, 0, 2.06531e-19, 0, 1.41421, -2.06531e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63462e-21, 0, 0, 3.41026e-22, 0, 0, 2.04555e-19, 0, 0
0.0171814, 0, 4.04206e-19, 0, 1.41421, -4.04206e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19908e-21, 0, 0, 6.77384e-22, 0, 0, 4.00329e-19, 0, 0
0.0250331, 0, 7.83857e-19, 0, 1.41421, -7.83857e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20367e-21, 0, 0, 1.3334e-21, 0, 0, 7.7632e-19, 0, 0
0.0328848, 0, 1.50663e-18, 0, 1.41421, -1.50663e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19236e-20, 0, 0, 2.60186e-21, 0, 0, 1.49211e-18, 0, 0
0.0407365, 0, 2.87095e-18, 0, 1.41421, -2.87095e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27203e-20, 0, 0, 5.03413e-21, 0, 0, 2.8432e-18, 0, 0
0.0485882, 0, 5.42486e-18, 0, 1.41421, -5.42486e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29304e-20, 0, 0, 9.66007e-21, 0, 0, 5.37227e-18, 0, 0
0.0564399, 0, 1.01668e-17, 0, 1.41421, -1.01668e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04545e-20, 0, 0, 1.83885e-20, 0, 0, 1.0068e-17, 0, 0
0.0642916, 0, 1.89016e-17, 0, 1.41421, -1.89016e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49572e-19, 0, 0, 3.47301e-20, 0, 0, 1.87173e-17, 0, 0
0.0721432, 0, 3.48658e-17, 0, 1.41421, -3.48658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75892e-19, 0, 0, 6.50934e-20, 0, 0, 3.45248e-17, 0, 0
0.0799949, 0, 6.38199e-17, 0, 1.41421, -6.38199e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04989e-19, 0, 0, 1.2109e-19, 0, 0, 6.31938e-17, 0, 0
0.0878466, 0, 1.15938e-16, 0, 1.41421, -1.15938e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17359e-19, 0, 0, 2.23609e-19, 0, 0, 1.14797e-16, 0, 0
0.0956983, 0, 2.0906e-16, 0, 1.41421, -2.0906e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65413e-18, 0, 0, 4.09953e-19, 0, 0, 2.06996e-16, 0, 0
