   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_832.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00945819, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00158845, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00628129, 0, 1.199e-27, 0, 1.41421, -1.199e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17965e-28, 0, 1.08104e-27, 0, 0
0.014151, 0, 5.16998e-27, 0, 1.41421, -5.16998e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78539e-28, 0, 4.59144e-27, 0, 0
0.0220208, 0, 2.02157e-26, 0, 1.41421, -2.02157e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47234e-27, 0, 1.77434e-26, 0, 0
0.0298905, 0, 7.3467e-26, 0, 1.41421, -7.3467e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60103e-27, 0, 6.3866e-26, 0, 0
0.0377602, 0, 2.51948e-25, 0, 1.41421, -2.51948e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4702e-26, 0, 2.17246e-25, 0, 0
0.04563, 0, 8.23642e-25, 0, 1.41421, -8.23642e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18484e-25, 0, 7.05158e-25, 0, 0
0.0534997, 0, 2.58494e-24, 0, 1.41421, -2.58494e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8592e-25, 0, 2.19902e-24, 0, 0
0.0613695, 0, 7.82885e-24, 0, 1.41421, -7.82885e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20741e-24, 0, 6.62144e-24, 0, 0
0.0692392, 0, 2.29718e-23, 0, 1.41421, -2.29718e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64703e-24, 0, 1.93247e-23, 0, 0
0.0771089, 0, 6.55059e-23, 0, 1.41421, -6.55059e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06765e-23, 0, 5.48294e-23, 0, 0
0.0849787, 0, 1.81983e-22, 0, 1.41421, -1.81983e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03835e-23, 0, 1.516e-22, 0, 0
0.0928484, 0, 4.93545e-22, 0, 1.41421, -4.93545e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4261e-23, 0, 4.09284e-22, 0, 0
0.100718, 0, 1.30888e-21, 0, 1.41421, -1.30888e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28175e-22, 0, 1.08071e-21, 0, 0
0.108588, 0, 3.39918e-21, 0, 1.41421, -3.39918e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04355e-22, 0, 2.79483e-21, 0, 0
0.116458, 0, 8.65519e-21, 0, 1.41421, -8.65519e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56789e-21, 0, 7.08731e-21, 0, 0
0.124327, 0, 2.16303e-20, 0, 1.41421, -2.16303e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98896e-21, 0, 1.76414e-20, 0, 0
0.132197, 0, 5.3126e-20, 0, 1.41421, -5.3126e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9694e-21, 0, 4.31566e-20, 0, 0
0.140067, 0, 1.28279e-19, 0, 1.41421, -1.28279e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44801e-20, 0, 1.03799e-19, 0, 0
0.147937, 0, 3.04737e-19, 0, 1.41421, -3.04737e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91095e-20, 0, 2.45627e-19, 0, 0
0.155806, 0, 7.12674e-19, 0, 1.41421, -7.12674e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40448e-19, 0, 5.72226e-19, 0, 0
0.163676, 0, 1.64173e-18, 0, 1.41421, -1.64173e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.286e-19, 0, 1.31313e-18, 0, 0
0.171546, 0, 3.72709e-18, 0, 1.41421, -3.72709e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57461e-19, 0, 2.96962e-18, 0, 0
0.179416, 0, 8.34245e-18, 0, 1.41421, -8.34245e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72114e-18, 0, 6.62132e-18, 0, 0
0.187285, 0, 1.87119e-17, 0, 1.41421, -1.87119e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93072e-18, 0, 1.47812e-17, 0, 0
0.195155, 0, 4.0684e-17, 0, 1.41421, -4.0684e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67129e-18, 0, 3.20127e-17, 0, 0
