   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_381.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0025682, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00529572, 0, 2.71345e-19, 0, 1.41421, -2.71345e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32202e-21, 0, 0, 3.67862e-24, 0, 6.82347e-20, 0, 2.00784e-19, 0, 0
0.0131596, 0, 5.37069e-19, 0, 1.41421, -5.37069e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57389e-21, 0, 0, 7.34992e-24, 0, 1.36987e-19, 0, 3.95501e-19, 0, 0
0.0210236, 0, 1.05301e-18, 0, 1.41421, -1.05301e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92399e-21, 0, 0, 1.45484e-23, 0, 2.72415e-19, 0, 7.71653e-19, 0, 0
0.0288875, 0, 2.04573e-18, 0, 1.41421, -2.04573e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72508e-20, 0, 0, 2.85369e-23, 0, 5.36789e-19, 0, 1.49166e-18, 0, 0
0.0367514, 0, 3.93911e-18, 0, 1.41421, -3.93911e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30476e-20, 0, 0, 5.54838e-23, 0, 1.0484e-18, 0, 2.85761e-18, 0, 0
0.0446153, 0, 7.51935e-18, 0, 1.41421, -7.51935e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27552e-20, 0, 0, 1.06953e-22, 0, 2.03007e-18, 0, 5.42641e-18, 0, 0
0.0524792, 0, 1.42328e-17, 0, 1.41421, -1.42328e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18148e-19, 0, 0, 2.04447e-22, 0, 3.89827e-18, 0, 1.02162e-17, 0, 0
0.0603431, 0, 2.67191e-17, 0, 1.41421, -2.67191e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20574e-19, 0, 0, 3.87628e-22, 0, 7.42516e-18, 0, 1.90729e-17, 0, 0
0.0682071, 0, 4.97565e-17, 0, 1.41421, -4.97565e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08419e-19, 0, 0, 7.29078e-22, 0, 1.40316e-17, 0, 3.53158e-17, 0, 0
