   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_413.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00342826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00443829, 0, 5.00948e-18, 0, 1.41421, -5.00948e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07648e-21, 0, 6.99923e-19, 0, 4.30848e-18, 0, 0, 0
0.0123048, 0, 9.32977e-18, 0, 1.41421, -9.32977e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02964e-21, 0, 1.32711e-18, 0, 8.00063e-18, 0, 0, 0
0.0201714, 0, 1.72401e-17, 0, 1.41421, -1.72401e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79718e-21, 0, 2.49711e-18, 0, 1.47392e-17, 0, 0, 0
0.0280379, 0, 3.16141e-17, 0, 1.41421, -3.16141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05034e-21, 0, 4.6637e-18, 0, 2.69434e-17, 0, 0, 0
0.0359045, 0, 5.75388e-17, 0, 1.41421, -5.75388e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29938e-20, 0, 8.64709e-18, 0, 4.88787e-17, 0, 0, 0
0.043771, 0, 1.03955e-16, 0, 1.41421, -1.03955e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37739e-20, 0, 1.59195e-17, 0, 8.80113e-17, 0, 0, 0
0.0516375, 0, 1.86462e-16, 0, 1.41421, -1.86462e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31882e-20, 0, 2.91059e-17, 0, 1.57313e-16, 0, 0, 0
0.0595041, 0, 3.32091e-16, 0, 1.41421, -3.32091e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79083e-20, 0, 5.28555e-17, 0, 2.79158e-16, 0, 0, 0
0.0673706, 0, 5.87351e-16, 0, 1.41421, -5.87351e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39575e-19, 0, 9.53497e-17, 0, 4.91862e-16, 0, 0, 0
0.0752372, 0, 1.03171e-15, 0, 1.41421, -1.03171e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4836e-19, 0, 1.70893e-16, 0, 8.60567e-16, 0, 0, 0
