   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_625.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0150322, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00715352, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000725201, 0, 1.10593e-16, 0, 1.41421, -1.10593e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20559e-19, 0, 3.76485e-18, 0, 1.06608e-16, 0, 0, 0
0.00860392, 0, 1.9085e-16, 0, 1.41421, -1.9085e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87093e-19, 0, 6.6334e-18, 0, 1.83829e-16, 0, 0, 0
0.0164826, 0, 3.2735e-16, 0, 1.41421, -3.2735e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75294e-19, 0, 1.16216e-17, 0, 3.15054e-16, 0, 0, 0
0.0243614, 0, 5.58126e-16, 0, 1.41421, -5.58126e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17112e-18, 0, 2.02479e-17, 0, 5.36707e-16, 0, 0, 0
0.0322401, 0, 9.4599e-16, 0, 1.41421, -9.4599e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01918e-18, 0, 3.50853e-17, 0, 9.08886e-16, 0, 0, 0
0.0401188, 0, 1.59408e-15, 0, 1.41421, -1.59408e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46147e-18, 0, 6.04704e-17, 0, 1.53015e-15, 0, 0, 0
0.0479975, 0, 2.67078e-15, 0, 1.41421, -2.67078e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90047e-18, 0, 1.03675e-16, 0, 2.5612e-15, 0, 0, 0
0.0558762, 0, 4.44934e-15, 0, 1.41421, -4.44934e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0002e-17, 0, 1.76829e-16, 0, 4.26251e-15, 0, 0, 0
0.0637549, 0, 7.37077e-15, 0, 1.41421, -7.37077e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68614e-17, 0, 3.00064e-16, 0, 7.05385e-15, 0, 0, 0
