   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_21.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00167396, 0, 2.31984e-18, 0, 1.41421, -2.31984e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24071e-19, 0, 0, 2.73404e-22, 0, 6.27925e-21, 0, 2.18922e-18, 0, 0, 0
0.00952907, 0, 4.3792e-18, 0, 1.41421, -4.3792e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34198e-19, 0, 0, 5.24512e-22, 0, 1.20694e-20, 0, 4.13241e-18, 0, 0, 0
0.0173842, 0, 8.19938e-18, 0, 1.41421, -8.19938e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38476e-19, 0, 0, 9.98163e-22, 0, 2.30144e-20, 0, 7.73689e-18, 0, 0, 0
0.0252393, 0, 1.523e-17, 0, 1.41421, -1.523e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14406e-19, 0, 0, 1.88465e-21, 0, 4.3546e-20, 0, 1.43702e-17, 0, 0, 0
0.0330944, 0, 2.80694e-17, 0, 1.41421, -2.80694e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50089e-18, 0, 0, 3.53126e-21, 0, 8.17766e-20, 0, 2.64832e-17, 0, 0, 0
0.0409495, 0, 5.1339e-17, 0, 1.41421, -5.1339e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74498e-18, 0, 0, 6.56703e-21, 0, 1.52449e-19, 0, 4.8435e-17, 0, 0, 0
0.0488046, 0, 9.31985e-17, 0, 1.41421, -9.31985e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9828e-18, 0, 0, 1.21233e-20, 0, 2.82171e-19, 0, 8.79214e-17, 0, 0, 0
0.0566597, 0, 1.67949e-16, 0, 1.41421, -1.67949e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97872e-18, 0, 0, 2.22201e-20, 0, 5.18644e-19, 0, 1.58429e-16, 0, 0, 0
0.0645148, 0, 3.00474e-16, 0, 1.41421, -3.00474e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60626e-17, 0, 0, 4.04395e-20, 0, 9.46807e-19, 0, 2.83424e-16, 0, 0, 0
0.07237, 0, 5.33764e-16, 0, 1.41421, -5.33764e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85318e-17, 0, 0, 7.30895e-20, 0, 1.71694e-18, 0, 5.03442e-16, 0, 0, 0
0.0802251, 0, 9.41565e-16, 0, 1.41421, -9.41565e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03267e-17, 0, 0, 1.31203e-19, 0, 3.0932e-18, 0, 8.88014e-16, 0, 0, 0
0.0880802, 0, 1.6495e-15, 0, 1.41421, -1.6495e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81595e-17, 0, 0, 2.33949e-19, 0, 5.53704e-18, 0, 1.55557e-15, 0, 0, 0
0.0959353, 0, 2.8701e-15, 0, 1.41421, -2.8701e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53384e-16, 0, 0, 4.14408e-19, 0, 9.84953e-18, 0, 2.70645e-15, 0, 0, 0
0.10379, 0, 4.96044e-15, 0, 1.41421, -4.96044e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65073e-16, 0, 0, 7.29302e-19, 0, 1.74129e-17, 0, 4.67722e-15, 0, 0, 0
0.111646, 0, 8.51636e-15, 0, 1.41421, -8.51636e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55053e-16, 0, 0, 1.27525e-18, 0, 3.0598e-17, 0, 8.02943e-15, 0, 0, 0
0.119501, 0, 1.45255e-14, 0, 1.41421, -1.45255e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7607e-16, 0, 0, 2.2158e-18, 0, 5.34469e-17, 0, 1.36938e-14, 0, 0, 0
0.127356, 0, 2.4614e-14, 0, 1.41421, -2.4614e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31495e-15, 0, 0, 3.82612e-18, 0, 9.28119e-17, 0, 2.32024e-14, 0, 0, 0
0.135211, 0, 4.1441e-14, 0, 1.41421, -4.1441e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21369e-15, 0, 0, 6.56621e-18, 0, 1.60241e-16, 0, 3.90605e-14, 0, 0, 0
0.143066, 0, 6.93269e-14, 0, 1.41421, -6.93269e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70292e-15, 0, 0, 1.12004e-17, 0, 2.75088e-16, 0, 6.53377e-14, 0, 0, 0
0.150921, 0, 1.15244e-13, 0, 1.41421, -1.15244e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15485e-15, 0, 0, 1.89912e-17, 0, 4.69603e-16, 0, 1.08601e-13, 0, 0, 0
0.158776, 0, 1.90373e-13, 0, 1.41421, -1.90373e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01661e-14, 0, 0, 3.20113e-17, 0, 7.97238e-16, 0, 1.79378e-13, 0, 0, 0
0.166631, 0, 3.1252e-13, 0, 1.41421, -3.1252e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66871e-14, 0, 0, 5.36442e-17, 0, 1.34609e-15, 0, 2.94433e-13, 0, 0, 0
0.174486, 0, 5.09865e-13, 0, 1.41421, -5.09865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72213e-14, 0, 0, 8.93821e-17, 0, 2.26069e-15, 0, 4.80293e-13, 0, 0, 0
0.182342, 0, 8.2671e-13, 0, 1.41421, -8.2671e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41325e-14, 0, 0, 1.4809e-16, 0, 3.77677e-15, 0, 7.78653e-13, 0, 0, 0
0.190197, 0, 1.33226e-12, 0, 1.41421, -1.33226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11125e-14, 0, 0, 2.44001e-16, 0, 6.27684e-15, 0, 1.25463e-12, 0, 0, 0
0.198052, 0, 2.13392e-12, 0, 1.41421, -2.13392e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1389e-13, 0, 0, 3.99848e-16, 0, 1.03786e-14, 0, 2.00925e-12, 0, 0, 0
0.205907, 0, 3.39728e-12, 0, 1.41421, -3.39728e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81298e-13, 0, 0, 6.51756e-16, 0, 1.70746e-14, 0, 3.19825e-12, 0, 0, 0
0.213762, 0, 5.37604e-12, 0, 1.41421, -5.37604e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86869e-13, 0, 0, 1.05691e-15, 0, 2.79522e-14, 0, 5.06016e-12, 0, 0, 0
0.221617, 0, 8.4564e-12, 0, 1.41421, -8.4564e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51198e-13, 0, 0, 1.70533e-15, 0, 4.55383e-14, 0, 7.95796e-12, 0, 0, 0
0.229472, 0, 1.32224e-11, 0, 1.41421, -1.32224e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0544e-13, 0, 0, 2.73821e-15, 0, 7.38373e-14, 0, 1.24404e-11, 0, 0, 0
0.237327, 0, 2.05518e-11, 0, 1.41421, -2.05518e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09641e-12, 0, 0, 4.37616e-15, 0, 1.19169e-13, 0, 1.93318e-11, 0, 0, 0
0.245182, 0, 3.1755e-11, 0, 1.41421, -3.1755e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69404e-12, 0, 0, 6.96271e-15, 0, 1.91464e-13, 0, 2.98625e-11, 0, 0, 0
