   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_232.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0457509, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0376684, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0295859, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0215034, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0134209, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00533843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00274405, 0, 1.02046e-20, 0, 1.41421, -1.02046e-20, 0, 0, 0, 0, 0, 0, 0, 6.87555e-23, 0, 0, 8.99683e-26, 3.18943e-24, 0, 1.01325e-20, 0, 0
0.0108265, 0, 3.08532e-20, 0, 1.41421, -3.08532e-20, 0, 0, 0, 0, 0, 0, 0, 2.07877e-22, 0, 0, 2.79829e-25, 1.00833e-23, 0, 3.0635e-20, 0, 0
0.018909, 0, 8.4299e-20, 0, 1.41421, -8.4299e-20, 0, 0, 0, 0, 0, 0, 0, 5.6797e-22, 0, 0, 7.78784e-25, 2.83382e-23, 0, 8.37019e-20, 0, 0
0.0269915, 0, 2.24725e-19, 0, 1.41421, -2.24725e-19, 0, 0, 0, 0, 0, 0, 0, 1.51408e-21, 0, 0, 2.11614e-24, 7.77012e-23, 0, 2.23131e-19, 0, 0
0.035074, 0, 5.84943e-19, 0, 1.41421, -5.84943e-19, 0, 0, 0, 0, 0, 0, 0, 3.94102e-21, 0, 0, 5.61561e-24, 2.07917e-22, 0, 5.80789e-19, 0, 0
0.0431565, 0, 1.48843e-18, 0, 1.41421, -1.48843e-18, 0, 0, 0, 0, 0, 0, 0, 1.00281e-20, 0, 0, 1.45715e-23, 5.43701e-22, 0, 1.47784e-18, 0, 0
0.051239, 0, 3.70641e-18, 0, 1.41421, -3.70641e-18, 0, 0, 0, 0, 0, 0, 0, 2.49712e-20, 0, 0, 3.70116e-23, 1.39114e-21, 0, 3.68001e-18, 0, 0
