   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_764.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.145776, 0, 1.48164e-16, 0, 1.41421, -1.48164e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67398e-19, 0, 0, 8.32789e-20, 0, 0, 1.47113e-16, 0, 0, 0
0.153779, 0, 2.82377e-16, 0, 1.41421, -2.82377e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84369e-18, 0, 0, 1.61207e-19, 0, 0, 2.80372e-16, 0, 0, 0
0.161783, 0, 5.33552e-16, 0, 1.41421, -5.33552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48363e-18, 0, 0, 3.09483e-19, 0, 0, 5.29759e-16, 0, 0, 0
0.169786, 0, 9.99616e-16, 0, 1.41421, -9.99616e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52654e-18, 0, 0, 5.89309e-19, 0, 0, 9.925e-16, 0, 0, 0
0.17779, 0, 1.85715e-15, 0, 1.41421, -1.85715e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21252e-17, 0, 0, 1.11317e-18, 0, 0, 1.84391e-15, 0, 0, 0
0.185793, 0, 3.42183e-15, 0, 1.41421, -3.42183e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23407e-17, 0, 0, 2.0861e-18, 0, 0, 3.3974e-15, 0, 0, 0
0.193797, 0, 6.25326e-15, 0, 1.41421, -6.25326e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08263e-17, 0, 0, 3.87915e-18, 0, 0, 6.20856e-15, 0, 0, 0
0.2018, 0, 1.13351e-14, 0, 1.41421, -1.13351e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4004e-17, 0, 0, 7.1583e-18, 0, 0, 1.1254e-14, 0, 0, 0
0.209804, 0, 2.03823e-14, 0, 1.41421, -2.03823e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33069e-16, 0, 0, 1.31101e-17, 0, 0, 2.02361e-14, 0, 0, 0
0.217807, 0, 3.63588e-14, 0, 1.41421, -3.63588e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3737e-16, 0, 0, 2.38327e-17, 0, 0, 3.60976e-14, 0, 0, 0
