   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00892721, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00102705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00687312, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0147733, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0226735, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0305736, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0384738, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.046374, 0, 1.39822e-29, 0, 1.41421, -1.39822e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98565e-32, 0, 0, 2.39016e-34, 9.82043e-36, 0, 1.39521e-29, 0, 0, 0
0.0542741, 0, 1.34319e-28, 0, 1.41421, -1.34319e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86811e-31, 0, 0, 2.29607e-33, 2.07906e-33, 0, 1.34028e-28, 0, 0, 0
0.0621743, 0, 9.77676e-28, 0, 1.41421, -9.77676e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0876e-30, 0, 0, 1.67512e-32, 2.72755e-32, 0, 9.75544e-28, 0, 0, 0
0.0700745, 0, 4.86061e-27, 0, 1.41421, -4.86061e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03786e-29, 0, 0, 8.36723e-32, 1.60399e-31, 0, 4.84999e-27, 0, 0, 0
0.0779746, 0, 2.0465e-26, 0, 1.41421, -2.0465e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36979e-29, 0, 0, 3.54478e-31, 7.41855e-31, 0, 2.04202e-26, 0, 0, 0
0.0858748, 0, 7.78973e-26, 0, 1.41421, -7.78973e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6633e-28, 0, 0, 1.35878e-30, 3.01376e-30, 0, 7.77266e-26, 0, 0, 0
0.093775, 0, 2.76108e-25, 0, 1.41421, -2.76108e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89556e-28, 0, 0, 4.85245e-30, 1.12343e-29, 0, 2.75502e-25, 0, 0, 0
0.101675, 0, 9.26343e-25, 0, 1.41421, -9.26343e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97796e-27, 0, 0, 1.64073e-29, 3.92896e-29, 0, 9.24309e-25, 0, 0, 0
0.109575, 0, 2.97175e-24, 0, 1.41421, -2.97175e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34538e-27, 0, 0, 5.30588e-29, 1.30619e-28, 0, 2.96523e-24, 0, 0, 0
0.117475, 0, 9.17871e-24, 0, 1.41421, -9.17871e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95986e-26, 0, 0, 1.6523e-28, 4.16348e-28, 0, 9.15853e-24, 0, 0, 0
0.125376, 0, 2.74293e-23, 0, 1.41421, -2.74293e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85676e-26, 0, 0, 4.97932e-28, 1.28005e-27, 0, 2.73689e-23, 0, 0, 0
0.133276, 0, 7.95998e-23, 0, 1.41421, -7.95998e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69963e-25, 0, 0, 1.45748e-27, 3.81263e-27, 0, 7.94246e-23, 0, 0, 0
0.141176, 0, 2.24969e-22, 0, 1.41421, -2.24969e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80358e-25, 0, 0, 4.15564e-27, 1.10386e-26, 0, 2.24473e-22, 0, 0, 0
0.149076, 0, 6.20636e-22, 0, 1.41421, -6.20636e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32519e-24, 0, 0, 1.15684e-26, 3.11485e-26, 0, 6.19268e-22, 0, 0, 0
0.156976, 0, 1.67444e-21, 0, 1.41421, -1.67444e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57528e-24, 0, 0, 3.15012e-26, 8.58475e-26, 0, 1.67074e-21, 0, 0, 0
0.164876, 0, 4.42474e-21, 0, 1.41421, -4.42474e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.44776e-24, 0, 0, 8.40369e-26, 2.31498e-25, 0, 4.41498e-21, 0, 0, 0
0.172777, 0, 1.14673e-20, 0, 1.41421, -1.14673e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4485e-23, 0, 0, 2.19925e-25, 6.11694e-25, 0, 1.1442e-20, 0, 0, 0
0.180677, 0, 2.91783e-20, 0, 1.41421, -2.91783e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23016e-23, 0, 0, 5.65218e-25, 1.58571e-24, 0, 2.91138e-20, 0, 0, 0
0.188577, 0, 7.29622e-20, 0, 1.41421, -7.29622e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55789e-22, 0, 0, 1.42795e-24, 4.03715e-24, 0, 7.2801e-20, 0, 0, 0
0.196477, 0, 1.79441e-19, 0, 1.41421, -1.79441e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83142e-22, 0, 0, 3.54905e-24, 1.01037e-23, 0, 1.79044e-19, 0, 0, 0
0.204377, 0, 4.34347e-19, 0, 1.41421, -4.34347e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27418e-22, 0, 0, 8.68422e-24, 2.48762e-23, 0, 4.33386e-19, 0, 0, 0
0.212278, 0, 1.0354e-18, 0, 1.41421, -1.0354e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21077e-21, 0, 0, 2.0933e-23, 6.02948e-23, 0, 1.0331e-18, 0, 0, 0
0.220178, 0, 2.43198e-18, 0, 1.41421, -2.43198e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19274e-21, 0, 0, 4.97343e-23, 1.43957e-22, 0, 2.42659e-18, 0, 0, 0
0.228078, 0, 5.63118e-18, 0, 1.41421, -5.63118e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20236e-20, 0, 0, 1.16522e-22, 3.3874e-22, 0, 5.6187e-18, 0, 0, 0
0.235978, 0, 1.28589e-17, 0, 1.41421, -1.28589e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74561e-20, 0, 0, 2.69325e-22, 7.85942e-22, 0, 1.28304e-17, 0, 0, 0
0.243878, 0, 2.89689e-17, 0, 1.41421, -2.89689e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18536e-20, 0, 0, 6.14366e-22, 1.79881e-21, 0, 2.89046e-17, 0, 0, 0
0.251778, 0, 6.44054e-17, 0, 1.41421, -6.44054e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37516e-19, 0, 0, 1.38359e-21, 4.06269e-21, 0, 6.42624e-17, 0, 0, 0
0.259679, 0, 1.41351e-16, 0, 1.41421, -1.41351e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01807e-19, 0, 0, 3.07716e-21, 9.05776e-21, 0, 1.41037e-16, 0, 0, 0
0.267579, 0, 3.06318e-16, 0, 1.41421, -3.06318e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54031e-19, 0, 0, 6.76039e-21, 1.99406e-20, 0, 3.05637e-16, 0, 0, 0
0.275479, 0, 6.55606e-16, 0, 1.41421, -6.55606e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3998e-18, 0, 0, 1.46753e-20, 4.33598e-20, 0, 6.54149e-16, 0, 0, 0
0.283379, 0, 1.38612e-15, 0, 1.41421, -1.38612e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9595e-18, 0, 0, 3.14838e-20, 9.31491e-20, 0, 1.38303e-15, 0, 0, 0
0.291279, 0, 2.89548e-15, 0, 1.41421, -2.89548e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18205e-18, 0, 0, 6.67677e-20, 1.97747e-19, 0, 2.88903e-15, 0, 0, 0
0.299179, 0, 5.97691e-15, 0, 1.41421, -5.97691e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27609e-17, 0, 0, 1.39993e-19, 4.14932e-19, 0, 5.96359e-15, 0, 0, 0
0.30708, 0, 1.21936e-14, 0, 1.41421, -1.21936e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60335e-17, 0, 0, 2.90282e-19, 8.60731e-19, 0, 1.21664e-14, 0, 0, 0
0.31498, 0, 2.46656e-14, 0, 1.41421, -2.46656e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26603e-17, 0, 0, 5.98139e-19, 1.7733e-18, 0, 2.46106e-14, 0, 0, 0
0.32288, 0, 4.91452e-14, 0, 1.41421, -4.91452e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04922e-16, 0, 0, 1.21297e-18, 3.59481e-18, 0, 4.90354e-14, 0, 0, 0
0.33078, 0, 9.68181e-14, 0, 1.41421, -9.68181e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06697e-16, 0, 0, 2.43425e-18, 7.20877e-18, 0, 9.66018e-14, 0, 0, 0
0.33868, 0, 1.88606e-13, 0, 1.41421, -1.88606e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02648e-16, 0, 0, 4.83556e-18, 1.43023e-17, 0, 1.88184e-13, 0, 0, 0
0.34658, 0, 3.63335e-13, 0, 1.41421, -3.63335e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75664e-16, 0, 0, 9.51033e-18, 2.80796e-17, 0, 3.62522e-13, 0, 0, 0
0.354481, 0, 6.92219e-13, 0, 1.41421, -6.92219e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47778e-15, 0, 0, 1.8524e-17, 5.45614e-17, 0, 6.90668e-13, 0, 0, 0
0.362381, 0, 1.30434e-12, 2.38221e-44, 1.41421, -1.30434e-12, 2.38221e-44, 0, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.78458e-15, 2.38221e-44, 2.38221e-44, 3.57439e-17, 1.04946e-16, 2.38221e-44, 1.30141e-12, 2.38221e-44, 2.38221e-44, 2.38221e-44
0.370281, 0, 2.43092e-12, 4.21791e-43, 1.41421, -2.43092e-12, 4.21791e-43, 0, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 4.21791e-43, 5.18981e-15, 4.21791e-43, 4.21791e-43, 6.83526e-17, 1.9986e-16, 4.21791e-43, 2.42546e-12, 4.21791e-43, 4.21791e-43, 4.21791e-43
0.378181, 0, 4.48132e-12, 6.21616e-42, 1.41421, -4.48132e-12, 6.21616e-42, 0, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 6.21616e-42, 9.56778e-15, 6.21616e-42, 6.21616e-42, 1.29594e-16, 3.76933e-16, 6.21616e-42, 4.47125e-12, 6.21616e-42, 6.21616e-42, 6.21616e-42
0.386081, 0, 8.17183e-12, 8.06111e-41, 1.41421, -8.17183e-12, 8.06111e-41, 0, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 8.06111e-41, 1.74486e-14, 8.06111e-41, 8.06111e-41, 2.43729e-16, 7.04204e-16, 8.06111e-41, 8.15344e-12, 8.06111e-41, 8.06111e-41, 8.06111e-41
0.393981, 0, 1.47411e-11, 9.35906e-40, 1.41421, -1.47411e-11, 9.35906e-40, 0, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 9.35906e-40, 3.14796e-14, 9.35906e-40, 9.35906e-40, 4.54956e-16, 1.30368e-15, 9.35906e-40, 1.47079e-11, 9.35906e-40, 9.35906e-40, 9.35906e-40
0.401882, 0, 2.63059e-11, 9.80537e-39, 1.41421, -2.63059e-11, 9.80537e-39, 0, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 9.80537e-39, 5.6187e-14, 9.80537e-39, 9.80537e-39, 8.43439e-16, 2.39245e-15, 9.80537e-39, 2.62465e-11, 9.80537e-39, 9.80537e-39, 9.80537e-39
0.409782, 0, 4.64422e-11, 9.32285e-38, 1.41421, -4.64422e-11, 9.32285e-38, 0, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.32285e-38, 9.92229e-14, 9.32285e-38, 9.32285e-38, 1.5541e-15, 4.35434e-15, 9.32285e-38, 4.63371e-11, 9.32285e-38, 9.32285e-38, 9.32285e-38
