   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.186455, 0, 5.90731e-13, 0, 1.41421, -5.90731e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62365e-15, 0, 0, 2.37983e-17, 5.09353e-15, 0, 5.8299e-13, 0, 0
0.194328, 0, 9.48255e-13, 0, 1.41421, -9.48255e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2105e-15, 0, 0, 3.90468e-17, 8.43899e-15, 0, 9.35567e-13, 0, 0
0.2022, 0, 1.51297e-12, 0, 1.41421, -1.51297e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71626e-15, 0, 0, 6.37239e-17, 1.39119e-14, 0, 1.49228e-12, 0, 0
0.210073, 0, 2.39949e-12, 0, 1.41421, -2.39949e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06488e-14, 0, 0, 1.03457e-16, 2.28215e-14, 0, 2.36592e-12, 0, 0
0.217946, 0, 3.7827e-12, 0, 1.41421, -3.7827e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67827e-14, 0, 0, 1.67111e-16, 3.72564e-14, 0, 3.72849e-12, 0, 0
0.225819, 0, 5.92777e-12, 0, 1.41421, -5.92777e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62924e-14, 0, 0, 2.686e-16, 6.05343e-14, 0, 5.84067e-12, 0, 0
0.233692, 0, 9.23418e-12, 0, 1.41421, -9.23418e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09461e-14, 0, 0, 4.2967e-16, 9.79016e-14, 0, 9.0949e-12, 0, 0
0.241565, 0, 1.42999e-11, 0, 1.41421, -1.42999e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33899e-14, 0, 0, 6.8418e-16, 1.57621e-13, 0, 1.40782e-11, 0, 0
0.249438, 0, 2.20144e-11, 0, 1.41421, -2.20144e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7559e-14, 0, 0, 1.08469e-15, 2.52654e-13, 0, 2.16632e-11, 0, 0
0.257311, 0, 3.36924e-11, 0, 1.41421, -3.36924e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49267e-13, 0, 0, 1.71253e-15, 4.0326e-13, 0, 3.31382e-11, 0, 0
0.265183, 0, 5.12644e-11, 0, 1.41421, -5.12644e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27049e-13, 0, 0, 2.69326e-15, 6.40985e-13, 0, 5.03937e-11, 0, 0
0.273056, 0, 7.75483e-11, 9.80909e-45, 1.41421, -7.75483e-11, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 3.43362e-13, 9.80909e-45, 9.80909e-45, 4.2204e-15, 1.01481e-12, 9.80909e-45, 7.61859e-11, 9.80909e-45, 9.80909e-45
0.280929, 0, 1.1663e-10, 1.76564e-43, 1.41421, -1.1663e-10, 1.76564e-43, 0, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 1.76564e-43, 5.1626e-13, 1.76564e-43, 1.76564e-43, 6.59162e-15, 1.60054e-12, 1.76564e-43, 1.14506e-10, 1.76564e-43, 1.76564e-43
0.288802, 0, 1.74398e-10, 2.55737e-42, 1.41421, -1.74398e-10, 2.55737e-42, 0, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 2.55737e-42, 7.71766e-13, 2.55737e-42, 2.55737e-42, 1.02646e-14, 2.51517e-12, 2.55737e-42, 1.71101e-10, 2.55737e-42, 2.55737e-42
0.296675, 0, 2.59288e-10, 3.40782e-41, 1.41421, -2.59288e-10, 3.40782e-41, 0, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 3.40782e-41, 1.14714e-12, 3.40782e-41, 3.40782e-41, 1.59424e-14, 3.93885e-12, 3.40782e-41, 2.54186e-10, 3.40782e-41, 3.40782e-41
0.304548, 0, 3.83303e-10, 4.07681e-40, 1.41421, -3.83303e-10, 4.07681e-40, 0, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 4.07681e-40, 1.69542e-12, 4.07681e-40, 4.07681e-40, 2.47053e-14, 6.14835e-12, 4.07681e-40, 3.75434e-10, 4.07681e-40, 4.07681e-40
0.312421, 0, 5.63426e-10, 4.39449e-39, 1.41421, -5.63426e-10, 4.39449e-39, 0, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 4.39449e-39, 2.49163e-12, 4.39449e-39, 4.39449e-39, 3.82132e-14, 9.56802e-12, 4.39449e-39, 5.51328e-10, 4.39449e-39, 4.39449e-39
0.320294, 0, 8.23535e-10, 4.28743e-38, 1.41421, -8.23535e-10, 4.28743e-38, 0, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 4.28743e-38, 3.64128e-12, 4.28743e-38, 4.28743e-38, 5.90189e-14, 1.48474e-11, 4.28743e-38, 8.04987e-10, 4.28743e-38, 4.28743e-38
0.328166, 0, 1.197e-09, 3.80595e-37, 1.41421, -1.197e-09, 3.80595e-37, 0, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 3.80595e-37, 5.29184e-12, 3.80595e-37, 3.80595e-37, 9.10504e-14, 2.29791e-11, 3.80595e-37, 1.16864e-09, 3.80595e-37, 3.80595e-37
0.336039, 0, 1.73019e-09, 3.09001e-36, 1.41421, -1.73019e-09, 3.09001e-36, 0, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 3.09001e-36, 7.64827e-12, 3.09001e-36, 3.09001e-36, 1.40359e-13, 3.54782e-11, 3.09001e-36, 1.68692e-09, 3.09001e-36, 3.09001e-36
0.343912, 0, 2.48713e-09, 2.30582e-35, 1.41421, -2.48713e-09, 2.30582e-35, 0, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 2.30582e-35, 1.09938e-11, 2.30582e-35, 2.30582e-35, 2.1627e-13, 5.46539e-11, 2.30582e-35, 2.42126e-09, 2.30582e-35, 2.30582e-35
0.351785, 0, 3.55577e-09, 1.58865e-34, 1.41421, -3.55577e-09, 1.58865e-34, 0, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.58865e-34, 1.57174e-11, 1.58865e-34, 1.58865e-34, 3.33174e-13, 8.40215e-11, 1.58865e-34, 3.4557e-09, 1.58865e-34, 1.58865e-34
0.359658, 0, 5.05619e-09, 1.07816e-33, 1.41421, -5.05619e-09, 1.07816e-33, 0, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 1.07816e-33, 2.23506e-11, 1.07816e-33, 1.07816e-33, 5.13269e-13, 1.28925e-10, 1.07816e-33, 4.9044e-09, 1.07816e-33, 1.07816e-33
0.367531, 0, 7.15148e-09, 7.02088e-33, 1.41421, -7.15148e-09, 7.02088e-33, 0, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 7.02088e-33, 3.16158e-11, 7.02088e-33, 7.02088e-33, 7.9082e-13, 1.97481e-10, 7.02088e-33, 6.9216e-09, 7.02088e-33, 7.02088e-33
0.375404, 0, 1.0062e-08, 4.28775e-32, 1.41421, -1.0062e-08, 4.28775e-32, 0, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.28775e-32, 4.44892e-11, 4.28775e-32, 4.28775e-32, 1.21868e-12, 3.01989e-10, 4.28775e-32, 9.71429e-09, 4.28775e-32, 4.28775e-32
0.383277, 0, 1.40838e-08, 2.44654e-31, 1.41421, -1.40838e-08, 2.44654e-31, 0, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 2.44654e-31, 6.22832e-11, 2.44654e-31, 2.44654e-31, 1.87829e-12, 4.61067e-10, 2.44654e-31, 1.35586e-08, 2.44654e-31, 2.44654e-31
0.391149, 0, 1.96129e-08, 1.30621e-30, 1.41421, -1.96129e-08, 1.30621e-30, 0, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 1.30621e-30, 8.67538e-11, 1.30621e-30, 1.30621e-30, 2.89498e-12, 7.02825e-10, 1.30621e-30, 1.88204e-08, 1.30621e-30, 1.30621e-30
0.399022, 0, 2.71764e-08, 6.54443e-30, 1.41421, -2.71764e-08, 6.54443e-30, 0, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 6.54443e-30, 1.20238e-10, 6.54443e-30, 6.54443e-30, 4.46122e-12, 1.06961e-09, 6.54443e-30, 2.59821e-08, 6.54443e-30, 6.54443e-30
0.406895, 0, 3.74728e-08, 3.08668e-29, 1.41421, -3.74728e-08, 3.08668e-29, 0, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 3.08668e-29, 1.65831e-10, 3.08668e-29, 3.08668e-29, 6.87177e-12, 1.62502e-09, 3.08668e-29, 3.56751e-08, 3.08668e-29, 3.08668e-29
0.414768, 0, 5.14239e-08, 1.37484e-28, 1.41421, -5.14239e-08, 1.37484e-28, 0, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 1.37484e-28, 2.27616e-10, 1.37484e-28, 1.37484e-28, 1.05767e-11, 2.46427e-09, 1.37484e-28, 4.87214e-08, 1.37484e-28, 1.37484e-28
0.422641, 0, 7.0241e-08, 5.80014e-28, 1.41421, -7.0241e-08, 5.80014e-28, 0, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 5.80014e-28, 3.10948e-10, 5.80014e-28, 5.80014e-28, 1.62606e-11, 3.72933e-09, 5.80014e-28, 6.61844e-08, 5.80014e-28, 5.80014e-28
0.430514, 0, 9.55106e-08, 2.32441e-27, 1.41421, -9.55106e-08, 2.32441e-27, 0, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 2.32441e-27, 4.22824e-10, 2.32441e-27, 2.32441e-27, 2.49604e-11, 5.63103e-09, 2.32441e-27, 8.94318e-08, 2.32441e-27, 2.32441e-27
0.438387, 0, 1.29304e-07, 8.8723e-27, 1.41421, -1.29304e-07, 8.8723e-27, 0, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 8.8723e-27, 5.72345e-10, 8.8723e-27, 8.8723e-27, 3.82394e-11, 8.48089e-09, 8.8723e-27, 1.20212e-07, 8.8723e-27, 8.8723e-27
0.44626, 0, 1.74314e-07, 3.23366e-26, 1.41421, -1.74314e-07, 3.23366e-26, 0, 3.23366e-26, 3.23366e-26, 3.23366e-26, 3.23366e-26, 3.23366e-26, 3.23366e-26, 1.22404e-13, 3.23366e-26, 3.23366e-26, 3.23366e-26, 7.71292e-10, 3.23366e-26, 3.23366e-26, 5.84424e-11, 1.27367e-08, 3.23366e-26, 1.60748e-07, 3.23366e-26, 3.23366e-26
0.454132, 0, 2.34038e-07, 1.12908e-25, 1.41421, -2.34038e-07, 1.12908e-25, 0, 1.12908e-25, 1.12908e-25, 1.12908e-25, 1.12908e-25, 1.12908e-25, 1.12908e-25, 3.87308e-13, 1.12908e-25, 1.12908e-25, 1.12908e-25, 1.03485e-09, 1.12908e-25, 1.12908e-25, 8.90674e-11, 1.90677e-08, 1.12908e-25, 2.13846e-07, 1.12908e-25, 1.12908e-25
