   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_615.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00885368, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000981468, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00689074, 0, 6.20794e-16, 0, 1.41421, -6.20794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87152e-18, 0, 0, 5.16207e-19, 0, 2.20167e-19, 0, 6.17186e-16, 0, 0, 0
0.014763, 0, 1.04055e-15, 0, 1.41421, -1.04055e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81304e-18, 0, 0, 8.80922e-19, 0, 3.78246e-19, 0, 1.03448e-15, 0, 0, 0
0.0226352, 0, 1.7341e-15, 0, 1.41421, -1.7341e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02081e-18, 0, 0, 1.49487e-18, 0, 6.46424e-19, 0, 1.72394e-15, 0, 0, 0
0.0305074, 0, 2.87349e-15, 0, 1.41421, -2.87349e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32905e-17, 0, 0, 2.52266e-18, 0, 1.09906e-18, 0, 2.85658e-15, 0, 0, 0
0.0383796, 0, 4.73473e-15, 0, 1.41421, -4.73473e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18985e-17, 0, 0, 4.23382e-18, 0, 1.85917e-18, 0, 4.70673e-15, 0, 0, 0
0.0462518, 0, 7.75814e-15, 0, 1.41421, -7.75814e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58811e-17, 0, 0, 7.06733e-18, 0, 3.12927e-18, 0, 7.71207e-15, 0, 0, 0
0.054124, 0, 1.26422e-14, 0, 1.41421, -1.26422e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84679e-17, 0, 0, 1.17343e-17, 0, 5.24111e-18, 0, 1.25667e-14, 0, 0, 0
0.0619962, 0, 2.04885e-14, 0, 1.41421, -2.04885e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4753e-17, 0, 0, 1.93807e-17, 0, 8.73554e-18, 0, 2.03656e-14, 0, 0, 0
0.0698684, 0, 3.3025e-14, 0, 1.41421, -3.3025e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52726e-16, 0, 0, 3.18437e-17, 0, 1.449e-17, 0, 3.28259e-14, 0, 0, 0
0.0777407, 0, 5.29467e-14, 0, 1.41421, -5.29467e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44848e-16, 0, 0, 5.20528e-17, 0, 2.39212e-17, 0, 5.26259e-14, 0, 0, 0
0.0856129, 0, 8.44339e-14, 0, 1.41421, -8.44339e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90446e-16, 0, 0, 8.46563e-17, 0, 3.93058e-17, 0, 8.39195e-14, 0, 0, 0
0.0934851, 0, 1.33935e-13, 0, 1.41421, -1.33935e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19336e-16, 0, 0, 1.36992e-16, 0, 6.42858e-17, 0, 1.33115e-13, 0, 0, 0
0.101357, 0, 2.11342e-13, 0, 1.41421, -2.11342e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77248e-16, 0, 0, 2.20586e-16, 0, 1.04659e-16, 0, 2.10039e-13, 0, 0, 0
0.109229, 0, 3.31745e-13, 0, 1.41421, -3.31745e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53396e-15, 0, 0, 3.53457e-16, 0, 1.69618e-16, 0, 3.29688e-13, 0, 0, 0
0.117102, 0, 5.18044e-13, 0, 1.41421, -5.18044e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39532e-15, 0, 0, 5.63637e-16, 0, 2.73675e-16, 0, 5.14811e-13, 0, 0, 0
0.124974, 0, 8.04791e-13, 0, 1.41421, -8.04791e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7211e-15, 0, 0, 8.94531e-16, 0, 4.39617e-16, 0, 7.99736e-13, 0, 0, 0
0.132846, 0, 1.24384e-12, 0, 1.41421, -1.24384e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75104e-15, 0, 0, 1.41305e-15, 0, 7.0309e-16, 0, 1.23598e-12, 0, 0, 0
0.140718, 0, 1.91261e-12, 0, 1.41421, -1.91261e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84304e-15, 0, 0, 2.22187e-15, 0, 1.11961e-15, 0, 1.90042e-12, 0, 0, 0
0.148591, 0, 2.926e-12, 0, 1.41421, -2.926e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35284e-14, 0, 0, 3.47809e-15, 0, 1.77529e-15, 0, 2.90722e-12, 0, 0, 0
0.156463, 0, 4.45368e-12, 0, 1.41421, -4.45368e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05918e-14, 0, 0, 5.42065e-15, 0, 2.80309e-15, 0, 4.42487e-12, 0, 0, 0
0.164335, 0, 6.74483e-12, 0, 1.41421, -6.74483e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11856e-14, 0, 0, 8.412e-15, 0, 4.40757e-15, 0, 6.70083e-12, 0, 0, 0
0.172207, 0, 1.01634e-11, 0, 1.41421, -1.01634e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69932e-14, 0, 0, 1.29999e-14, 0, 6.90211e-15, 0, 1.00965e-11, 0, 0, 0
0.180079, 0, 1.52381e-11, 0, 1.41421, -1.52381e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04606e-14, 0, 0, 2.00091e-14, 0, 1.0765e-14, 0, 1.51369e-11, 0, 0, 0
0.187952, 0, 2.27329e-11, 0, 1.41421, -2.27329e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05123e-13, 0, 0, 3.06782e-14, 0, 1.67235e-14, 0, 2.25803e-11, 0, 0, 0
0.195824, 0, 3.37456e-11, 0, 1.41421, -3.37456e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56063e-13, 0, 0, 4.6862e-14, 0, 2.58795e-14, 0, 3.35168e-11, 0, 0, 0
0.203696, 0, 4.98457e-11, 0, 1.41421, -4.98457e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30549e-13, 0, 0, 7.13312e-14, 0, 3.98964e-14, 0, 4.95039e-11, 0, 0, 0
0.211568, 0, 7.32645e-11, 0, 1.41421, -7.32645e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38919e-13, 0, 0, 1.08217e-13, 0, 6.12776e-14, 0, 7.27561e-11, 0, 0, 0
0.21944, 0, 1.07157e-10, 0, 1.41421, -1.07157e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95801e-13, 0, 0, 1.63669e-13, 0, 9.3778e-14, 0, 1.06404e-10, 0, 0, 0
0.227313, 0, 1.55962e-10, 0, 1.41421, -1.55962e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21786e-13, 0, 0, 2.46828e-13, 0, 1.43013e-13, 0, 1.5485e-10, 0, 0, 0
0.235185, 0, 2.25887e-10, 0, 1.41421, -2.25887e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04571e-12, 0, 0, 3.71276e-13, 0, 2.17357e-13, 0, 2.24253e-10, 0, 0, 0
