   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_95.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00241321, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00546129, 0, 2.58078e-18, 0, 1.41421, -2.58078e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56892e-20, 0, 7.06e-23, 9.12747e-22, 0, 2.56411e-18, 0, 0
0.0133358, 0, 4.81397e-18, 0, 1.41421, -4.81397e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92651e-20, 0, 1.33688e-22, 1.73371e-21, 0, 4.78284e-18, 0, 0
0.0212103, 0, 8.90961e-18, 0, 1.41421, -8.90961e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4163e-20, 0, 2.51215e-22, 3.26807e-21, 0, 8.85193e-18, 0, 0
0.0290848, 0, 1.63641e-17, 0, 1.41421, -1.63641e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94792e-20, 0, 4.68542e-22, 6.11491e-21, 0, 1.6258e-17, 0, 0
0.0369593, 0, 2.98313e-17, 0, 1.41421, -2.98313e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81347e-19, 0, 8.67506e-22, 1.13594e-20, 0, 2.96377e-17, 0, 0
0.0448337, 0, 5.39839e-17, 0, 1.41421, -5.39839e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28169e-19, 0, 1.59473e-21, 2.09542e-20, 0, 5.36332e-17, 0, 0
0.0527082, 0, 9.69896e-17, 0, 1.41421, -9.69896e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89597e-19, 0, 2.91106e-21, 3.83888e-20, 0, 9.63587e-17, 0, 0
0.0605827, 0, 1.73026e-16, 0, 1.41421, -1.73026e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05181e-18, 0, 5.27749e-21, 6.98603e-20, 0, 1.71899e-16, 0, 0
0.0684572, 0, 3.06528e-16, 0, 1.41421, -3.06528e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86335e-18, 0, 9.50311e-21, 1.26302e-19, 0, 3.04529e-16, 0, 0
0.0763317, 0, 5.39321e-16, 0, 1.41421, -5.39321e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27843e-18, 0, 1.69987e-20, 2.26883e-19, 0, 5.35799e-16, 0, 0
0.0842062, 0, 9.42509e-16, 0, 1.41421, -9.42509e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72928e-18, 0, 3.02083e-20, 4.05008e-19, 0, 9.36345e-16, 0, 0
0.0920807, 0, 1.63615e-15, 0, 1.41421, -1.63615e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94565e-18, 0, 5.33383e-20, 7.18538e-19, 0, 1.62543e-15, 0, 0
0.0999552, 0, 2.8216e-15, 0, 1.41421, -2.8216e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71514e-17, 0, 9.35818e-20, 1.26709e-18, 0, 2.80308e-15, 0, 0
0.10783, 0, 4.83431e-15, 0, 1.41421, -4.83431e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93856e-17, 0, 1.63163e-19, 2.22119e-18, 0, 4.80253e-15, 0, 0
0.115704, 0, 8.22947e-15, 0, 1.41421, -8.22947e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00227e-17, 0, 2.82727e-19, 3.87105e-18, 0, 8.17529e-15, 0, 0
