   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_294.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000304609, 0, 1.59781e-15, 0, 1.41421, -1.59781e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95149e-17, 0, 0, 1.10037e-17, 0, 0, 1.56729e-15, 0, 0
0.00815835, 0, 2.56943e-15, 0, 1.41421, -2.56943e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13777e-17, 0, 0, 1.80189e-17, 0, 0, 2.52004e-15, 0, 0
0.0160121, 0, 4.11103e-15, 0, 1.41421, -4.11103e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0197e-17, 0, 0, 2.93618e-17, 0, 0, 4.03147e-15, 0, 0
0.0238658, 0, 6.54469e-15, 0, 1.41421, -6.54469e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9902e-17, 0, 0, 4.76129e-17, 0, 0, 6.41717e-15, 0, 0
0.0317196, 0, 1.03674e-14, 0, 1.41421, -1.03674e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26555e-16, 0, 0, 7.684e-17, 0, 0, 1.0164e-14, 0, 0
0.0395733, 0, 1.63423e-14, 0, 1.41421, -1.63423e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99463e-16, 0, 0, 1.23423e-16, 0, 0, 1.60194e-14, 0, 0
0.0474271, 0, 2.56351e-14, 0, 1.41421, -2.56351e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12839e-16, 0, 0, 1.9732e-16, 0, 0, 2.5125e-14, 0, 0
0.0552808, 0, 4.00177e-14, 0, 1.41421, -4.00177e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88285e-16, 0, 0, 3.1401e-16, 0, 0, 3.92154e-14, 0, 0
0.0631346, 0, 6.21698e-14, 0, 1.41421, -6.21698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58464e-16, 0, 0, 4.97431e-16, 0, 0, 6.09139e-14, 0, 0
0.0709883, 0, 9.61235e-14, 0, 1.41421, -9.61235e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17251e-15, 0, 0, 7.84447e-16, 0, 0, 9.41665e-14, 0, 0
0.0788421, 0, 1.47916e-13, 0, 1.41421, -1.47916e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.804e-15, 0, 0, 1.23158e-15, 0, 0, 1.44881e-13, 0, 0
0.0866958, 0, 2.26544e-13, 0, 1.41421, -2.26544e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7625e-15, 0, 0, 1.9251e-15, 0, 0, 2.21856e-13, 0, 0
0.0945496, 0, 3.4534e-13, 0, 1.41421, -3.4534e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21043e-15, 0, 0, 2.99616e-15, 0, 0, 3.38134e-13, 0, 0
0.102403, 0, 5.23978e-13, 0, 1.41421, -5.23978e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38733e-15, 0, 0, 4.6433e-15, 0, 0, 5.12947e-13, 0, 0
0.110257, 0, 7.91334e-13, 0, 1.41421, -7.91334e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64478e-15, 0, 0, 7.16591e-15, 0, 0, 7.74523e-13, 0, 0
0.118111, 0, 1.18959e-12, 0, 1.41421, -1.18959e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44962e-14, 0, 0, 1.10144e-14, 0, 0, 1.16408e-12, 0, 0
0.125965, 0, 1.78006e-12, 0, 1.41421, -1.78006e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16879e-14, 0, 0, 1.68622e-14, 0, 0, 1.74151e-12, 0, 0
0.133818, 0, 2.65142e-12, 0, 1.41421, -2.65142e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22987e-14, 0, 0, 2.57147e-14, 0, 0, 2.59341e-12, 0, 0
0.141672, 0, 3.93132e-12, 0, 1.41421, -3.93132e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78817e-14, 0, 0, 3.90668e-14, 0, 0, 3.84438e-12, 0, 0
0.149526, 0, 5.80262e-12, 0, 1.41421, -5.80262e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06607e-14, 0, 0, 5.91358e-14, 0, 0, 5.67282e-12, 0, 0
0.15738, 0, 8.5259e-12, 0, 1.41421, -8.5259e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03805e-13, 0, 0, 8.92009e-14, 0, 0, 8.3329e-12, 0, 0
0.165233, 0, 1.24709e-11, 0, 1.41421, -1.24709e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5181e-13, 0, 0, 1.34101e-13, 0, 0, 1.2185e-11, 0, 0
0.173087, 0, 1.81594e-11, 0, 1.41421, -1.81594e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21018e-13, 0, 0, 2.00962e-13, 0, 0, 1.77374e-11, 0, 0
0.180941, 0, 2.63245e-11, 0, 1.41421, -2.63245e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20341e-13, 0, 0, 3.00259e-13, 0, 0, 2.57039e-11, 0, 0
0.188795, 0, 3.79911e-11, 0, 1.41421, -3.79911e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62233e-13, 0, 0, 4.47373e-13, 0, 0, 3.70814e-11, 0, 0
0.196648, 0, 5.4585e-11, 0, 1.41421, -5.4585e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64021e-13, 0, 0, 6.64863e-13, 0, 0, 5.32561e-11, 0, 0
0.204502, 0, 7.80809e-11, 0, 1.41421, -7.80809e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49695e-13, 0, 0, 9.85801e-13, 0, 0, 7.61454e-11, 0, 0
0.212356, 0, 1.112e-10, 0, 1.41421, -1.112e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35231e-12, 0, 0, 1.45866e-12, 0, 0, 1.08389e-10, 0, 0
0.220209, 0, 1.57674e-10, 0, 1.41421, -1.57674e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9172e-12, 0, 0, 2.15448e-12, 0, 0, 1.53603e-10, 0, 0
0.228063, 0, 2.226e-10, 3.22299e-44, 1.41421, -2.226e-10, 0, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 2.70624e-12, 3.22299e-44, 3.22299e-44, 3.17748e-12, 3.22299e-44, 3.22299e-44, 2.16716e-10, 3.22299e-44, 3.22299e-44
0.235917, 0, 3.129e-10, 5.53513e-43, 1.41421, -3.129e-10, 0, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 5.53513e-43, 3.80352e-12, 5.53513e-43, 5.53513e-43, 4.68054e-12, 5.53513e-43, 5.53513e-43, 3.04416e-10, 5.53513e-43, 5.53513e-43
0.243771, 0, 4.37941e-10, 8.13454e-42, 1.41421, -4.37941e-10, 0, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 8.13454e-42, 5.32273e-12, 8.13454e-42, 8.13454e-42, 6.88825e-12, 8.13454e-42, 8.13454e-42, 4.2573e-10, 8.13454e-42, 8.13454e-42
0.251624, 0, 6.10335e-10, 1.05895e-40, 1.41421, -6.10335e-10, 0, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 1.05895e-40, 7.41696e-12, 1.05895e-40, 1.05895e-40, 1.01309e-11, 1.05895e-40, 1.05895e-40, 5.92787e-10, 1.05895e-40, 1.05895e-40
0.259478, 0, 8.46987e-10, 1.23361e-39, 1.41421, -8.46987e-10, 0, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.23361e-39, 1.02913e-11, 1.23361e-39, 1.23361e-39, 1.48945e-11, 1.23361e-39, 1.23361e-39, 8.21802e-10, 1.23361e-39, 1.23361e-39
