   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_341.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00809565, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000229609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00763644, 0, 1.52603e-22, 0, 1.41421, -1.52603e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27123e-27, 0, 2.83398e-23, 0, 1.2426e-22, 0, 0
0.0155025, 0, 3.69579e-22, 0, 1.41421, -3.69579e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54636e-27, 0, 6.98555e-23, 0, 2.99718e-22, 0, 0
0.0233685, 0, 8.79762e-22, 0, 1.41421, -8.79762e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33164e-26, 0, 1.69098e-22, 0, 7.1065e-22, 0, 0
0.0312346, 0, 2.06046e-21, 0, 1.41421, -2.06046e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14643e-26, 0, 4.02441e-22, 0, 1.65798e-21, 0, 0
0.0391006, 0, 4.75202e-21, 0, 1.41421, -4.75202e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32273e-26, 0, 9.42589e-22, 0, 3.80936e-21, 0, 0
0.0469667, 0, 1.08003e-20, 0, 1.41421, -1.08003e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67986e-25, 0, 2.17455e-21, 0, 8.62561e-21, 0, 0
0.0548327, 0, 2.42063e-20, 0, 1.41421, -2.42063e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80102e-25, 0, 4.94505e-21, 0, 1.92609e-20, 0, 0
0.0626988, 0, 5.35318e-20, 0, 1.41421, -5.35318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.48813e-25, 0, 1.10922e-20, 0, 4.24387e-20, 0, 0
0.0705648, 0, 1.16872e-19, 0, 1.41421, -1.16872e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87168e-24, 0, 2.45566e-20, 0, 9.23139e-20, 0, 0
0.0784309, 0, 2.52019e-19, 0, 1.41421, -2.52019e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07718e-24, 0, 5.36843e-20, 0, 1.9833e-19, 0, 0
0.0862969, 0, 5.36981e-19, 0, 1.41421, -5.36981e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77768e-24, 0, 1.15949e-19, 0, 4.21023e-19, 0, 0
0.0941629, 0, 1.13098e-18, 0, 1.41421, -1.13098e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86834e-23, 0, 2.47522e-19, 0, 8.83442e-19, 0, 0
0.102029, 0, 2.35544e-18, 0, 1.41421, -2.35544e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9331e-23, 0, 5.22463e-19, 0, 1.83294e-18, 0, 0
0.109895, 0, 4.85228e-18, 0, 1.41421, -4.85228e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19131e-23, 0, 1.09081e-18, 0, 3.76139e-18, 0, 0
0.117761, 0, 9.89007e-18, 0, 1.41421, -9.89007e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68824e-22, 0, 2.25336e-18, 0, 7.63654e-18, 0, 0
0.125627, 0, 1.99502e-17, 0, 1.41421, -1.99502e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44423e-22, 0, 4.6072e-18, 0, 1.53426e-17, 0, 0
