   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_557.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.182217, 0, 1.65003e-12, 0, 1.41421, -1.65003e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10265e-14, 0, 0, 8.62749e-15, 0, 7.54185e-16, 0, 1.62962e-12, 0, 0, 0
0.19007, 0, 2.57547e-12, 0, 1.41421, -2.57547e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72091e-14, 0, 0, 1.3787e-14, 0, 1.21737e-15, 0, 2.54325e-12, 0, 0, 0
0.197923, 0, 3.99783e-12, 0, 1.41421, -3.99783e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67107e-14, 0, 0, 2.19297e-14, 0, 1.95623e-15, 0, 3.94723e-12, 0, 0, 0
0.205776, 0, 6.17173e-12, 0, 1.41421, -6.17173e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12315e-14, 0, 0, 3.47249e-14, 0, 3.12972e-15, 0, 6.09265e-12, 0, 0, 0
0.213629, 0, 9.47577e-12, 0, 1.41421, -9.47577e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32995e-14, 0, 0, 5.47476e-14, 0, 4.98563e-15, 0, 9.35274e-12, 0, 0, 0
0.221481, 0, 1.44696e-11, 0, 1.41421, -1.44696e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.66518e-14, 0, 0, 8.59576e-14, 0, 7.90872e-15, 0, 1.42791e-11, 0, 0, 0
0.229334, 0, 2.19757e-11, 0, 1.41421, -2.19757e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4678e-13, 0, 0, 1.34427e-13, 0, 1.24943e-14, 0, 2.1682e-11, 0, 0, 0
0.237187, 0, 3.31956e-11, 0, 1.41421, -3.31956e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21709e-13, 0, 0, 2.09444e-13, 0, 1.966e-14, 0, 3.27447e-11, 0, 0, 0
0.24504, 0, 4.98746e-11, 0, 1.41421, -4.98746e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33095e-13, 0, 0, 3.25191e-13, 0, 3.08161e-14, 0, 4.91855e-11, 0, 0, 0
0.252893, 0, 7.45329e-11, 0, 1.41421, -7.45329e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97774e-13, 0, 0, 5.03284e-13, 0, 4.81231e-14, 0, 7.34838e-11, 0, 0, 0
