   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_854.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0107487, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00290412, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00494045, 0, 6.84432e-17, 0, 1.41421, -6.84432e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29996e-19, 0, 0, 2.24436e-19, 0, 0, 6.78888e-17, 0, 0
0.012785, 0, 1.17067e-16, 0, 1.41421, -1.17067e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64403e-19, 0, 0, 3.90814e-19, 0, 0, 1.16112e-16, 0, 0
0.0206296, 0, 1.99036e-16, 0, 1.41421, -1.99036e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59528e-19, 0, 0, 6.76505e-19, 0, 0, 1.974e-16, 0, 0
0.0284742, 0, 3.364e-16, 0, 1.41421, -3.364e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62164e-18, 0, 0, 1.16423e-18, 0, 0, 3.33614e-16, 0, 0
0.0363187, 0, 5.65256e-16, 0, 1.41421, -5.65256e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72469e-18, 0, 0, 1.99212e-18, 0, 0, 5.60539e-16, 0, 0
0.0441633, 0, 9.44346e-16, 0, 1.41421, -9.44346e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5517e-18, 0, 0, 3.38949e-18, 0, 0, 9.36404e-16, 0, 0
0.0520079, 0, 1.56872e-15, 0, 1.41421, -1.56872e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56066e-18, 0, 0, 5.735e-18, 0, 0, 1.55543e-15, 0, 0
0.0598524, 0, 2.5913e-15, 0, 1.41421, -2.5913e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24882e-17, 0, 0, 9.65038e-18, 0, 0, 2.56916e-15, 0, 0
0.067697, 0, 4.25669e-15, 0, 1.41421, -4.25669e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05128e-17, 0, 0, 1.61509e-17, 0, 0, 4.22003e-15, 0, 0
0.0755416, 0, 6.95402e-15, 0, 1.41421, -6.95402e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35087e-17, 0, 0, 2.68858e-17, 0, 0, 6.89362e-15, 0, 0
0.0833862, 0, 1.12987e-14, 0, 1.41421, -1.12987e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.444e-17, 0, 0, 4.4521e-17, 0, 0, 1.11998e-14, 0, 0
0.0912307, 0, 1.82588e-14, 0, 1.41421, -1.82588e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79688e-17, 0, 0, 7.33412e-17, 0, 0, 1.80975e-14, 0, 0
0.0990753, 0, 2.93486e-14, 0, 1.41421, -2.93486e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41387e-16, 0, 0, 1.20199e-16, 0, 0, 2.9087e-14, 0, 0
0.10692, 0, 4.69234e-14, 0, 1.41421, -4.69234e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26036e-16, 0, 0, 1.95999e-16, 0, 0, 4.65014e-14, 0, 0
0.114764, 0, 7.4627e-14, 0, 1.41421, -7.4627e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5946e-16, 0, 0, 3.18005e-16, 0, 0, 7.39495e-14, 0, 0
0.122609, 0, 1.18065e-13, 0, 1.41421, -1.18065e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68647e-16, 0, 0, 5.13418e-16, 0, 0, 1.16983e-13, 0, 0
0.130454, 0, 1.85816e-13, 0, 1.41421, -1.85816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94886e-16, 0, 0, 8.24889e-16, 0, 0, 1.84096e-13, 0, 0
0.138298, 0, 2.9093e-13, 0, 1.41421, -2.9093e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.401e-15, 0, 0, 1.31899e-15, 0, 0, 2.8821e-13, 0, 0
0.146143, 0, 4.53162e-13, 0, 1.41421, -4.53162e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18207e-15, 0, 0, 2.09913e-15, 0, 0, 4.4888e-13, 0, 0
0.153987, 0, 7.02243e-13, 0, 1.41421, -7.02243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38119e-15, 0, 0, 3.32531e-15, 0, 0, 6.95536e-13, 0, 0
0.161832, 0, 1.08268e-12, 0, 1.41421, -1.08268e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21256e-15, 0, 0, 5.24399e-15, 0, 0, 1.07223e-12, 0, 0
0.169676, 0, 1.66075e-12, 0, 1.41421, -1.66075e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99508e-15, 0, 0, 8.23356e-15, 0, 0, 1.64452e-12, 0, 0
0.177521, 0, 2.53458e-12, 0, 1.41421, -2.53458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2201e-14, 0, 0, 1.28722e-14, 0, 0, 2.50951e-12, 0, 0
0.185366, 0, 3.8487e-12, 0, 1.41421, -3.8487e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85258e-14, 0, 0, 2.00406e-14, 0, 0, 3.81014e-12, 0, 0
0.19321, 0, 5.81484e-12, 0, 1.41421, -5.81484e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79884e-14, 0, 0, 3.1076e-14, 0, 0, 5.75577e-12, 0, 0
0.201055, 0, 8.74145e-12, 0, 1.41421, -8.74145e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20732e-14, 0, 0, 4.80029e-14, 0, 0, 8.65137e-12, 0, 0
0.208899, 0, 1.30755e-11, 0, 1.41421, -1.30755e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29315e-14, 0, 0, 7.3878e-14, 0, 0, 1.29387e-11, 0, 0
0.216744, 0, 1.94613e-11, 0, 1.41421, -1.94613e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36644e-14, 0, 0, 1.13306e-13, 0, 0, 1.92543e-11, 0, 0
0.224588, 0, 2.88223e-11, 0, 1.41421, -2.88223e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38718e-13, 0, 0, 1.73211e-13, 0, 0, 2.85104e-11, 0, 0
0.232433, 0, 4.24752e-11, 0, 1.41421, -4.24752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04433e-13, 0, 0, 2.63989e-13, 0, 0, 4.20068e-11, 0, 0
0.240278, 0, 6.22877e-11, 0, 1.41421, -6.22877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99805e-13, 0, 0, 4.01232e-13, 0, 0, 6.15867e-11, 0, 0
0.248122, 0, 9.08941e-11, 0, 1.41421, -9.08941e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37528e-13, 0, 0, 6.08312e-13, 0, 0, 8.98483e-11, 0, 0
0.255967, 0, 1.3199e-10, 1.00893e-43, 1.41421, -1.3199e-10, 0, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 6.35418e-13, 1.00893e-43, 1.00893e-43, 9.2024e-13, 1.00893e-43, 1.00893e-43, 1.30434e-10, 1.00893e-43, 1.00893e-43
