   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_816.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0371154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0292077, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0213, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0133923, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00548461, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00242309, 0, 4.55631e-18, 0, 1.41421, -4.55631e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30843e-20, 0, 0, 1.29884e-20, 0, 0, 4.51024e-18, 0, 0, 0
0.0103308, 0, 8.34945e-18, 0, 1.41421, -8.34945e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06243e-20, 0, 0, 2.41844e-20, 0, 0, 8.26465e-18, 0, 0, 0
0.0182385, 0, 1.51863e-17, 0, 1.41421, -1.51863e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10261e-19, 0, 0, 4.47013e-20, 0, 0, 1.50314e-17, 0, 0, 0
0.0261462, 0, 2.74198e-17, 0, 1.41421, -2.74198e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99073e-19, 0, 0, 8.2032e-20, 0, 0, 2.71387e-17, 0, 0, 0
0.0340539, 0, 4.91541e-17, 0, 1.41421, -4.91541e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5685e-19, 0, 0, 1.49484e-19, 0, 0, 4.86478e-17, 0, 0, 0
0.0419616, 0, 8.74973e-17, 0, 1.41421, -8.74973e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35182e-19, 0, 0, 2.7053e-19, 0, 0, 8.65916e-17, 0, 0, 0
0.0498693, 0, 1.54676e-16, 0, 1.41421, -1.54676e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12281e-18, 0, 0, 4.86299e-19, 0, 0, 1.53067e-16, 0, 0, 0
0.057777, 0, 2.71578e-16, 0, 1.41421, -2.71578e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9713e-18, 0, 0, 8.68379e-19, 0, 0, 2.68739e-16, 0, 0, 0
0.0656847, 0, 4.73648e-16, 0, 1.41421, -4.73648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43786e-18, 0, 0, 1.54058e-18, 0, 0, 4.68669e-16, 0, 0, 0
0.0735924, 0, 8.20625e-16, 0, 1.41421, -8.20625e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95598e-18, 0, 0, 2.71565e-18, 0, 0, 8.11954e-16, 0, 0, 0
0.0815001, 0, 1.41255e-15, 0, 1.41421, -1.41255e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02514e-17, 0, 0, 4.75685e-18, 0, 0, 1.39754e-15, 0, 0, 0
0.0894078, 0, 2.41582e-15, 0, 1.41421, -2.41582e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75315e-17, 0, 0, 8.28057e-18, 0, 0, 2.39001e-15, 0, 0, 0
0.0973155, 0, 4.10545e-15, 0, 1.41421, -4.10545e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97913e-17, 0, 0, 1.43262e-17, 0, 0, 4.06134e-15, 0, 0, 0
0.105223, 0, 6.93305e-15, 0, 1.41421, -6.93305e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03066e-17, 0, 0, 2.4636e-17, 0, 0, 6.85811e-15, 0, 0, 0
0.113131, 0, 1.16354e-14, 0, 1.41421, -1.16354e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44215e-17, 0, 0, 4.21134e-17, 0, 0, 1.15089e-14, 0, 0, 0
0.121039, 0, 1.9407e-14, 0, 1.41421, -1.9407e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40799e-16, 0, 0, 7.15676e-17, 0, 0, 1.91946e-14, 0, 0, 0
0.128946, 0, 3.21721e-14, 0, 1.41421, -3.21721e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33395e-16, 0, 0, 1.20919e-16, 0, 0, 3.18178e-14, 0, 0, 0
0.136854, 0, 5.30107e-14, 0, 1.41421, -5.30107e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84543e-16, 0, 0, 2.03134e-16, 0, 0, 5.2423e-14, 0, 0, 0
0.144762, 0, 8.68231e-14, 0, 1.41421, -8.68231e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29776e-16, 0, 0, 3.39328e-16, 0, 0, 8.5854e-14, 0, 0, 0
0.152669, 0, 1.41355e-13, 0, 1.41421, -1.41355e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02525e-15, 0, 0, 5.63686e-16, 0, 0, 1.39766e-13, 0, 0, 0
0.160577, 0, 2.28775e-13, 0, 1.41421, -2.28775e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65919e-15, 0, 0, 9.3127e-16, 0, 0, 2.26184e-13, 0, 0, 0
