   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_856.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00188482, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00979646, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0177081, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0256197, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0335314, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.041443, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0493547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0572663, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0651779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0730896, 0, 1.9432e-30, 0, 1.41421, -1.9432e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30174e-33, 0, 0, 2.04917e-33, 0, 1.38623e-36, 0, 1.93385e-30, 0, 0, 0
0.0810012, 0, 2.14045e-29, 0, 1.41421, -2.14045e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04281e-32, 0, 0, 2.25715e-32, 0, 2.05641e-34, 0, 2.13013e-29, 0, 0, 0
0.0889129, 0, 1.47994e-28, 0, 1.41421, -1.47994e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56089e-31, 0, 0, 1.56062e-31, 0, 2.25845e-33, 0, 1.47279e-28, 0, 0, 0
0.0968245, 0, 8.17848e-28, 0, 1.41421, -8.17848e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07307e-30, 0, 0, 8.62432e-31, 0, 1.57099e-32, 0, 8.13896e-28, 0, 0, 0
0.104736, 0, 3.93607e-27, 0, 1.41421, -3.93607e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47897e-29, 0, 0, 4.15538e-30, 0, 8.73077e-32, 0, 3.91703e-27, 0, 0, 0
0.112648, 0, 1.71911e-26, 0, 1.41421, -1.71911e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4595e-29, 0, 0, 1.81906e-29, 0, 4.22093e-31, 0, 1.71079e-26, 0, 0, 0
0.120559, 0, 6.97343e-26, 0, 1.41421, -6.97343e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62023e-28, 0, 0, 7.40214e-29, 0, 1.85015e-30, 0, 6.93964e-26, 0, 0, 0
0.128471, 0, 2.66532e-25, 0, 1.41421, -2.66532e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00147e-27, 0, 0, 2.83982e-28, 0, 7.52757e-30, 0, 2.65239e-25, 0, 0, 0
0.136383, 0, 9.69158e-25, 0, 1.41421, -9.69158e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64152e-27, 0, 0, 1.03697e-27, 0, 2.88466e-29, 0, 9.64451e-25, 0, 0, 0
0.144294, 0, 3.37561e-24, 0, 1.41421, -3.37561e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26835e-26, 0, 0, 3.62834e-27, 0, 1.0514e-28, 0, 3.3592e-24, 0, 0, 0
0.152206, 0, 1.13194e-23, 0, 1.41421, -1.13194e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25311e-26, 0, 0, 1.22265e-26, 0, 3.67011e-28, 0, 1.12643e-23, 0, 0, 0
0.160118, 0, 3.66857e-23, 0, 1.41421, -3.66857e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3784e-25, 0, 0, 3.98319e-26, 0, 1.23326e-27, 0, 3.65068e-23, 0, 0, 0
0.168029, 0, 1.15267e-22, 0, 1.41421, -1.15267e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33094e-25, 0, 0, 1.2584e-25, 0, 4.00498e-27, 0, 1.14704e-22, 0, 0, 0
0.175941, 0, 3.51991e-22, 0, 1.41421, -3.51991e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32253e-24, 0, 0, 3.865e-25, 0, 1.26086e-26, 0, 3.50269e-22, 0, 0, 0
0.183853, 0, 1.04679e-21, 0, 1.41421, -1.04679e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93306e-24, 0, 0, 1.1564e-24, 0, 3.85789e-26, 0, 1.04167e-21, 0, 0, 0
0.191764, 0, 3.03694e-21, 0, 1.41421, -3.03694e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14105e-23, 0, 0, 3.37632e-24, 0, 1.14959e-25, 0, 3.02204e-21, 0, 0, 0
0.199676, 0, 8.60772e-21, 0, 1.41421, -8.60772e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23408e-23, 0, 0, 9.63352e-24, 0, 3.34195e-25, 0, 8.56541e-21, 0, 0, 0
0.207587, 0, 2.38645e-20, 0, 1.41421, -2.38645e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96627e-23, 0, 0, 2.68951e-23, 0, 9.49206e-25, 0, 2.3747e-20, 0, 0, 0
0.215499, 0, 6.47874e-20, 0, 1.41421, -6.47874e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43414e-22, 0, 0, 7.35488e-23, 0, 2.63735e-24, 0, 6.44678e-20, 0, 0, 0
0.223411, 0, 1.72386e-19, 0, 1.41421, -1.72386e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47668e-22, 0, 0, 1.97195e-22, 0, 7.17613e-24, 0, 1.71534e-19, 0, 0, 0
0.231322, 0, 4.49923e-19, 0, 1.41421, -4.49923e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69038e-21, 0, 0, 5.18792e-22, 0, 1.91398e-23, 0, 4.47694e-19, 0, 0, 0
0.239234, 0, 1.15267e-18, 0, 1.41421, -1.15267e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33059e-21, 0, 0, 1.34023e-21, 0, 5.00805e-23, 0, 1.14695e-18, 0, 0, 0
0.247146, 0, 2.9005e-18, 0, 1.41421, -2.9005e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08971e-20, 0, 0, 3.40199e-21, 0, 1.28646e-22, 0, 2.88607e-18, 0, 0, 0
0.255057, 0, 7.17269e-18, 0, 1.41421, -7.17269e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69472e-20, 0, 0, 8.48989e-21, 0, 3.24636e-22, 0, 7.13693e-18, 0, 0, 0
0.262969, 0, 1.744e-17, 0, 1.41421, -1.744e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55198e-20, 0, 0, 2.08405e-20, 0, 8.05237e-22, 0, 1.73528e-17, 0, 0, 0
0.270881, 0, 4.17114e-17, 0, 1.41421, -4.17114e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56702e-19, 0, 0, 5.03445e-20, 0, 1.96425e-21, 0, 4.15024e-17, 0, 0, 0
0.278792, 0, 9.92243e-17, 0, 1.41421, -9.92243e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72761e-19, 0, 0, 1.21253e-19, 0, 4.779e-21, 0, 9.87255e-17, 0, 0, 0
0.286704, 0, 2.29518e-16, 0, 1.41421, -2.29518e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62227e-19, 0, 0, 2.83528e-19, 0, 1.12685e-20, 0, 2.28361e-16, 0, 0, 0
