   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00342454, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00445057, 0, 7.6593e-20, 0, 1.41421, -7.6593e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07075e-22, 0, 5.23579e-25, 0, 1.39484e-21, 0, 7.42906e-20, 0, 0
0.0123257, 0, 1.57408e-19, 0, 1.41421, -1.57408e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8635e-21, 0, 1.09041e-24, 0, 2.91995e-21, 0, 1.52623e-19, 0, 0
0.0202008, 0, 3.20009e-19, 0, 1.41421, -3.20009e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78717e-21, 0, 2.24684e-24, 0, 6.04595e-21, 0, 3.10174e-19, 0, 0
0.0280759, 0, 6.43811e-19, 0, 1.41421, -6.43811e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61652e-21, 0, 4.58231e-24, 0, 1.23874e-20, 0, 6.23803e-19, 0, 0
0.035951, 0, 1.2822e-18, 0, 1.41421, -1.2822e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51634e-20, 0, 9.25289e-24, 0, 2.51238e-20, 0, 1.2419e-18, 0, 0
0.0438262, 0, 2.52862e-18, 0, 1.41421, -2.52862e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98927e-20, 0, 1.85047e-23, 0, 5.04589e-20, 0, 2.44825e-18, 0, 0
0.0517013, 0, 4.93924e-18, 0, 1.41421, -4.93924e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83684e-20, 0, 3.66622e-23, 0, 1.00387e-19, 0, 4.78045e-18, 0, 0
0.0595764, 0, 9.55847e-18, 0, 1.41421, -9.55847e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12912e-19, 0, 7.19772e-23, 0, 1.9789e-19, 0, 9.24759e-18, 0, 0
0.0674515, 0, 1.83302e-17, 0, 1.41421, -1.83302e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16444e-19, 0, 1.4006e-22, 0, 3.86638e-19, 0, 1.7727e-17, 0, 0
0.0753266, 0, 3.48407e-17, 0, 1.41421, -3.48407e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11231e-19, 0, 2.70191e-22, 0, 7.48897e-19, 0, 3.36803e-17, 0, 0
0.0832018, 0, 6.56487e-17, 0, 1.41421, -6.56487e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74533e-19, 0, 5.16827e-22, 0, 1.4384e-18, 0, 6.34352e-17, 0, 0
0.0910769, 0, 1.22648e-16, 0, 1.41421, -1.22648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44638e-18, 0, 9.80436e-22, 0, 2.74013e-18, 0, 1.1846e-16, 0, 0
0.098952, 0, 2.27225e-16, 0, 1.41421, -2.27225e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67843e-18, 0, 1.84486e-21, 0, 5.17823e-18, 0, 2.19367e-16, 0, 0
0.106827, 0, 4.17523e-16, 0, 1.41421, -4.17523e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91922e-18, 0, 3.44385e-21, 0, 9.70945e-18, 0, 4.02891e-16, 0, 0
0.114702, 0, 7.61006e-16, 0, 1.41421, -7.61006e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96165e-18, 0, 6.3786e-21, 0, 1.8067e-17, 0, 7.33971e-16, 0, 0
0.122577, 0, 1.37605e-15, 0, 1.41421, -1.37605e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6196e-17, 0, 1.17237e-20, 0, 3.3368e-17, 0, 1.32647e-15, 0, 0
0.130452, 0, 2.4687e-15, 0, 1.41421, -2.4687e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90406e-17, 0, 2.13852e-20, 0, 6.11777e-17, 0, 2.37846e-15, 0, 0
0.138328, 0, 4.39478e-15, 0, 1.41421, -4.39478e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16683e-17, 0, 3.8719e-20, 0, 1.11363e-16, 0, 4.23171e-15, 0, 0
0.146203, 0, 7.76394e-15, 0, 1.41421, -7.76394e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12237e-17, 0, 6.95892e-20, 0, 2.01294e-16, 0, 7.47135e-15, 0, 0
0.154078, 0, 1.36127e-14, 0, 1.41421, -1.36127e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59843e-16, 0, 1.24168e-19, 0, 3.61345e-16, 0, 1.30914e-14, 0, 0
0.161953, 0, 2.37635e-14, 0, 1.41421, -2.37635e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78829e-16, 0, 2.21043e-19, 0, 6.48023e-16, 0, 2.28364e-14, 0, 0
0.169828, 0, 4.10341e-14, 0, 1.41421, -4.10341e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81135e-16, 0, 3.88681e-19, 0, 1.14716e-15, 0, 3.94054e-14, 0, 0
0.177703, 0, 7.03425e-14, 0, 1.41421, -7.03425e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2417e-16, 0, 6.78775e-19, 0, 2.01763e-15, 0, 6.75e-14, 0, 0
0.185578, 0, 1.19718e-13, 0, 1.41421, -1.19718e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40158e-15, 0, 1.17738e-18, 0, 3.52602e-15, 0, 1.14789e-13, 0, 0
0.193453, 0, 2.02298e-13, 0, 1.41421, -2.02298e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3664e-15, 0, 2.02867e-18, 0, 6.12348e-15, 0, 1.93806e-13, 0, 0
0.201329, 0, 3.39425e-13, 0, 1.41421, -3.39425e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96696e-15, 0, 3.47255e-18, 0, 1.05688e-14, 0, 3.24886e-13, 0, 0
0.209204, 0, 5.65507e-13, 0, 1.41421, -5.65507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60307e-15, 0, 5.90583e-18, 0, 1.81319e-14, 0, 5.40766e-13, 0, 0
0.217079, 0, 9.35612e-13, 0, 1.41421, -9.35612e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09137e-14, 0, 9.98061e-18, 0, 3.09227e-14, 0, 8.93766e-13, 0, 0
0.224954, 0, 1.53724e-12, 0, 1.41421, -1.53724e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79126e-14, 0, 1.67623e-17, 0, 5.24298e-14, 0, 1.46688e-12, 0, 0
0.232829, 0, 2.50837e-12, 0, 1.41421, -2.50837e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9196e-14, 0, 2.79819e-17, 0, 8.83876e-14, 0, 2.39076e-12, 0, 0
0.240704, 0, 4.06508e-12, 0, 1.41421, -4.06508e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72589e-14, 0, 4.64359e-17, 0, 1.48173e-13, 0, 3.8696e-12, 0, 0
0.248579, 0, 6.54327e-12, 0, 1.41421, -6.54327e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59727e-14, 0, 7.66197e-17, 0, 2.47042e-13, 0, 6.22018e-12, 0, 0
0.256454, 0, 1.04614e-11, 0, 1.41421, -1.04614e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21301e-13, 0, 1.25726e-16, 0, 4.09686e-13, 0, 9.93027e-12, 0, 0
