   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_577.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00700455, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000858833, 0, 1.07349e-20, 0, 1.41421, -1.07349e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59133e-23, 0, 0, 0, 1.16814e-21, 0, 9.55081e-21, 0, 0, 0
0.00872222, 0, 2.31503e-20, 0, 1.41421, -2.31503e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42481e-23, 0, 0, 0, 2.56105e-21, 0, 2.0555e-20, 0, 0, 0
0.0165856, 0, 4.93095e-20, 0, 1.41421, -4.93095e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27992e-23, 0, 0, 0, 5.5441e-21, 0, 4.36926e-20, 0, 0, 0
0.024449, 0, 1.03787e-19, 0, 1.41421, -1.03787e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52915e-22, 0, 0, 0, 1.18573e-20, 0, 9.17763e-20, 0, 0, 0
0.0323124, 0, 2.15965e-19, 0, 1.41421, -2.15965e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17539e-22, 0, 0, 0, 2.50675e-20, 0, 1.9058e-19, 0, 0, 0
0.0401758, 0, 4.44462e-19, 0, 1.41421, -4.44462e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5214e-22, 0, 0, 0, 5.24082e-20, 0, 3.91402e-19, 0, 0, 0
0.0480391, 0, 9.05003e-19, 0, 1.41421, -9.05003e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32506e-21, 0, 0, 0, 1.08401e-19, 0, 7.95277e-19, 0, 0, 0
0.0559025, 0, 1.8238e-18, 0, 1.41421, -1.8238e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66458e-21, 0, 0, 0, 2.21913e-19, 0, 1.59922e-18, 0, 0, 0
0.0637659, 0, 3.63869e-18, 0, 1.41421, -3.63869e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30443e-21, 0, 0, 0, 4.49771e-19, 0, 3.18361e-18, 0, 0, 0
