   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_577.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0716293, 0, 7.18904e-18, 0, 1.41421, -7.18904e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04565e-20, 0, 0, 0, 9.02816e-19, 0, 6.27577e-18, 0, 0, 0
0.0794927, 0, 1.4069e-17, 0, 1.41421, -1.4069e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04161e-20, 0, 0, 0, 1.79527e-18, 0, 1.22534e-17, 0, 0, 0
0.0873561, 0, 2.76812e-17, 0, 1.41421, -2.76812e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00488e-20, 0, 0, 0, 3.60468e-18, 0, 2.40365e-17, 0, 0, 0
0.0952194, 0, 5.31052e-17, 0, 1.41421, -5.31052e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66447e-20, 0, 0, 0, 7.028e-18, 0, 4.60006e-17, 0, 0, 0
0.103083, 0, 1.00994e-16, 0, 1.41421, -1.00994e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45393e-19, 0, 0, 0, 1.35866e-17, 0, 8.72619e-17, 0, 0, 0
0.110946, 0, 1.9043e-16, 0, 1.41421, -1.9043e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73429e-19, 0, 0, 0, 2.60496e-17, 0, 1.64107e-16, 0, 0, 0
0.11881, 0, 3.56054e-16, 0, 1.41421, -3.56054e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09852e-19, 0, 0, 0, 4.95417e-17, 0, 3.06003e-16, 0, 0, 0
0.126673, 0, 6.60245e-16, 0, 1.41421, -6.60245e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42761e-19, 0, 0, 0, 9.34749e-17, 0, 5.65827e-16, 0, 0, 0
0.134536, 0, 1.21439e-15, 0, 1.41421, -1.21439e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7289e-18, 0, 0, 0, 1.75003e-16, 0, 1.03765e-15, 0, 0, 0
0.1424, 0, 2.21577e-15, 0, 1.41421, -2.21577e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14483e-18, 0, 0, 0, 3.25151e-16, 0, 1.88747e-15, 0, 0, 0
0.150263, 0, 4.01106e-15, 0, 1.41421, -4.01106e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67454e-18, 0, 0, 0, 5.99628e-16, 0, 3.40576e-15, 0, 0, 0
0.158127, 0, 7.20456e-15, 0, 1.41421, -7.20456e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0158e-17, 0, 0, 0, 1.09772e-15, 0, 6.09668e-15, 0, 0, 0
0.16599, 0, 1.28414e-14, 0, 1.41421, -1.28414e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80416e-17, 0, 0, 0, 1.99512e-15, 0, 1.08283e-14, 0, 0, 0
0.173853, 0, 2.27153e-14, 0, 1.41421, -2.27153e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17951e-17, 0, 0, 0, 3.60059e-15, 0, 1.90829e-14, 0, 0, 0
0.181717, 0, 3.98806e-14, 0, 1.41421, -3.98806e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56033e-17, 0, 0, 0, 6.45285e-15, 0, 3.33722e-14, 0, 0, 0
0.18958, 0, 6.94995e-14, 0, 1.41421, -6.94995e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64998e-17, 0, 0, 0, 1.14856e-14, 0, 5.79174e-14, 0, 0, 0
0.197443, 0, 1.2023e-13, 0, 1.41421, -1.2023e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66213e-16, 0, 0, 0, 2.03061e-14, 0, 9.97576e-14, 0, 0, 0
0.205307, 0, 2.06486e-13, 0, 1.41421, -2.06486e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84148e-16, 0, 0, 0, 3.5663e-14, 0, 1.70539e-13, 0, 0, 0
0.21317, 0, 3.52087e-13, 0, 1.41421, -3.52087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82159e-16, 0, 0, 0, 6.22282e-14, 0, 2.89376e-13, 0, 0, 0
0.221034, 0, 5.96107e-13, 0, 1.41421, -5.96107e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12127e-16, 0, 0, 0, 1.0789e-13, 0, 4.87404e-13, 0, 0, 0
0.228897, 0, 1.00218e-12, 0, 1.41421, -1.00218e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3579e-15, 0, 0, 0, 1.85886e-13, 0, 8.14936e-13, 0, 0, 0
0.23676, 0, 1.6732e-12, 0, 1.41421, -1.6732e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25395e-15, 0, 0, 0, 3.18297e-13, 0, 1.35265e-12, 0, 0, 0
0.244624, 0, 2.77437e-12, 0, 1.41421, -2.77437e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71426e-15, 0, 0, 0, 5.41743e-13, 0, 2.22892e-12, 0, 0, 0
0.252487, 0, 4.56912e-12, 0, 1.41421, -4.56912e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07676e-15, 0, 0, 0, 9.16614e-13, 0, 3.64643e-12, 0, 0, 0
0.26035, 0, 7.47458e-12, 0, 1.41421, -7.47458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87101e-15, 0, 0, 0, 1.54196e-12, 0, 5.92275e-12, 0, 0, 0
0.268214, 0, 1.21469e-11, 0, 1.41421, -1.21469e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59206e-14, 0, 0, 0, 2.57941e-12, 0, 9.55162e-12, 0, 0, 0
0.276077, 0, 1.96117e-11, 0, 1.41421, -1.96117e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54966e-14, 0, 0, 0, 4.29141e-12, 0, 1.52948e-11, 0, 0, 0
0.283941, 0, 3.14613e-11, 0, 1.41421, -3.14613e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05462e-14, 0, 0, 0, 7.10221e-12, 0, 2.43186e-11, 0, 0, 0
0.291804, 0, 5.0154e-11, 0, 1.41421, -5.0154e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40296e-14, 0, 0, 0, 1.16947e-11, 0, 3.83953e-11, 0, 0, 0
0.299667, 0, 7.94612e-11, 1.38729e-43, 1.41421, -7.94612e-11, 1.38729e-43, 0, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.00414e-13, 1.38729e-43, 1.38729e-43, 1.38729e-43, 1.91638e-11, 1.38729e-43, 6.0197e-11, 1.38729e-43, 1.38729e-43, 1.38729e-43
0.307531, 0, 1.25138e-10, 2.41304e-42, 1.41421, -1.25138e-10, 2.41304e-42, 0, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 2.41304e-42, 1.56388e-13, 2.41304e-42, 2.41304e-42, 2.41304e-42, 3.12589e-11, 2.41304e-42, 9.37227e-11, 2.41304e-42, 2.41304e-42, 2.41304e-42
0.315394, 0, 1.9592e-10, 3.55692e-41, 1.41421, -1.9592e-10, 3.55692e-41, 0, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 3.55692e-41, 2.41901e-13, 3.55692e-41, 3.55692e-41, 3.55692e-41, 5.07668e-11, 3.55692e-41, 1.44911e-10, 3.55692e-41, 3.55692e-41, 3.55692e-41
0.323258, 0, 3.05002e-10, 4.62224e-40, 1.41421, -3.05002e-10, 4.62224e-40, 0, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 4.62224e-40, 3.71631e-13, 4.62224e-40, 4.62224e-40, 4.62224e-40, 8.21146e-11, 4.62224e-40, 2.22516e-10, 4.62224e-40, 4.62224e-40, 4.62224e-40
0.331121, 0, 4.72226e-10, 5.38066e-39, 1.41421, -4.72226e-10, 5.38066e-39, 0, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.38066e-39, 5.67086e-13, 5.38066e-39, 5.38066e-39, 5.38066e-39, 1.32319e-10, 5.38066e-39, 3.3934e-10, 5.38066e-39, 5.38066e-39, 5.38066e-39
0.338984, 0, 7.27315e-10, 5.65454e-38, 1.41421, -7.27315e-10, 5.65454e-38, 0, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 5.65454e-38, 8.59558e-13, 5.65454e-38, 5.65454e-38, 5.65454e-38, 2.12482e-10, 5.65454e-38, 5.13974e-10, 5.65454e-38, 5.65454e-38, 5.65454e-38
0.346848, 0, 1.11463e-09, 5.38833e-37, 1.41421, -1.11463e-09, 5.38833e-37, 0, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 5.38833e-37, 1.29423e-12, 5.38833e-37, 5.38833e-37, 5.38833e-37, 3.40135e-10, 5.38833e-37, 7.73202e-10, 5.38833e-37, 5.38833e-37, 5.38833e-37
0.354711, 0, 1.70021e-09, 4.68431e-36, 1.41421, -1.70021e-09, 4.68431e-36, 0, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 4.68431e-36, 1.93594e-12, 4.68431e-36, 4.68431e-36, 4.68431e-36, 5.42939e-10, 4.68431e-36, 1.15533e-09, 4.68431e-36, 4.68431e-36, 4.68431e-36
0.362574, 0, 2.58211e-09, 3.73288e-35, 1.41421, -2.58211e-09, 3.73288e-35, 0, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 3.73288e-35, 2.87699e-12, 3.73288e-35, 3.73288e-35, 3.73288e-35, 8.64481e-10, 3.73288e-35, 1.71475e-09, 3.73288e-35, 3.73288e-35, 3.73288e-35
0.370438, 0, 3.90569e-09, 2.739e-34, 1.41421, -3.90569e-09, 2.739e-34, 0, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 2.739e-34, 4.24801e-12, 2.739e-34, 2.739e-34, 2.739e-34, 1.37338e-09, 2.739e-34, 2.52807e-09, 2.739e-34, 2.739e-34, 2.739e-34
0.378301, 0, 5.88626e-09, 1.85382e-33, 1.41421, -5.88626e-09, 1.85382e-33, 0, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 1.85382e-33, 6.23258e-12, 1.85382e-33, 1.85382e-33, 1.85382e-33, 2.17757e-09, 1.85382e-33, 3.70246e-09, 1.85382e-33, 1.85382e-33, 1.85382e-33
0.386165, 0, 8.84241e-09, 1.14027e-32, 1.41421, -8.84241e-09, 1.14027e-32, 0, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 1.14027e-32, 9.08699e-12, 1.14027e-32, 1.14027e-32, 1.14027e-32, 3.44663e-09, 1.14027e-32, 5.3867e-09, 1.14027e-32, 1.14027e-32, 1.14027e-32
0.394028, 0, 1.32457e-08, 7.00314e-32, 1.41421, -1.32457e-08, 7.00314e-32, 0, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 7.00314e-32, 1.31668e-11, 7.00314e-32, 7.00314e-32, 7.00314e-32, 5.44669e-09, 7.00314e-32, 7.78586e-09, 7.00314e-32, 7.00314e-32, 7.00314e-32
0.401891, 0, 1.97942e-08, 3.87801e-31, 1.41421, -1.97942e-08, 3.87801e-31, 0, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 3.87801e-31, 1.89624e-11, 3.87801e-31, 3.87801e-31, 3.87801e-31, 8.59476e-09, 3.87801e-31, 1.11805e-08, 3.87801e-31, 3.87801e-31, 3.87801e-31
0.409755, 0, 2.95219e-08, 2.07755e-30, 1.41421, -2.95219e-08, 2.07755e-30, 0, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.07755e-30, 2.71457e-11, 2.07755e-30, 2.07755e-30, 2.07755e-30, 1.35429e-08, 2.07755e-30, 1.59518e-08, 2.07755e-30, 2.07755e-30, 2.07755e-30
0.417618, 0, 4.39608e-08, 1.0553e-29, 1.41421, -4.39608e-08, 1.0553e-29, 0, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 1.0553e-29, 3.86322e-11, 1.0553e-29, 1.0553e-29, 1.0553e-29, 2.13084e-08, 1.0553e-29, 2.26138e-08, 1.0553e-29, 1.0553e-29, 1.0553e-29
0.425482, 0, 6.53822e-08, 5.05473e-29, 1.41421, -6.53822e-08, 5.05473e-29, 0, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.05473e-29, 5.4662e-11, 5.05473e-29, 5.05473e-29, 5.05473e-29, 3.34728e-08, 5.05473e-29, 3.18548e-08, 5.05473e-29, 5.05473e-29, 5.05473e-29
0.433345, 0, 9.71792e-08, 4.49941e-28, 1.41421, -9.71792e-08, 4.49941e-28, 0, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 4.49941e-28, 7.69076e-11, 4.49941e-28, 4.49941e-28, 4.49941e-28, 5.25116e-08, 4.49941e-28, 4.45906e-08, 4.49941e-28, 4.49941e-28, 4.49941e-28
0.441208, 0, 1.443e-07, 1.88328e-27, 1.41421, -1.443e-07, 1.88328e-27, 0, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.88328e-27, 1.07605e-10, 1.88328e-27, 1.88328e-27, 1.88328e-27, 8.21634e-08, 1.88328e-27, 6.20289e-08, 1.88328e-27, 1.88328e-27, 1.88328e-27
0.449072, 0, 2.14154e-07, 7.51641e-27, 1.41421, -2.14154e-07, 7.51641e-27, 0, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 7.51641e-27, 1.4974e-10, 7.51641e-27, 7.51641e-27, 7.51641e-27, 1.28249e-07, 7.51641e-27, 8.57546e-08, 7.51641e-27, 7.51641e-27, 7.51641e-27
0.456935, 0, 3.17666e-07, 2.86407e-26, 1.41421, -3.17666e-07, 2.86407e-26, 0, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.86407e-26, 7.60681e-13, 2.86407e-26, 2.86407e-26, 2.86407e-26, 2.07269e-10, 2.86407e-26, 2.86407e-26, 2.86407e-26, 1.99626e-07, 2.86407e-26, 1.17832e-07, 2.86407e-26, 2.86407e-26, 2.86407e-26
0.464798, 0, 4.70943e-07, 1.04384e-25, 1.41421, -4.70943e-07, 1.04384e-25, 0, 1.04384e-25, 1.04384e-25, 1.04384e-25, 1.04384e-25, 1.04384e-25, 1.04384e-25, 1.04384e-25, 1.04384e-25, 2.52667e-12, 1.04384e-25, 1.04384e-25, 1.04384e-25, 2.85413e-10, 1.04384e-25, 1.04384e-25, 1.04384e-25, 3.09726e-07, 1.04384e-25, 1.60929e-07, 1.04384e-25, 1.04384e-25, 1.04384e-25
0.472662, 0, 6.9765e-07, 3.66238e-25, 1.41421, -6.9765e-07, 3.66238e-25, 0, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.66238e-25, 6.51319e-12, 3.66238e-25, 3.66238e-25, 3.66238e-25, 3.91025e-10, 3.66238e-25, 3.66238e-25, 3.66238e-25, 4.78779e-07, 3.66238e-25, 2.18474e-07, 3.66238e-25, 3.66238e-25, 3.66238e-25
0.480525, 0, 1.03348e-06, 4.07325e-11, 1.41421, -1.03348e-06, 4.70554e-11, 4.07325e-11, 4.07338e-11, 5.93457e-11, 2.23101e-10, 4.70791e-11, 1.51582e-10, 5.96384e-11, 8.55915e-11, 4.08857e-11, 9.11851e-11, 2.42926e-10, 6.74626e-11, 3.58506e-10, 5.73799e-10, 5.29123e-11, 4.11224e-11, 4.08059e-11, 7.37072e-07, 4.07328e-11, 2.94913e-07, 4.07325e-11, 4.07325e-11, 4.5698e-11
0.488389, 0, 1.52918e-06, 1.34251e-10, 1.41421, -1.52918e-06, 1.55154e-10, 1.34251e-10, 1.34255e-10, 1.95786e-10, 7.37163e-10, 1.55233e-10, 5.00719e-10, 1.96754e-10, 2.82555e-10, 1.34757e-10, 2.84698e-10, 8.02705e-10, 2.22621e-10, 1.18481e-09, 8.57421e-10, 1.74517e-10, 1.3554e-10, 1.35685e-10, 1.12948e-06, 1.34252e-10, 3.95811e-07, 1.34251e-10, 1.34251e-10, 1.50667e-10
0.496252, 0, 2.25944e-06, 3.42996e-10, 1.41421, -2.25944e-06, 3.96662e-10, 3.42996e-10, 3.43007e-10, 5.00977e-10, 1.89087e-09, 3.96863e-10, 1.28384e-09, 5.03462e-10, 7.23742e-10, 3.44296e-10, 7.15505e-10, 2.05914e-09, 5.69871e-10, 3.04013e-09, 1.31938e-09, 4.46374e-10, 3.46305e-10, 3.47865e-10, 1.72202e-06, 3.42999e-10, 5.28324e-07, 3.42996e-10, 3.42996e-10, 3.85141e-10
0.504115, 0, 3.33273e-06, 8.00279e-10, 1.41421, -3.33273e-06, 9.25879e-10, 8.00279e-10, 8.00304e-10, 1.17002e-09, 4.4229e-09, 9.2635e-10, 3.00222e-09, 1.17583e-09, 1.69137e-09, 8.03323e-10, 1.65509e-09, 4.81671e-09, 1.33125e-09, 7.11261e-09, 2.11235e-09, 1.04222e-09, 8.08024e-10, 8.13308e-10, 2.61099e-06, 8.00285e-10, 7.01436e-07, 8.00279e-10, 8.00279e-10, 8.98915e-10
0.511979, 0, 4.90648e-06, 1.78207e-09, 1.41421, -4.90648e-06, 2.06217e-09, 1.78207e-09, 1.78213e-09, 2.6066e-09, 9.86073e-09, 2.06322e-09, 6.69252e-09, 2.61957e-09, 3.76925e-09, 1.78886e-09, 3.66135e-09, 1.07389e-08, 2.96617e-09, 1.58589e-08, 3.53708e-09, 2.32162e-09, 1.79934e-09, 1.81354e-09, 3.93583e-06, 1.78208e-09, 9.26571e-07, 1.78207e-09, 1.78207e-09, 2.00203e-09
0.519842, 0, 7.21351e-06, 3.84593e-09, 1.41421, -7.21351e-06, 4.45079e-09, 3.84593e-09, 3.84605e-09, 5.62651e-09, 2.12918e-08, 4.45306e-09, 1.445e-08, 5.65451e-09, 8.13725e-09, 3.86058e-09, 7.92956e-09, 2.31883e-08, 6.40299e-09, 3.42449e-08, 6.18269e-09, 5.01108e-09, 3.88322e-09, 3.91766e-09, 5.90143e-06, 3.84596e-09, 1.2183e-06, 3.84593e-09, 3.84593e-09, 4.32094e-09
0.527706, 0, 1.05791e-05, 8.09293e-09, 1.41421, -1.05791e-05, 9.3662e-09, 8.09293e-09, 8.09318e-09, 1.18411e-08, 4.48172e-08, 9.37097e-09, 3.04151e-08, 1.19001e-08, 1.71264e-08, 8.12378e-09, 1.73888e-08, 4.88094e-08, 1.34757e-08, 7.2084e-08, 1.11902e-08, 1.05456e-08, 8.17144e-09, 8.25028e-09, 8.7874e-06, 8.09299e-09, 1.59542e-06, 8.09293e-09, 8.09293e-09, 9.09285e-09
0.535569, 0, 1.54883e-05, 1.66494e-08, 1.41421, -1.54883e-05, 1.92697e-08, 1.66494e-08, 1.665e-08, 2.43629e-08, 9.22246e-08, 1.92795e-08, 6.25863e-08, 2.44842e-08, 3.52394e-08, 1.67129e-08, 4.30928e-08, 1.0044e-07, 2.77266e-08, 1.48337e-07, 2.07364e-08, 2.16969e-08, 1.6811e-08, 1.69846e-08, 1.29968e-05, 1.66496e-08, 2.08251e-06, 1.66494e-08, 1.66494e-08, 1.87072e-08
0.543432, 0, 2.26356e-05, 3.35305e-08, 1.41421, -2.26356e-05, 3.88092e-08, 3.35305e-08, 3.35316e-08, 4.90696e-08, 1.8578e-07, 3.8829e-08, 1.26072e-07, 4.9314e-08, 7.09808e-08, 3.36584e-08, 9.62995e-08, 2.02331e-07, 5.5846e-08, 2.98822e-07, 3.88995e-08, 4.36988e-08, 3.3856e-08, 3.4227e-08, 1.90924e-05, 3.35308e-08, 2.71259e-06, 3.35305e-08, 3.35305e-08, 3.76759e-08
0.551296, 0, 3.30364e-05, 6.61476e-08, 1.41421, -3.30364e-05, 7.65646e-08, 6.61476e-08, 6.61497e-08, 9.68127e-08, 3.666e-07, 7.66036e-08, 2.48771e-07, 9.7295e-08, 1.40053e-07, 6.64e-08, 2.04495e-07, 3.99261e-07, 1.10185e-07, 5.89677e-07, 7.31697e-08, 8.62139e-08, 6.67899e-08, 6.7563e-08, 2.78551e-05, 6.61481e-08, 3.53119e-06, 6.61476e-08, 6.61476e-08, 7.43282e-08
0.559159, 0, 4.81771e-05, 1.27874e-07, 1.41421, -4.81771e-05, 1.48019e-07, 1.27874e-07, 1.27878e-07, 1.87175e-07, 7.089e-07, 1.48094e-07, 4.81039e-07, 1.88108e-07, 2.70794e-07, 1.28362e-07, 4.20007e-07, 7.72062e-07, 2.13036e-07, 1.1403e-06, 1.37018e-07, 1.66679e-07, 1.29116e-07, 1.30691e-07, 4.03628e-05, 1.27875e-07, 4.60296e-06, 1.27874e-07, 1.27874e-07, 1.43694e-07
