   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_177.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00317258, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00469833, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0125692, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0204402, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0283111, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.036182, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0440529, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0519238, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0597947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0676657, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0755366, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0834075, 0, 1.46459e-29, 0, 1.41421, -1.46459e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23237e-31, 0, 0, 1.23946e-34, 2.90568e-35, 0, 1.45225e-29, 0, 0, 0
0.0912784, 0, 1.53199e-28, 0, 1.41421, -1.53199e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28905e-30, 0, 0, 1.29647e-33, 3.32773e-33, 0, 1.51905e-28, 0, 0, 0
0.0991493, 0, 1.01282e-27, 0, 1.41421, -1.01282e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52199e-30, 0, 0, 8.57101e-33, 3.74292e-32, 0, 1.00425e-27, 0, 0, 0
0.10702, 0, 5.34088e-27, 0, 1.41421, -5.34088e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49384e-29, 0, 0, 4.52497e-32, 2.52796e-31, 0, 5.29564e-27, 0, 0, 0
0.114891, 0, 2.4524e-26, 0, 1.41421, -2.4524e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06344e-28, 0, 0, 2.08239e-31, 1.34755e-30, 0, 2.43161e-26, 0, 0, 0
0.122762, 0, 1.02268e-25, 0, 1.41421, -1.02268e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60479e-28, 0, 0, 8.70939e-31, 6.23064e-30, 0, 1.01401e-25, 0, 0, 0
0.130633, 0, 3.96521e-25, 0, 1.41421, -3.96521e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33628e-27, 0, 0, 3.38825e-30, 2.6115e-29, 0, 3.93155e-25, 0, 0, 0
0.138504, 0, 1.45033e-24, 0, 1.41421, -1.45033e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22029e-26, 0, 0, 1.24384e-29, 1.01675e-28, 0, 1.43802e-24, 0, 0, 0
0.146375, 0, 5.05296e-24, 0, 1.41421, -5.05296e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25147e-26, 0, 0, 4.35041e-29, 3.73235e-28, 0, 5.01003e-24, 0, 0, 0
0.154246, 0, 1.68835e-23, 0, 1.41421, -1.68835e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42055e-25, 0, 0, 1.45955e-28, 1.30463e-27, 0, 1.674e-23, 0, 0, 0
0.162117, 0, 5.43763e-23, 0, 1.41421, -5.43763e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57509e-25, 0, 0, 4.72088e-28, 4.37268e-27, 0, 5.39139e-23, 0, 0, 0
0.169988, 0, 1.69456e-22, 0, 1.41421, -1.69456e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42576e-24, 0, 0, 1.47779e-27, 1.41249e-26, 0, 1.68014e-22, 0, 0, 0
0.177858, 0, 5.12535e-22, 0, 1.41421, -5.12535e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31233e-24, 0, 0, 4.4907e-27, 4.41466e-26, 0, 5.08174e-22, 0, 0, 0
0.185729, 0, 1.50827e-21, 0, 1.41421, -1.50827e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26901e-23, 0, 0, 1.328e-26, 1.33914e-25, 0, 1.49543e-21, 0, 0, 0
0.1936, 0, 4.32709e-21, 0, 1.41421, -4.32709e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64068e-23, 0, 0, 3.82954e-26, 3.95226e-25, 0, 4.29025e-21, 0, 0, 0
0.201471, 0, 1.21229e-20, 0, 1.41421, -1.21229e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01998e-22, 0, 0, 1.07868e-25, 1.13722e-24, 0, 1.20196e-20, 0, 0, 0
0.209342, 0, 3.48146e-20, 0, 1.41421, -3.48146e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92917e-22, 0, 0, 3.12345e-25, 3.38119e-24, 0, 3.4518e-20, 0, 0, 0
0.217213, 0, 9.28048e-20, 0, 1.41421, -9.28048e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80823e-22, 0, 0, 8.37489e-25, 9.22401e-24, 0, 9.20139e-20, 0, 0, 0
0.225084, 0, 2.42676e-19, 0, 1.41421, -2.42676e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04177e-21, 0, 0, 2.20341e-24, 2.46644e-23, 0, 2.40607e-19, 0, 0, 0
0.232955, 0, 6.22978e-19, 0, 1.41421, -6.22978e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24147e-21, 0, 0, 5.69288e-24, 6.47025e-23, 0, 6.17666e-19, 0, 0, 0
0.240826, 0, 1.57111e-18, 0, 1.41421, -1.57111e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32186e-20, 0, 0, 1.44543e-23, 1.66655e-22, 0, 1.55771e-18, 0, 0, 0
0.248697, 0, 3.89491e-18, 0, 1.41421, -3.89491e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27699e-20, 0, 0, 3.60882e-23, 4.21768e-22, 0, 3.86168e-18, 0, 0, 0
0.256568, 0, 9.49673e-18, 0, 1.41421, -9.49673e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99008e-20, 0, 0, 8.86496e-23, 1.04943e-21, 0, 9.41569e-18, 0, 0, 0
0.264439, 0, 2.27846e-17, 0, 1.41421, -2.27846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91698e-19, 0, 0, 2.14359e-22, 2.5686e-21, 0, 2.25901e-17, 0, 0, 0
