   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_324.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00422951, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00363746, 0, 9.51084e-23, 0, 1.41421, -9.51084e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33458e-23, 0, 7.17626e-23, 0, 0
0.0115044, 0, 2.31314e-22, 0, 1.41421, -2.31314e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79406e-23, 0, 1.73373e-22, 0, 0
0.0193714, 0, 5.52892e-22, 0, 1.41421, -5.52892e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41166e-22, 0, 4.11726e-22, 0, 0
0.0272384, 0, 1.30009e-21, 0, 1.41421, -1.30009e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38039e-22, 0, 9.62053e-22, 0, 0
0.0351053, 0, 3.01011e-21, 0, 1.41421, -3.01011e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96408e-22, 0, 2.2137e-21, 0, 0
0.0429723, 0, 6.86748e-21, 0, 1.41421, -6.86748e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84767e-21, 0, 5.01981e-21, 0, 0
0.0508393, 0, 1.54495e-20, 0, 1.41421, -1.54495e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22444e-21, 0, 1.12251e-20, 0, 0
0.0587062, 0, 3.4292e-20, 0, 1.41421, -3.4292e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.52515e-21, 0, 2.47668e-20, 0, 0
0.0665732, 0, 7.51389e-20, 0, 1.41421, -7.51389e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11933e-20, 0, 5.39457e-20, 0, 0
