   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_376.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00385995, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00400635, 0, 6.17536e-23, 0, 1.41421, -6.17536e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23377e-25, 0, 0, 2.79354e-28, 0, 1.57057e-23, 0, 4.53243e-23, 0, 0
0.0118727, 0, 1.53512e-22, 0, 1.41421, -1.53512e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78668e-24, 0, 0, 6.96088e-28, 0, 3.97771e-23, 0, 1.11947e-22, 0, 0
0.0197389, 0, 3.74151e-22, 0, 1.41421, -3.74151e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32762e-24, 0, 0, 1.70128e-27, 0, 9.86681e-23, 0, 2.71153e-22, 0, 0
0.0276053, 0, 8.95348e-22, 0, 1.41421, -8.95348e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02935e-23, 0, 0, 4.08402e-27, 0, 2.40098e-22, 0, 6.44953e-22, 0, 0
0.0354716, 0, 2.1062e-21, 0, 1.41421, -2.1062e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40707e-23, 0, 0, 9.64075e-27, 0, 5.73927e-22, 0, 1.50819e-21, 0, 0
0.0433379, 0, 4.8754e-21, 0, 1.41421, -4.8754e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53938e-23, 0, 0, 2.24016e-26, 0, 1.3492e-21, 0, 3.47078e-21, 0, 0
0.0512042, 0, 1.11151e-20, 0, 1.41421, -1.11151e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2556e-22, 0, 0, 5.12827e-26, 0, 3.12232e-21, 0, 7.86712e-21, 0, 0
0.0590705, 0, 2.49767e-20, 0, 1.41421, -2.49767e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80528e-22, 0, 0, 1.15747e-25, 0, 7.11917e-21, 0, 1.75769e-20, 0, 0
0.0669368, 0, 5.5358e-20, 0, 1.41421, -5.5358e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18201e-22, 0, 0, 2.57745e-25, 0, 1.60052e-20, 0, 3.87343e-20, 0, 0
