   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_147.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00258638, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00528658, 0, 1.23923e-18, 0, 1.41421, -1.23923e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92736e-21, 0, 1.86055e-23, 2.24075e-20, 0, 1.20988e-18, 0, 0
0.0131595, 0, 2.3637e-18, 0, 1.41421, -2.3637e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32087e-20, 0, 3.60192e-23, 4.35146e-20, 0, 2.30694e-18, 0, 0
0.0210325, 0, 4.4701e-18, 0, 1.41421, -4.4701e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49711e-20, 0, 6.91457e-23, 8.37943e-20, 0, 4.36126e-18, 0, 0
0.0289055, 0, 8.38343e-18, 0, 1.41421, -8.38343e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68155e-20, 0, 1.31654e-22, 1.60046e-19, 0, 8.17643e-18, 0, 0
0.0367784, 0, 1.55952e-17, 0, 1.41421, -1.55952e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.70566e-20, 0, 2.48671e-22, 3.03271e-19, 0, 1.52046e-17, 0, 0
0.0446514, 0, 2.87807e-17, 0, 1.41421, -2.87807e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60601e-19, 0, 4.66039e-22, 5.70247e-19, 0, 2.80493e-17, 0, 0
0.0525243, 0, 5.27015e-17, 0, 1.41421, -5.27015e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9397e-19, 0, 8.66762e-22, 1.06422e-18, 0, 5.13424e-17, 0, 0
0.0603973, 0, 9.57685e-17, 0, 1.41421, -9.57685e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33983e-19, 0, 1.60002e-21, 1.97159e-18, 0, 9.32613e-17, 0, 0
0.0682703, 0, 1.72727e-16, 0, 1.41421, -1.72727e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62681e-19, 0, 2.932e-21, 3.62655e-18, 0, 1.68134e-16, 0, 0
0.0761432, 0, 3.09236e-16, 0, 1.41421, -3.09236e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72276e-18, 0, 5.33429e-21, 6.62425e-18, 0, 3.00884e-16, 0, 0
0.0840162, 0, 5.49625e-16, 0, 1.41421, -5.49625e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06058e-18, 0, 9.63648e-21, 1.20175e-17, 0, 5.34537e-16, 0, 0
0.0918892, 0, 9.69918e-16, 0, 1.41421, -9.69918e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39842e-18, 0, 1.72878e-20, 2.16564e-17, 0, 9.42846e-16, 0, 0
0.0997621, 0, 1.69958e-15, 0, 1.41421, -1.69958e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45492e-18, 0, 3.0803e-20, 3.87719e-17, 0, 1.65133e-15, 0, 0
0.107635, 0, 2.95752e-15, 0, 1.41421, -2.95752e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64444e-17, 0, 5.45156e-20, 6.89702e-17, 0, 2.87205e-15, 0, 0
0.115508, 0, 5.11131e-15, 0, 1.41421, -5.11131e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84043e-17, 0, 9.5845e-20, 1.2192e-16, 0, 4.96089e-15, 0, 0
0.123381, 0, 8.77384e-15, 0, 1.41421, -8.77384e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87296e-17, 0, 1.67408e-19, 2.14196e-16, 0, 8.51075e-15, 0, 0
0.131254, 0, 1.49602e-14, 0, 1.41421, -1.49602e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30382e-17, 0, 2.90534e-19, 3.74041e-16, 0, 1.45028e-14, 0, 0
0.139127, 0, 2.53397e-14, 0, 1.41421, -2.53397e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40562e-16, 0, 5.0103e-19, 6.49297e-16, 0, 2.45494e-14, 0, 0
0.147, 0, 4.26399e-14, 0, 1.41421, -4.26399e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36369e-16, 0, 8.58658e-19, 1.12055e-15, 0, 4.12821e-14, 0, 0
0.154873, 0, 7.12862e-14, 0, 1.41421, -7.12862e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94886e-16, 0, 1.46252e-18, 1.92274e-15, 0, 6.89671e-14, 0, 0
0.162746, 0, 1.18412e-13, 0, 1.41421, -1.18412e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55446e-16, 0, 2.47599e-18, 3.28059e-15, 0, 1.14473e-13, 0, 0
0.170619, 0, 1.95438e-13, 0, 1.41421, -1.95438e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08096e-15, 0, 4.16678e-18, 5.5663e-15, 0, 1.88786e-13, 0, 0
0.178492, 0, 3.20529e-13, 0, 1.41421, -3.20529e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77135e-15, 0, 6.97096e-18, 9.39291e-15, 0, 3.09358e-13, 0, 0
0.186365, 0, 5.22388e-13, 0, 1.41421, -5.22388e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88435e-15, 0, 1.15949e-17, 1.57659e-14, 0, 5.03726e-13, 0, 0
0.194238, 0, 8.46066e-13, 0, 1.41421, -8.46066e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66716e-15, 0, 1.91766e-17, 2.63236e-14, 0, 8.15056e-13, 0, 0
0.202111, 0, 1.36182e-12, 0, 1.41421, -1.36182e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50478e-15, 0, 3.15392e-17, 4.37235e-14, 0, 1.31056e-12, 0, 0
0.209984, 0, 2.1785e-12, 0, 1.41421, -2.1785e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19928e-14, 0, 5.15888e-17, 7.22553e-14, 0, 2.0942e-12, 0, 0
0.217857, 0, 3.46363e-12, 0, 1.41421, -3.46363e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90463e-14, 0, 8.39374e-17, 1.18809e-13, 0, 3.32569e-12, 0, 0
0.225729, 0, 5.47342e-12, 0, 1.41421, -5.47342e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00625e-14, 0, 1.35865e-16, 1.94402e-13, 0, 5.24882e-12, 0, 0
0.233602, 0, 8.59719e-12, 0, 1.41421, -8.59719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71604e-14, 0, 2.18818e-16, 3.16569e-13, 0, 8.23325e-12, 0, 0
0.241475, 0, 1.34227e-11, 0, 1.41421, -1.34227e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35329e-14, 0, 3.5072e-16, 5.13102e-13, 0, 1.28357e-11, 0, 0
0.249348, 0, 2.08317e-11, 0, 1.41421, -2.08317e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13959e-13, 0, 5.59535e-16, 8.27861e-13, 0, 1.98893e-11, 0, 0
0.257221, 0, 3.21386e-11, 0, 1.41421, -3.21386e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75548e-13, 0, 8.88757e-16, 1.32981e-12, 0, 3.06324e-11, 0, 0
0.265094, 0, 4.92906e-11, 0, 1.41421, -4.92906e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.688e-13, 0, 1.40584e-15, 2.12698e-12, 0, 4.68934e-11, 0, 0
0.272967, 0, 7.51541e-11, 0, 1.41421, -7.51541e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09136e-13, 0, 2.21518e-15, 3.388e-12, 0, 7.13547e-11, 0, 0
0.28084, 0, 1.13923e-10, 1.68156e-44, 1.41421, -1.13923e-10, 1.68156e-44, 0, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 6.19047e-13, 1.68156e-44, 3.47804e-15, 5.37534e-12, 1.68156e-44, 1.07925e-10, 1.68156e-44, 1.68156e-44
0.288713, 0, 1.71698e-10, 3.30706e-43, 1.41421, -1.71698e-10, 3.30706e-43, 0, 3.30706e-43, 3.30706e-43, 3.30706e-43, 3.30706e-43, 3.30706e-43, 3.30706e-43, 3.30706e-43, 3.30706e-43, 9.31132e-13, 3.30706e-43, 5.4432e-15, 8.49625e-12, 3.30706e-43, 1.62265e-10, 3.30706e-43, 3.30706e-43
0.296586, 0, 2.57349e-10, 2.94147e-41, 1.41421, -2.57349e-10, 2.94147e-41, 0, 2.94147e-41, 2.94147e-41, 2.94147e-41, 2.94147e-41, 2.94147e-41, 2.94147e-41, 2.94147e-41, 2.94147e-41, 1.39257e-12, 2.94147e-41, 8.50965e-15, 1.34026e-11, 2.94147e-41, 2.42545e-10, 2.94147e-41, 2.94147e-41
