   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_62.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000279409, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00758418, 0, 4.33547e-21, 0, 1.41421, -4.33547e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44537e-23, 0, 0, 1.10493e-25, 5.34594e-25, 0, 4.30037e-21, 0, 0, 0
0.0154478, 0, 9.44598e-21, 0, 1.41421, -9.44598e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50663e-23, 0, 0, 2.43846e-25, 1.18631e-24, 0, 9.36948e-21, 0, 0, 0
0.0233113, 0, 2.03212e-20, 0, 1.41421, -2.03212e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6149e-22, 0, 0, 5.31436e-25, 2.59815e-24, 0, 2.01566e-20, 0, 0, 0
0.0311749, 0, 4.31899e-20, 0, 1.41421, -4.31899e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43224e-22, 0, 0, 1.14441e-24, 5.61956e-24, 0, 4.28399e-20, 0, 0, 0
0.0390385, 0, 9.07318e-20, 0, 1.41421, -9.07318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21032e-22, 0, 0, 2.43624e-24, 1.20104e-23, 0, 8.99963e-20, 0, 0, 0
0.0469021, 0, 1.88482e-19, 0, 1.41421, -1.88482e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49784e-21, 0, 0, 5.12937e-24, 2.53779e-23, 0, 1.86954e-19, 0, 0, 0
0.0547657, 0, 3.87334e-19, 0, 1.41421, -3.87334e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07807e-21, 0, 0, 1.06853e-23, 5.30385e-23, 0, 3.84192e-19, 0, 0, 0
0.0626293, 0, 7.87694e-19, 0, 1.41421, -7.87694e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25963e-21, 0, 0, 2.20316e-23, 1.09684e-22, 0, 7.81302e-19, 0, 0, 0
0.0704929, 0, 1.58571e-18, 0, 1.41421, -1.58571e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26013e-20, 0, 0, 4.49762e-23, 2.24528e-22, 0, 1.57284e-18, 0, 0, 0
0.0783565, 0, 3.16088e-18, 0, 1.41421, -3.16088e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51187e-20, 0, 0, 9.09337e-23, 4.55118e-22, 0, 3.13521e-18, 0, 0, 0
0.08622, 0, 6.24055e-18, 0, 1.41421, -6.24055e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95919e-20, 0, 0, 1.82133e-22, 9.13769e-22, 0, 6.18986e-18, 0, 0, 0
0.0940836, 0, 1.22059e-17, 0, 1.41421, -1.22059e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.69967e-20, 0, 0, 3.6148e-22, 1.81773e-21, 0, 1.21067e-17, 0, 0, 0
0.101947, 0, 2.36562e-17, 0, 1.41421, -2.36562e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87988e-19, 0, 0, 7.11059e-22, 3.58356e-21, 0, 2.34639e-17, 0, 0, 0
0.109811, 0, 4.5439e-17, 0, 1.41421, -4.5439e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61087e-19, 0, 0, 1.38658e-21, 7.00323e-21, 0, 4.50695e-17, 0, 0, 0
