   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_821.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00616883, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00169228, 0, 2.22317e-18, 0, 1.41421, -2.22317e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60454e-20, 0, 0, 2.135e-20, 0, 1.73174e-21, 0, 2.18405e-18, 0, 0, 0
0.00955339, 0, 4.10124e-18, 0, 1.41421, -4.10124e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95946e-20, 0, 0, 4.00718e-20, 0, 3.25733e-21, 0, 4.02831e-18, 0, 0, 0
0.0174145, 0, 7.50723e-18, 0, 1.41421, -7.50723e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41621e-20, 0, 0, 7.46351e-20, 0, 6.08138e-21, 0, 7.37235e-18, 0, 0, 0
0.0252756, 0, 1.36377e-17, 0, 1.41421, -1.36377e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83725e-20, 0, 0, 1.37971e-19, 0, 1.12718e-20, 0, 1.33901e-17, 0, 0, 0
0.0331367, 0, 2.45905e-17, 0, 1.41421, -2.45905e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77342e-19, 0, 0, 2.53188e-19, 0, 2.07449e-20, 0, 2.41392e-17, 0, 0, 0
0.0409978, 0, 4.40165e-17, 0, 1.41421, -4.40165e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17374e-19, 0, 0, 4.61291e-19, 0, 3.79168e-20, 0, 4.31999e-17, 0, 0, 0
0.0488589, 0, 7.82247e-17, 0, 1.41421, -7.82247e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6391e-19, 0, 0, 8.34533e-19, 0, 6.88373e-20, 0, 7.67574e-17, 0, 0, 0
0.05672, 0, 1.3804e-16, 0, 1.41421, -1.3804e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94894e-19, 0, 0, 1.49936e-18, 0, 1.24151e-19, 0, 1.35421e-16, 0, 0, 0
0.0645811, 0, 2.41905e-16, 0, 1.41421, -2.41905e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74309e-18, 0, 0, 2.67554e-18, 0, 2.22469e-19, 0, 2.37264e-16, 0, 0, 0
0.0724423, 0, 4.21027e-16, 0, 1.41421, -4.21027e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0331e-18, 0, 0, 4.74254e-18, 0, 3.96133e-19, 0, 4.12855e-16, 0, 0, 0
0.0803034, 0, 7.27845e-16, 0, 1.41421, -7.27845e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2422e-18, 0, 0, 8.3512e-18, 0, 7.00993e-19, 0, 7.13551e-16, 0, 0, 0
0.0881645, 0, 1.24989e-15, 0, 1.41421, -1.24989e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99994e-18, 0, 0, 1.46105e-17, 0, 1.23293e-18, 0, 1.22504e-15, 0, 0, 0
0.0960256, 0, 2.13226e-15, 0, 1.41421, -2.13226e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53497e-17, 0, 0, 2.53982e-17, 0, 2.15555e-18, 0, 2.08936e-15, 0, 0, 0
0.103887, 0, 3.61395e-15, 0, 1.41421, -3.61395e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60094e-17, 0, 0, 4.3873e-17, 0, 3.74644e-18, 0, 3.54032e-15, 0, 0, 0
0.111748, 0, 6.0859e-15, 0, 1.41421, -6.0859e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37882e-17, 0, 0, 7.53152e-17, 0, 6.47382e-18, 0, 5.96032e-15, 0, 0, 0
0.119609, 0, 1.02153e-14, 0, 1.41421, -1.02153e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34772e-17, 0, 0, 1.29152e-16, 0, 1.11926e-17, 0, 1.00015e-14, 0, 0, 0
0.12747, 0, 1.69793e-14, 0, 1.41421, -1.69793e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22095e-16, 0, 0, 2.18925e-16, 0, 1.91125e-17, 0, 1.66192e-14, 0, 0, 0
0.135331, 0, 2.8047e-14, 0, 1.41421, -2.8047e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01622e-16, 0, 0, 3.68908e-16, 0, 3.24573e-17, 0, 2.7444e-14, 0, 0, 0
0.143192, 0, 4.60436e-14, 0, 1.41421, -4.60436e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30895e-16, 0, 0, 6.18022e-16, 0, 5.48211e-17, 0, 4.50399e-14, 0, 0, 0
0.151053, 0, 7.51261e-14, 0, 1.41421, -7.51261e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39729e-16, 0, 0, 1.02941e-15, 0, 9.20988e-17, 0, 7.34649e-14, 0, 0, 0
0.158914, 0, 1.21834e-13, 0, 1.41421, -1.21834e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75011e-16, 0, 0, 1.70491e-15, 0, 1.53915e-16, 0, 1.191e-13, 0, 0, 0
0.166776, 0, 1.9639e-13, 0, 1.41421, -1.9639e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41e-15, 0, 0, 2.80794e-15, 0, 2.55892e-16, 0, 1.91917e-13, 0, 0, 0
