   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0581705, 0, 3.95989e-15, 0, 1.41421, -3.95989e-15, 0, 0, 0, 0, 0, 0, 0, 0, 7.59651e-18, 0, 0, 3.16373e-20, 5.04267e-19, 0, 3.95176e-15, 0, 0
0.0661283, 0, 7.27614e-15, 0, 1.41421, -7.27614e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.39582e-17, 0, 0, 5.91826e-20, 9.49322e-19, 0, 7.26117e-15, 0, 0
0.0740861, 0, 1.32574e-14, 0, 1.41421, -1.32574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.54323e-17, 0, 0, 1.09808e-19, 1.77315e-18, 0, 1.32301e-14, 0, 0
0.0820439, 0, 2.39556e-14, 0, 1.41421, -2.39556e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.59551e-17, 0, 0, 2.02106e-19, 3.28648e-18, 0, 2.39062e-14, 0, 0
0.0900016, 0, 4.29348e-14, 0, 1.41421, -4.29348e-14, 0, 0, 0, 0, 0, 0, 0, 0, 8.23632e-17, 0, 0, 3.69053e-19, 6.04561e-18, 0, 4.2846e-14, 0, 0
0.0979594, 0, 7.63327e-14, 0, 1.41421, -7.63327e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.46431e-16, 0, 0, 6.68682e-19, 1.10393e-17, 0, 7.61746e-14, 0, 0
0.105917, 0, 1.34636e-13, 0, 1.41421, -1.34636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.58275e-16, 0, 0, 1.20233e-18, 2.00123e-17, 0, 1.34357e-13, 0, 0
0.113875, 0, 2.36505e-13, 0, 1.41421, -2.36505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 4.5369e-16, 0, 0, 2.15817e-18, 3.62879e-17, 0, 2.36013e-13, 0, 0
0.121833, 0, 4.10519e-13, 0, 1.41421, -4.10519e-13, 0, 0, 0, 0, 0, 0, 0, 0, 7.87498e-16, 0, 0, 3.82067e-18, 6.48267e-17, 0, 4.09662e-13, 0, 0
0.129791, 0, 7.07162e-13, 0, 1.41421, -7.07162e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.35654e-15, 0, 0, 6.71493e-18, 1.15026e-16, 0, 7.05683e-13, 0, 0
0.137748, 0, 1.20903e-12, 0, 1.41421, -1.20903e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.31926e-15, 0, 0, 1.17176e-17, 2.02741e-16, 0, 1.20649e-12, 0, 0
0.145706, 0, 2.05171e-12, 0, 1.41421, -2.05171e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.93577e-15, 0, 0, 2.03035e-17, 3.55006e-16, 0, 2.0474e-12, 0, 0
0.153664, 0, 3.45614e-12, 0, 1.41421, -3.45614e-12, 0, 0, 0, 0, 0, 0, 0, 0, 6.62989e-15, 0, 0, 3.49372e-17, 6.17628e-16, 0, 3.44886e-12, 0, 0
0.161622, 0, 5.77952e-12, 0, 1.41421, -5.77952e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.10869e-14, 0, 0, 5.97082e-17, 1.06772e-15, 0, 5.76731e-12, 0, 0
0.16958, 0, 9.59502e-12, 0, 1.41421, -9.59502e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.84063e-14, 0, 0, 1.01358e-16, 1.83441e-15, 0, 9.57468e-12, 0, 0
0.177537, 0, 1.58154e-11, 0, 1.41421, -1.58154e-11, 0, 0, 0, 0, 0, 0, 0, 0, 3.03395e-14, 0, 0, 1.70924e-16, 3.13237e-15, 0, 1.57818e-11, 0, 0
0.185495, 0, 2.58833e-11, 0, 1.41421, -2.58833e-11, 0, 0, 0, 0, 0, 0, 0, 0, 4.96545e-14, 0, 0, 2.86369e-16, 5.31654e-15, 0, 2.5828e-11, 0, 0
0.193453, 0, 4.20619e-11, 0, 1.41421, -4.20619e-11, 0, 0, 0, 0, 0, 0, 0, 0, 8.06942e-14, 0, 0, 4.76739e-16, 8.97037e-15, 0, 4.19718e-11, 0, 0
0.201411, 0, 6.78752e-11, 0, 1.41421, -6.78752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.30222e-13, 0, 0, 7.88746e-16, 1.50474e-14, 0, 6.77291e-11, 0, 0
0.209369, 0, 1.0877e-10, 0, 1.41421, -1.0877e-10, 0, 0, 0, 0, 0, 0, 0, 0, 2.08693e-13, 0, 0, 1.29705e-15, 2.50973e-14, 0, 1.08535e-10, 0, 0
0.217326, 0, 1.73102e-10, 0, 1.41421, -1.73102e-10, 0, 0, 0, 0, 0, 0, 0, 0, 3.32153e-13, 0, 0, 2.12037e-15, 4.16249e-14, 0, 1.72726e-10, 0, 0
0.225284, 0, 2.73596e-10, 0, 1.41421, -2.73596e-10, 0, 0, 0, 0, 0, 0, 0, 0, 5.2504e-13, 0, 0, 3.44655e-15, 6.86578e-14, 0, 2.72999e-10, 0, 0
0.233242, 0, 4.29492e-10, 0, 1.41421, -4.29492e-10, 0, 0, 0, 0, 0, 0, 0, 0, 8.24324e-13, 0, 0, 5.57143e-15, 1.1264e-13, 0, 4.28549e-10, 0, 0
0.2412, 0, 6.69662e-10, 0, 1.41421, -6.69662e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.28551e-12, 0, 0, 8.959e-15, 1.83828e-13, 0, 6.68183e-10, 0, 0
0.249158, 0, 1.03712e-09, 0, 1.41421, -1.03712e-09, 0, 0, 0, 0, 0, 0, 0, 0, 1.99134e-12, 0, 0, 1.43343e-14, 2.98476e-13, 0, 1.03482e-09, 0, 0
0.257115, 0, 1.59549e-09, 0, 1.41421, -1.59549e-09, 0, 0, 0, 0, 0, 0, 0, 0, 3.0643e-12, 0, 0, 2.28266e-14, 4.82226e-13, 0, 1.59193e-09, 0, 0
0.265073, 0, 2.43821e-09, 0, 1.41421, -2.43821e-09, 0, 0, 0, 0, 0, 0, 0, 0, 4.68441e-12, 0, 0, 3.61907e-14, 7.75359e-13, 0, 2.43271e-09, 0, 0
0.273031, 0, 3.70148e-09, 0, 1.41421, -3.70148e-09, 0, 0, 0, 0, 0, 0, 0, 0, 7.11446e-12, 0, 0, 5.71468e-14, 1.24091e-12, 0, 3.69306e-09, 0, 0
0.280989, 0, 5.58246e-09, 1.1911e-42, 1.41421, -5.58246e-09, 1.1911e-42, 0, 1.1911e-42, 1.1911e-42, 1.1911e-42, 1.1911e-42, 1.1911e-42, 1.1911e-42, 1.07353e-11, 1.1911e-42, 1.1911e-42, 8.99075e-14, 1.97716e-12, 1.1911e-42, 5.56966e-09, 1.1911e-42, 1.1911e-42
0.288947, 0, 8.36449e-09, 2.08149e-41, 1.41421, -8.36449e-09, 2.08149e-41, 0, 2.08149e-41, 2.08149e-41, 2.08149e-41, 2.08149e-41, 2.08149e-41, 2.08149e-41, 1.60954e-11, 2.08149e-41, 2.08149e-41, 1.40989e-13, 3.13685e-12, 2.08149e-41, 8.34512e-09, 2.08149e-41, 2.08149e-41
0.296904, 0, 1.24519e-08, 3.0732e-40, 1.41421, -1.24519e-08, 3.0732e-40, 0, 3.0732e-40, 3.0732e-40, 3.0732e-40, 3.0732e-40, 3.0732e-40, 3.0732e-40, 2.39787e-11, 3.0732e-40, 3.0732e-40, 2.20468e-13, 4.95658e-12, 3.0732e-40, 1.24228e-08, 3.0732e-40, 3.0732e-40
0.304862, 0, 1.84176e-08, 4.01286e-39, 1.41421, -1.84176e-08, 4.01286e-39, 0, 4.01286e-39, 4.01286e-39, 4.01286e-39, 4.01286e-39, 4.01286e-39, 4.01286e-39, 3.5499e-11, 4.01286e-39, 4.01286e-39, 3.43933e-13, 7.80191e-12, 4.01286e-39, 1.8374e-08, 4.01286e-39, 4.01286e-39
0.31282, 0, 2.70696e-08, 2.22042e-37, 1.41421, -2.70696e-08, 2.22042e-37, 0, 2.22042e-37, 2.22042e-37, 2.22042e-37, 2.22042e-37, 2.22042e-37, 2.22042e-37, 5.22331e-11, 2.22042e-37, 2.22042e-37, 5.36423e-13, 1.22519e-11, 2.22042e-37, 2.70045e-08, 2.22042e-37, 2.22042e-37
0.320778, 0, 3.95305e-08, 2.12505e-36, 1.41421, -3.95305e-08, 2.12505e-36, 0, 2.12505e-36, 2.12505e-36, 2.12505e-36, 2.12505e-36, 2.12505e-36, 2.12505e-36, 7.63759e-11, 2.12505e-36, 2.12505e-36, 8.33986e-13, 1.91492e-11, 2.12505e-36, 3.94342e-08, 2.12505e-36, 2.12505e-36
0.328736, 0, 5.73645e-08, 1.85337e-35, 1.41421, -5.73645e-08, 1.85337e-35, 0, 1.85337e-35, 1.85337e-35, 1.85337e-35, 1.85337e-35, 1.85337e-35, 1.85337e-35, 1.11001e-10, 1.85337e-35, 1.85337e-35, 1.29522e-12, 2.98341e-11, 1.85337e-35, 5.72224e-08, 1.85337e-35, 1.85337e-35
