   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_594.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00434691, 0, 1.1539e-13, 0, 1.41421, -1.1539e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05142e-16, 0, 0, 8.78943e-16, 0, 2.80199e-15, 0, 1.11304e-13, 0, 0, 0
0.0121976, 0, 1.72205e-13, 0, 1.41421, -1.72205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04061e-16, 0, 0, 1.3358e-15, 0, 4.31248e-15, 0, 1.65953e-13, 0, 0, 0
0.0200484, 0, 2.55992e-13, 0, 1.41421, -2.55992e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97105e-16, 0, 0, 2.02258e-15, 0, 6.61369e-15, 0, 2.46459e-13, 0, 0, 0
0.0278991, 0, 3.7907e-13, 0, 1.41421, -3.7907e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32709e-15, 0, 0, 3.05123e-15, 0, 1.01066e-14, 0, 3.64585e-13, 0, 0, 0
0.0357498, 0, 5.5916e-13, 0, 1.41421, -5.5916e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95554e-15, 0, 0, 4.58642e-15, 0, 1.53896e-14, 0, 5.37228e-13, 0, 0, 0
0.0436005, 0, 8.21645e-13, 0, 1.41421, -8.21645e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87043e-15, 0, 0, 6.86949e-15, 0, 2.33518e-14, 0, 7.88554e-13, 0, 0, 0
0.0514512, 0, 1.20275e-12, 0, 1.41421, -1.20275e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1971e-15, 0, 0, 1.02531e-14, 0, 3.53099e-14, 0, 1.15299e-12, 0, 0, 0
0.059302, 0, 1.75394e-12, 0, 1.41421, -1.75394e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11337e-15, 0, 0, 1.52518e-14, 0, 5.32075e-14, 0, 1.67936e-12, 0, 0, 0
0.0671527, 0, 2.54807e-12, 0, 1.41421, -2.54807e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87051e-15, 0, 0, 2.26116e-14, 0, 7.99027e-14, 0, 2.43668e-12, 0, 0, 0
0.0750034, 0, 3.68784e-12, 0, 1.41421, -3.68784e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28221e-14, 0, 0, 3.34135e-14, 0, 1.19585e-13, 0, 3.52202e-12, 0, 0, 0
0.0828542, 0, 5.31751e-12, 0, 1.41421, -5.31751e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84638e-14, 0, 0, 4.9219e-14, 0, 1.78377e-13, 0, 5.07145e-12, 0, 0, 0
0.0907049, 0, 7.63879e-12, 0, 1.41421, -7.63879e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64873e-14, 0, 0, 7.22775e-14, 0, 2.65192e-13, 0, 7.27483e-12, 0, 0, 0
0.0985556, 0, 1.09327e-11, 0, 1.41421, -1.09327e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78545e-14, 0, 0, 1.05823e-13, 0, 3.92971e-13, 0, 1.03961e-11, 0, 0, 0
0.106406, 0, 1.55894e-11, 0, 1.41421, -1.55894e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38969e-14, 0, 0, 1.54494e-13, 0, 5.80439e-13, 0, 1.48006e-11, 0, 0, 0
0.114257, 0, 2.21479e-11, 0, 1.41421, -2.21479e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64511e-14, 0, 0, 2.24934e-13, 0, 8.54617e-13, 0, 2.09919e-11, 0, 0, 0
0.122108, 0, 3.13507e-11, 0, 1.41421, -3.13507e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08039e-13, 0, 0, 3.26639e-13, 0, 1.25437e-12, 0, 2.96617e-11, 0, 0, 0
0.129958, 0, 4.42162e-11, 0, 1.41421, -4.42162e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52113e-13, 0, 0, 4.73169e-13, 0, 1.83544e-12, 0, 4.17555e-11, 0, 0, 0
0.137809, 0, 6.21362e-11, 0, 1.41421, -6.21362e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13373e-13, 0, 0, 6.83866e-13, 0, 2.67757e-12, 0, 5.85614e-11, 0, 0, 0
0.14566, 0, 8.70048e-11, 0, 1.41421, -8.70048e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98201e-13, 0, 0, 9.86292e-13, 0, 3.89451e-12, 0, 8.18258e-11, 0, 0, 0
0.153511, 0, 1.21391e-10, 0, 1.41421, -1.21391e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15222e-13, 0, 0, 1.41971e-12, 0, 5.6481e-12, 0, 1.13908e-10, 0, 0, 0
0.161361, 0, 1.68768e-10, 0, 1.41421, -1.68768e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76049e-13, 0, 0, 2.04005e-12, 0, 8.16808e-12, 0, 1.57984e-10, 0, 0, 0
0.169212, 0, 2.33807e-10, 0, 1.41421, -2.33807e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96257e-13, 0, 0, 2.92696e-12, 0, 1.17797e-11, 0, 2.18304e-10, 0, 0, 0
0.177063, 0, 3.22778e-10, 0, 1.41421, -3.22778e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09665e-12, 0, 0, 4.1939e-12, 0, 1.69424e-11, 0, 3.00545e-10, 0, 0, 0
0.184914, 0, 4.44061e-10, 0, 1.41421, -4.44061e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50491e-12, 0, 0, 6.00263e-12, 0, 2.43039e-11, 0, 4.1225e-10, 0, 0, 0
0.192764, 0, 6.08817e-10, 0, 1.41421, -6.08817e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05773e-12, 0, 0, 8.58382e-12, 0, 3.47753e-11, 0, 5.63401e-10, 0, 0, 0
0.200615, 0, 8.31862e-10, 2.14399e-43, 1.41421, -8.31862e-10, 0, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.80356e-12, 2.14399e-43, 2.14399e-43, 1.22666e-11, 2.14399e-43, 4.96355e-11, 2.14399e-43, 7.67156e-10, 2.14399e-43, 2.14399e-43, 2.14399e-43
0.208466, 0, 1.1328e-09, 3.49204e-42, 1.41421, -1.1328e-09, 0, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.49204e-42, 3.80612e-12, 3.49204e-42, 3.49204e-42, 1.75213e-11, 3.49204e-42, 7.06767e-11, 3.49204e-42, 1.04079e-09, 3.49204e-42, 3.49204e-42, 3.49204e-42
0.216316, 0, 1.53748e-09, 4.81402e-41, 1.41421, -1.53748e-09, 0, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 4.81402e-41, 5.14892e-12, 4.81402e-41, 4.81402e-41, 2.50201e-11, 4.81402e-41, 1.00405e-10, 4.81402e-41, 1.40691e-09, 4.81402e-41, 4.81402e-41, 4.81402e-41
0.224167, 0, 2.0799e-09, 5.89666e-40, 1.41421, -2.0799e-09, 0, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 5.89666e-40, 6.94096e-12, 5.89666e-40, 5.89666e-40, 3.57243e-11, 5.89666e-40, 1.4232e-10, 5.89666e-40, 1.89491e-09, 5.89666e-40, 5.89666e-40, 5.89666e-40
0.232018, 0, 2.8046e-09, 6.48736e-39, 1.41421, -2.8046e-09, 0, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 6.48736e-39, 9.32403e-12, 6.48736e-39, 6.48736e-39, 5.10103e-11, 6.48736e-39, 2.01299e-10, 6.48736e-39, 2.54297e-09, 6.48736e-39, 6.48736e-39, 6.48736e-39
0.239869, 0, 3.76983e-09, 6.44807e-38, 1.41421, -3.76983e-09, 0, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 6.44807e-38, 1.24818e-11, 6.44807e-38, 6.44807e-38, 7.28492e-11, 6.44807e-38, 2.84127e-10, 6.44807e-38, 3.40037e-09, 6.44807e-38, 6.44807e-38, 6.44807e-38
0.247719, 0, 5.05149e-09, 5.82032e-37, 1.41421, -5.05149e-09, 0, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 5.82032e-37, 1.66516e-11, 5.82032e-37, 5.82032e-37, 1.04064e-10, 5.82032e-37, 4.00232e-10, 5.82032e-37, 4.53055e-09, 5.82032e-37, 5.82032e-37, 5.82032e-37
0.25557, 0, 6.7483e-09, 4.79466e-36, 1.41421, -6.7483e-09, 0, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 4.79466e-36, 2.21387e-11, 4.79466e-36, 4.79466e-36, 1.48701e-10, 4.79466e-36, 5.62686e-10, 4.79466e-36, 6.01477e-09, 4.79466e-36, 4.79466e-36, 4.79466e-36
0.263421, 0, 8.98828e-09, 3.62369e-35, 1.41421, -8.98828e-09, 0, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 3.62369e-35, 2.93342e-11, 3.62369e-35, 3.62369e-35, 2.12551e-10, 3.62369e-35, 7.89588e-10, 3.62369e-35, 7.95681e-09, 3.62369e-35, 3.62369e-35, 3.62369e-35
0.271272, 0, 1.19371e-08, 2.52465e-34, 1.41421, -1.19371e-08, 0, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 2.52465e-34, 3.87382e-11, 2.52465e-34, 2.52465e-34, 3.03908e-10, 2.52465e-34, 1.10595e-09, 2.52465e-34, 1.04885e-08, 2.52465e-34, 2.52465e-34, 2.52465e-34
0.279122, 0, 1.58089e-08, 1.66169e-33, 1.41421, -1.58089e-08, 0, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 1.66169e-33, 5.09873e-11, 1.66169e-33, 1.66169e-33, 4.34632e-10, 1.66169e-33, 1.54628e-09, 1.66169e-33, 1.3777e-08, 1.66169e-33, 1.66169e-33, 1.66169e-33
