   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_824.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00198365, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00587542, 0, 1.65e-15, 0, 1.41421, -1.65e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33816e-17, 0, 0, 9.18434e-18, 1.49052e-17, 0, 1.61253e-15, 0, 0
0.0137345, 0, 2.69002e-15, 0, 1.41421, -2.69002e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18085e-17, 0, 0, 1.52372e-17, 2.49745e-17, 0, 2.628e-15, 0, 0
0.0215936, 0, 4.36237e-15, 0, 1.41421, -4.36237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53534e-17, 0, 0, 2.51492e-17, 4.16473e-17, 0, 4.26022e-15, 0, 0
0.0294526, 0, 7.0374e-15, 0, 1.41421, -7.0374e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70104e-17, 0, 0, 4.12984e-17, 6.91252e-17, 0, 6.86996e-15, 0, 0
0.0373117, 0, 1.1294e-14, 0, 1.41421, -1.1294e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.14566e-17, 0, 0, 6.74778e-17, 1.14202e-16, 0, 1.10209e-14, 0, 0
0.0451708, 0, 1.80322e-14, 0, 1.41421, -1.80322e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4596e-16, 0, 0, 1.09707e-16, 1.87812e-16, 0, 1.75887e-14, 0, 0
0.0530298, 0, 2.86441e-14, 0, 1.41421, -2.86441e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31756e-16, 0, 0, 1.77495e-16, 3.07476e-16, 0, 2.79274e-14, 0, 0
0.0608889, 0, 4.52718e-14, 0, 1.41421, -4.52718e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66122e-16, 0, 0, 2.85786e-16, 5.01139e-16, 0, 4.41188e-14, 0, 0
0.068748, 0, 7.11938e-14, 0, 1.41421, -7.11938e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75484e-16, 0, 0, 4.57951e-16, 8.13173e-16, 0, 6.93472e-14, 0, 0
0.076607, 0, 1.11403e-13, 0, 1.41421, -1.11403e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00057e-16, 0, 0, 7.30379e-16, 1.31373e-15, 0, 1.08458e-13, 0, 0
0.0844661, 0, 1.73461e-13, 0, 1.41421, -1.73461e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40072e-15, 0, 0, 1.15945e-15, 2.11322e-15, 0, 1.68788e-13, 0, 0
0.0923252, 0, 2.68767e-13, 0, 1.41421, -2.68767e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16915e-15, 0, 0, 1.83214e-15, 3.38465e-15, 0, 2.61381e-13, 0, 0
0.100184, 0, 4.14411e-13, 0, 1.41421, -4.14411e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34271e-15, 0, 0, 2.88199e-15, 5.39847e-15, 0, 4.02788e-13, 0, 0
0.108043, 0, 6.35886e-13, 0, 1.41421, -6.35886e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12612e-15, 0, 0, 4.51317e-15, 8.57444e-15, 0, 6.17673e-13, 0, 0
0.115902, 0, 9.71033e-13, 0, 1.41421, -9.71033e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82302e-15, 0, 0, 7.03651e-15, 1.35625e-14, 0, 9.42611e-13, 0, 0
0.123761, 0, 1.47573e-12, 0, 1.41421, -1.47573e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18813e-14, 0, 0, 1.09233e-14, 2.13645e-14, 0, 1.43156e-12, 0, 0
0.13162, 0, 2.23206e-12, 0, 1.41421, -2.23206e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79586e-14, 0, 0, 1.68857e-14, 3.35184e-14, 0, 2.1637e-12, 0, 0
0.13948, 0, 3.36004e-12, 0, 1.41421, -3.36004e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70148e-14, 0, 0, 2.5995e-14, 5.23758e-14, 0, 3.25465e-12, 0, 0
0.147339, 0, 5.0342e-12, 0, 1.41421, -5.0342e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04453e-14, 0, 0, 3.98572e-14, 8.1519e-14, 0, 4.87238e-12, 0, 0
0.155198, 0, 7.50714e-12, 0, 1.41421, -7.50714e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02665e-14, 0, 0, 6.08723e-14, 1.26383e-13, 0, 7.25962e-12, 0, 0
0.163057, 0, 1.11426e-11, 0, 1.41421, -1.11426e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93793e-14, 0, 0, 9.26154e-14, 1.95185e-13, 0, 1.07654e-11, 0, 0
0.170916, 0, 1.64618e-11, 0, 1.41421, -1.64618e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31935e-13, 0, 0, 1.40398e-13, 3.00303e-13, 0, 1.58891e-11, 0, 0
0.178775, 0, 2.42077e-11, 0, 1.41421, -2.42077e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93844e-13, 0, 0, 2.12088e-13, 4.60314e-13, 0, 2.33415e-11, 0, 0
0.186634, 0, 3.54346e-11, 0, 1.41421, -3.54346e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8348e-13, 0, 0, 3.1932e-13, 7.03011e-13, 0, 3.41288e-11, 0, 0
0.194493, 0, 5.16308e-11, 0, 1.41421, -5.16308e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12647e-13, 0, 0, 4.79263e-13, 1.06983e-12, 0, 4.9669e-11, 0, 0
0.202352, 0, 7.4887e-11, 0, 1.41421, -7.4887e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97905e-13, 0, 0, 7.17217e-13, 1.62237e-12, 0, 7.19495e-11, 0, 0
0.210211, 0, 1.08127e-10, 0, 1.41421, -1.08127e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62366e-13, 0, 0, 1.07042e-12, 2.45192e-12, 0, 1.03742e-10, 0, 0
0.21807, 0, 1.55418e-10, 0, 1.41421, -1.55418e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23813e-12, 0, 0, 1.59365e-12, 3.69336e-12, 0, 1.48892e-10, 0, 0
0.225929, 0, 2.22392e-10, 0, 1.41421, -2.22392e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76956e-12, 0, 0, 2.36745e-12, 5.54548e-12, 0, 2.1271e-10, 0, 0
0.233788, 0, 3.16814e-10, 3.08286e-44, 1.41421, -3.16814e-10, 0, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 2.51767e-12, 3.08286e-44, 3.08286e-44, 3.51025e-12, 8.30051e-12, 3.08286e-44, 3.02485e-10, 3.08286e-44, 3.08286e-44
0.241647, 0, 4.49334e-10, 5.67526e-43, 1.41421, -4.49334e-10, 0, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 5.67526e-43, 3.56597e-12, 5.67526e-43, 5.67526e-43, 5.19623e-12, 1.23869e-11, 5.67526e-43, 4.28185e-10, 5.67526e-43, 5.67526e-43
0.249506, 0, 6.34499e-10, 8.29148e-42, 1.41421, -6.34499e-10, 0, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 8.29148e-42, 5.02825e-12, 8.29148e-42, 8.29148e-42, 7.68177e-12, 1.84318e-11, 8.29148e-42, 6.03357e-10, 8.29148e-42, 8.29148e-42
0.257366, 0, 8.92086e-10, 1.10551e-40, 1.41421, -8.92086e-10, 0, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 1.10551e-40, 7.05875e-12, 1.10551e-40, 1.10551e-40, 1.13446e-11, 2.73505e-11, 1.10551e-40, 8.46332e-10, 1.10551e-40, 1.10551e-40
0.265225, 0, 1.24886e-09, 1.32244e-39, 1.41421, -1.24886e-09, 0, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 1.32244e-39, 9.86555e-12, 1.32244e-39, 1.32244e-39, 1.67413e-11, 4.04769e-11, 1.32244e-39, 1.18178e-09, 1.32244e-39, 1.32244e-39
0.273084, 0, 1.74091e-09, 1.4253e-38, 1.41421, -1.74091e-09, 0, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.4253e-38, 1.37283e-11, 1.4253e-38, 1.4253e-38, 2.46939e-11, 5.97508e-11, 1.4253e-38, 1.64274e-09, 1.4253e-38, 1.4253e-38
0.280943, 0, 2.41667e-09, 1.38977e-37, 1.41421, -2.41667e-09, 0, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.38977e-37, 1.90206e-11, 1.38977e-37, 1.38977e-37, 3.64163e-11, 8.79885e-11, 1.38977e-37, 2.27325e-09, 1.38977e-37, 1.38977e-37
0.288802, 0, 3.34088e-09, 1.23237e-36, 1.41421, -3.34088e-09, 0, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 1.23237e-36, 2.624e-11, 1.23237e-36, 1.23237e-36, 5.37035e-11, 1.29271e-10, 1.23237e-36, 3.13167e-09, 1.23237e-36, 1.23237e-36
0.296661, 0, 4.59979e-09, 9.99017e-36, 1.41421, -4.59979e-09, 0, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 9.99017e-36, 3.60456e-11, 9.99017e-36, 9.99017e-36, 7.92116e-11, 1.89502e-10, 9.99017e-36, 4.29503e-09, 9.99017e-36, 9.99017e-36
0.30452, 0, 6.30782e-09, 7.44019e-35, 1.41421, -6.30782e-09, 0, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 7.44019e-35, 4.9307e-11, 7.44019e-35, 7.44019e-35, 1.16872e-10, 2.77208e-10, 7.44019e-35, 5.86443e-09, 7.44019e-35, 7.44019e-35
0.312379, 0, 8.61631e-09, 5.07719e-34, 1.41421, -8.61631e-09, 0, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 5.07719e-34, 6.71667e-11, 5.07719e-34, 5.07719e-34, 1.72504e-10, 4.0468e-10, 5.07719e-34, 7.97195e-09, 5.07719e-34, 5.07719e-34
0.320238, 0, 1.17247e-08, 3.41092e-33, 1.41421, -1.17247e-08, 0, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 3.41092e-33, 9.1119e-11, 3.41092e-33, 3.41092e-33, 2.54719e-10, 5.89607e-10, 3.41092e-33, 1.07893e-08, 3.41092e-33, 3.41092e-33
0.328097, 0, 1.58952e-08, 2.16696e-32, 1.41421, -1.58952e-08, 0, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 2.16696e-32, 1.23111e-10, 2.16696e-32, 2.16696e-32, 3.76252e-10, 8.5739e-10, 2.16696e-32, 1.45384e-08, 2.16696e-32, 2.16696e-32
0.335956, 0, 2.14712e-08, 1.291e-31, 1.41421, -2.14712e-08, 0, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.291e-31, 1.65669e-10, 1.291e-31, 1.291e-31, 5.55909e-10, 1.24443e-09, 1.291e-31, 1.95052e-08, 1.291e-31, 1.291e-31
0.343815, 0, 2.89021e-08, 7.26212e-31, 1.41421, -2.89021e-08, 0, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 7.26212e-31, 2.22058e-10, 7.26212e-31, 7.26212e-31, 8.21428e-10, 1.80279e-09, 7.26212e-31, 2.60558e-08, 7.26212e-31, 7.26212e-31
