   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_174.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0015742, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00630254, 0, 8.68376e-20, 0, 1.41421, -8.68376e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31616e-22, 0, 3.22133e-24, 3.37824e-23, 0, 8.61689e-20, 0, 0
0.0141793, 0, 1.80561e-19, 0, 1.41421, -1.80561e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3133e-21, 0, 6.80221e-24, 7.15239e-23, 0, 1.79169e-19, 0, 0
0.022056, 0, 3.7121e-19, 0, 1.41421, -3.7121e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69997e-21, 0, 1.42044e-23, 1.49726e-22, 0, 3.68346e-19, 0, 0
0.0299328, 0, 7.54856e-19, 0, 1.41421, -7.54856e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49034e-21, 0, 2.93441e-23, 3.10044e-22, 0, 7.49026e-19, 0, 0
0.0378095, 0, 1.51882e-18, 0, 1.41421, -1.51882e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10468e-20, 0, 5.99928e-23, 6.35331e-22, 0, 1.50708e-18, 0, 0
0.0456863, 0, 3.02469e-18, 0, 1.41421, -3.02469e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19993e-20, 0, 1.21422e-22, 1.2888e-21, 0, 3.00128e-18, 0, 0
0.053563, 0, 5.96365e-18, 0, 1.41421, -5.96365e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33747e-20, 0, 2.43356e-22, 2.58897e-21, 0, 5.91745e-18, 0, 0
0.0614397, 0, 1.16442e-17, 0, 1.41421, -1.16442e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46898e-20, 0, 4.8311e-22, 5.15169e-21, 0, 1.15539e-17, 0, 0
0.0693165, 0, 2.25204e-17, 0, 1.41421, -2.25204e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63792e-19, 0, 9.50197e-22, 1.01572e-20, 0, 2.23455e-17, 0, 0
0.0771932, 0, 4.31518e-17, 0, 1.41421, -4.31518e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13842e-19, 0, 1.852e-21, 1.98479e-20, 0, 4.28163e-17, 0, 0
0.08507, 0, 8.1934e-17, 0, 1.41421, -8.1934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95898e-19, 0, 3.57776e-21, 3.84474e-20, 0, 8.12961e-17, 0, 0
0.0929467, 0, 1.54187e-16, 0, 1.41421, -1.54187e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12137e-18, 0, 6.85186e-21, 7.38462e-20, 0, 1.52984e-16, 0, 0
0.100823, 0, 2.87618e-16, 0, 1.41421, -2.87618e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09177e-18, 0, 1.30108e-20, 1.40665e-19, 0, 2.85373e-16, 0, 0
0.1087, 0, 5.31909e-16, 0, 1.41421, -5.31909e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86839e-18, 0, 2.45002e-20, 2.65784e-19, 0, 5.2775e-16, 0, 0
0.116577, 0, 9.75366e-16, 0, 1.41421, -9.75366e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09341e-18, 0, 4.57578e-20, 4.98226e-19, 0, 9.67728e-16, 0, 0
0.124454, 0, 1.77363e-15, 0, 1.41421, -1.77363e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28986e-17, 0, 8.47712e-20, 9.26721e-19, 0, 1.75972e-15, 0, 0
0.13233, 0, 3.19868e-15, 0, 1.41421, -3.19868e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32619e-17, 0, 1.55802e-19, 1.71067e-18, 0, 3.17355e-15, 0, 0
0.140207, 0, 5.72187e-15, 0, 1.41421, -5.72187e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16109e-17, 0, 2.84111e-19, 3.13428e-18, 0, 5.67684e-15, 0, 0
0.148084, 0, 1.01534e-14, 0, 1.41421, -1.01534e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38367e-17, 0, 5.14099e-19, 5.70072e-18, 0, 1.00733e-14, 0, 0
0.155961, 0, 1.78741e-14, 0, 1.41421, -1.78741e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29981e-16, 0, 9.2321e-19, 1.02943e-17, 0, 1.77329e-14, 0, 0
0.163837, 0, 3.1219e-14, 0, 1.41421, -3.1219e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27022e-16, 0, 1.6455e-18, 1.84583e-17, 0, 3.09719e-14, 0, 0
0.171714, 0, 5.41041e-14, 0, 1.41421, -5.41041e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93434e-16, 0, 2.91128e-18, 3.28679e-17, 0, 5.36748e-14, 0, 0
0.179591, 0, 9.30439e-14, 0, 1.41421, -9.30439e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76587e-16, 0, 5.11334e-18, 5.81275e-17, 0, 9.23041e-14, 0, 0
0.187468, 0, 1.5879e-13, 0, 1.41421, -1.5879e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15466e-15, 0, 8.91668e-18, 1.02111e-16, 0, 1.57525e-13, 0, 0
0.195344, 0, 2.68947e-13, 0, 1.41421, -2.68947e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95565e-15, 0, 1.54394e-17, 1.78192e-16, 0, 2.66798e-13, 0, 0
0.203221, 0, 4.5271e-13, 0, 1.41421, -4.5271e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29187e-15, 0, 2.66188e-17, 3.09992e-16, 0, 4.49082e-13, 0, 0
0.211098, 0, 7.55231e-13, 0, 1.41421, -7.55231e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49164e-15, 0, 4.54491e-17, 5.33914e-16, 0, 7.4916e-13, 0, 0
0.218975, 0, 1.25064e-12, 0, 1.41421, -1.25064e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.094e-15, 0, 7.70831e-17, 9.13866e-16, 0, 1.24055e-12, 0, 0
0.226851, 0, 2.05588e-12, 0, 1.41421, -2.05588e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49495e-14, 0, 1.29882e-16, 1.55465e-15, 0, 2.03925e-12, 0, 0
0.234728, 0, 3.35505e-12, 0, 1.41421, -3.35505e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43971e-14, 0, 2.17457e-16, 2.6289e-15, 0, 3.3278e-12, 0, 0
0.242605, 0, 5.43569e-12, 0, 1.41421, -5.43569e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95286e-14, 0, 3.61824e-16, 4.41937e-15, 0, 5.39138e-12, 0, 0
0.250482, 0, 8.74351e-12, 0, 1.41421, -8.74351e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35868e-14, 0, 5.98415e-16, 7.38665e-15, 0, 8.67194e-12, 0, 0
0.258358, 0, 1.3964e-11, 0, 1.41421, -1.3964e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01561e-13, 0, 9.83973e-16, 1.22772e-14, 0, 1.38492e-11, 0, 0
0.266235, 0, 2.21436e-11, 0, 1.41421, -2.21436e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61069e-13, 0, 1.60894e-15, 2.02947e-14, 0, 2.19606e-11, 0, 0
0.274112, 0, 3.4867e-11, 0, 1.41421, -3.4867e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53653e-13, 0, 2.6169e-15, 3.33709e-14, 0, 3.45774e-11, 0, 0
0.281989, 0, 5.45166e-11, 0, 1.41421, -5.45166e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96677e-13, 0, 4.23498e-15, 5.45926e-14, 0, 5.40611e-11, 0, 0
0.289865, 0, 8.46464e-11, 1.4013e-44, 1.41421, -8.46464e-11, 0, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 6.16058e-13, 1.4013e-44, 6.82145e-15, 8.88722e-14, 1.4013e-44, 8.39346e-11, 1.4013e-44, 1.4013e-44
0.297742, 0, 1.30518e-10, 2.55036e-43, 1.41421, -1.30518e-10, 0, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 2.55036e-43, 9.50204e-13, 2.55036e-43, 1.094e-14, 1.43997e-13, 2.55036e-43, 1.29413e-10, 2.55036e-43, 2.55036e-43
0.305619, 0, 1.99864e-10, 3.87879e-42, 1.41421, -1.99864e-10, 0, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 3.87879e-42, 1.45561e-12, 3.87879e-42, 1.74759e-14, 2.32272e-13, 3.87879e-42, 1.98158e-10, 3.87879e-42, 3.87879e-42
0.313496, 0, 3.03959e-10, 5.2239e-41, 1.41421, -3.03959e-10, 0, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 5.2239e-41, 2.2148e-12, 5.2239e-41, 2.7818e-14, 3.73078e-13, 5.2239e-41, 3.01344e-10, 5.2239e-41, 5.2239e-41
0.321372, 0, 4.59128e-10, 6.28857e-40, 1.41421, -4.59128e-10, 0, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 6.28857e-40, 3.34739e-12, 6.28857e-40, 4.41436e-14, 5.96858e-13, 6.28857e-40, 4.5514e-10, 6.28857e-40, 6.28857e-40
0.329249, 0, 6.88822e-10, 6.8205e-39, 1.41421, -6.88822e-10, 0, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 6.8205e-39, 5.02562e-12, 6.8205e-39, 6.98653e-14, 9.51318e-13, 6.8205e-39, 6.82776e-10, 6.8205e-39, 6.8205e-39
0.337126, 0, 1.02649e-09, 6.69906e-38, 1.41421, -1.02649e-09, 0, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 6.69906e-38, 7.49572e-12, 6.69906e-38, 1.10334e-13, 1.51106e-12, 6.69906e-38, 1.01738e-09, 6.69906e-38, 6.69906e-38
0.345003, 0, 1.51949e-09, 5.99076e-37, 1.41421, -1.51949e-09, 0, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 5.99076e-37, 1.11073e-11, 5.99076e-37, 1.7394e-13, 2.39251e-12, 5.99076e-37, 1.50581e-09, 5.99076e-37, 5.99076e-37
0.352879, 0, 2.23436e-09, 4.90306e-36, 1.41421, -2.23436e-09, 0, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 4.90306e-36, 1.63533e-11, 4.90306e-36, 2.73857e-13, 3.77711e-12, 4.90306e-36, 2.21396e-09, 4.90306e-36, 4.90306e-36
0.360756, 0, 3.26397e-09, 3.69039e-35, 1.41421, -3.26397e-09, 0, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 3.69039e-35, 2.39244e-11, 3.69039e-35, 4.30769e-13, 5.94713e-12, 3.69039e-35, 3.23367e-09, 3.69039e-35, 3.69039e-35
