   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_143.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00360231, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00427536, 0, 6.01419e-19, 0, 1.41421, -6.01419e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39294e-21, 0, 0, 5.40285e-24, 1.2813e-20, 0, 5.83208e-19, 0, 0
0.012153, 0, 1.17566e-18, 0, 1.41421, -1.17566e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0538e-20, 0, 0, 1.07078e-23, 2.55013e-20, 0, 1.13961e-18, 0, 0
0.0200307, 0, 2.27677e-18, 0, 1.41421, -2.27677e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03995e-20, 0, 0, 2.10275e-23, 5.02854e-20, 0, 2.20606e-18, 0, 0
0.0279084, 0, 4.36922e-18, 0, 1.41421, -4.36922e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91313e-20, 0, 0, 4.09264e-23, 9.82717e-20, 0, 4.23177e-18, 0, 0
0.0357861, 0, 8.3107e-18, 0, 1.41421, -8.3107e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43999e-20, 0, 0, 7.89685e-23, 1.9039e-19, 0, 8.04583e-18, 0, 0
0.0436637, 0, 1.56718e-17, 0, 1.41421, -1.56718e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40237e-19, 0, 0, 1.51091e-22, 3.65767e-19, 0, 1.51656e-17, 0, 0
0.0515414, 0, 2.93043e-17, 0, 1.41421, -2.93043e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62106e-19, 0, 0, 2.86713e-22, 6.96972e-19, 0, 2.83449e-17, 0, 0
0.0594191, 0, 5.50037e-17, 0, 1.41421, -5.50037e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91677e-19, 0, 0, 5.48211e-22, 1.33998e-18, 0, 5.31715e-17, 0, 0
0.0672968, 0, 1.01053e-16, 0, 1.41421, -1.01053e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02873e-19, 0, 0, 1.02238e-21, 2.50992e-18, 0, 9.76394e-17, 0, 0
0.0751744, 0, 1.8421e-16, 0, 1.41421, -1.8421e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64501e-18, 0, 0, 1.89227e-21, 4.66659e-18, 0, 1.77896e-16, 0, 0
0.0830521, 0, 3.33226e-16, 0, 1.41421, -3.33226e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97416e-18, 0, 0, 3.47636e-21, 8.61378e-18, 0, 3.21635e-16, 0, 0
0.0909298, 0, 5.98247e-16, 0, 1.41421, -5.98247e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33661e-18, 0, 0, 6.34007e-21, 1.57874e-17, 0, 5.77117e-16, 0, 0
0.0988075, 0, 1.06607e-15, 0, 1.41421, -1.06607e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50429e-18, 0, 0, 1.148e-20, 2.87351e-17, 0, 1.02782e-15, 0, 0
0.106685, 0, 1.88584e-15, 0, 1.41421, -1.88584e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68024e-17, 0, 0, 2.06404e-20, 5.19474e-17, 0, 1.81707e-15, 0, 0
0.114563, 0, 3.31188e-15, 0, 1.41421, -3.31188e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94893e-17, 0, 0, 3.68524e-20, 9.32871e-17, 0, 3.18906e-15, 0, 0
0.12244, 0, 5.77478e-15, 0, 1.41421, -5.77478e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13847e-17, 0, 0, 6.53473e-20, 1.66433e-16, 0, 5.5569e-15, 0, 0
0.130318, 0, 9.99831e-15, 0, 1.41421, -9.99831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89031e-17, 0, 0, 1.15092e-19, 2.95033e-16, 0, 9.61426e-15, 0, 0
0.138196, 0, 1.71901e-14, 0, 1.41421, -1.71901e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52737e-16, 0, 0, 2.01356e-19, 5.19711e-16, 0, 1.65175e-14, 0, 0
0.146074, 0, 2.93512e-14, 0, 1.41421, -2.93512e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60585e-16, 0, 0, 3.49966e-19, 9.09834e-16, 0, 2.81804e-14, 0, 0
0.153951, 0, 4.97732e-14, 0, 1.41421, -4.97732e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41528e-16, 0, 0, 6.04327e-19, 1.58313e-15, 0, 4.7748e-14, 0, 0
0.161829, 0, 8.38332e-14, 0, 1.41421, -8.38332e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43014e-16, 0, 0, 1.03689e-18, 2.7382e-15, 0, 8.0351e-14, 0, 0
0.169707, 0, 1.40253e-13, 0, 1.41421, -1.40253e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24191e-15, 0, 0, 1.76787e-18, 4.70813e-15, 0, 1.34302e-13, 0, 0
0.177584, 0, 2.33084e-13, 0, 1.41421, -2.33084e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06187e-15, 0, 0, 2.99545e-18, 8.04831e-15, 0, 2.2297e-13, 0, 0
0.185462, 0, 3.848e-13, 0, 1.41421, -3.848e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40041e-15, 0, 0, 5.04439e-18, 1.36805e-14, 0, 3.67714e-13, 0, 0
