   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_435.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00261918, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00524625, 0, 3.64878e-20, 0, 1.41421, -3.64878e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08868e-22, 0, 0, 1.55151e-24, 0, 9.81586e-21, 0, 2.65616e-20, 0, 0
0.0131117, 0, 7.57013e-20, 0, 1.41421, -7.57013e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24715e-22, 0, 0, 3.24526e-24, 0, 2.06477e-20, 0, 5.48257e-20, 0, 0
0.0209771, 0, 1.55327e-19, 0, 1.41421, -1.55327e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58708e-22, 0, 0, 6.71433e-24, 0, 4.29463e-20, 0, 1.11915e-19, 0, 0
0.0288426, 0, 3.15328e-19, 0, 1.41421, -3.15328e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26385e-22, 0, 0, 1.37467e-23, 0, 8.83694e-20, 0, 2.26018e-19, 0, 0
0.036708, 0, 6.336e-19, 0, 1.41421, -6.336e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85163e-21, 0, 0, 2.78606e-23, 0, 1.79962e-19, 0, 4.51758e-19, 0, 0
0.0445734, 0, 1.26053e-18, 0, 1.41421, -1.26053e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66409e-21, 0, 0, 5.59149e-23, 0, 3.62849e-19, 0, 8.9396e-19, 0, 0
0.0524389, 0, 2.48379e-18, 0, 1.41421, -2.48379e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18057e-21, 0, 0, 1.11158e-22, 0, 7.24593e-19, 0, 1.75191e-18, 0, 0
0.0603043, 0, 4.84861e-18, 0, 1.41421, -4.84861e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39393e-20, 0, 0, 2.18951e-22, 0, 1.43356e-18, 0, 3.4009e-18, 0, 0
0.0681698, 0, 9.37938e-18, 0, 1.41421, -9.37938e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68115e-20, 0, 0, 4.27418e-22, 0, 2.81072e-18, 0, 6.54142e-18, 0, 0
0.0760352, 0, 1.7984e-17, 0, 1.41421, -1.7984e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11081e-20, 0, 0, 8.27095e-22, 0, 5.46277e-18, 0, 1.24693e-17, 0, 0
0.0839006, 0, 3.41859e-17, 0, 1.41421, -3.41859e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65684e-20, 0, 0, 1.58688e-21, 0, 1.05271e-17, 0, 2.35606e-17, 0, 0
