   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_88.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00124307, 0, 4.81663e-19, 0, 1.41421, -4.81663e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38114e-21, 0, 0, 5.91393e-24, 1.31292e-22, 0, 4.79144e-19, 0, 0
0.00911328, 0, 9.39458e-19, 0, 1.41421, -9.39458e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64427e-21, 0, 0, 1.17238e-23, 2.6025e-22, 0, 9.34542e-19, 0, 0
0.0169835, 0, 1.81575e-18, 0, 1.41421, -1.81575e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97622e-21, 0, 0, 2.30328e-23, 5.11339e-22, 0, 1.80623e-18, 0, 0
0.0248537, 0, 3.47842e-18, 0, 1.41421, -3.47842e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71956e-20, 0, 0, 4.48565e-23, 9.96125e-22, 0, 3.46018e-18, 0, 0
0.0327239, 0, 6.60631e-18, 0, 1.41421, -6.60631e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26582e-20, 0, 0, 8.66181e-23, 1.92449e-21, 0, 6.57164e-18, 0, 0
0.0405941, 0, 1.24415e-17, 0, 1.41421, -1.24415e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15041e-20, 0, 0, 1.65878e-22, 3.6882e-21, 0, 1.23761e-17, 0, 0
0.0484644, 0, 2.32385e-17, 0, 1.41421, -2.32385e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14878e-19, 0, 0, 3.15103e-22, 7.01302e-21, 0, 2.31163e-17, 0, 0
0.0563346, 0, 4.30566e-17, 0, 1.41421, -4.30566e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12846e-19, 0, 0, 5.93858e-22, 1.32335e-20, 0, 4.28299e-17, 0, 0
0.0642048, 0, 7.91476e-17, 0, 1.41421, -7.91476e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91257e-19, 0, 0, 1.11059e-21, 2.47859e-20, 0, 7.87304e-17, 0, 0
0.072075, 0, 1.44366e-16, 0, 1.41421, -1.44366e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13649e-19, 0, 0, 2.06124e-21, 4.60857e-20, 0, 1.43604e-16, 0, 0
0.0799452, 0, 2.61323e-16, 0, 1.41421, -2.61323e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2918e-18, 0, 0, 3.79728e-21, 8.50809e-20, 0, 2.59942e-16, 0, 0
0.0878155, 0, 4.69497e-16, 0, 1.41421, -4.69497e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32085e-18, 0, 0, 6.94458e-21, 1.5598e-19, 0, 4.67013e-16, 0, 0
0.0956857, 0, 8.37294e-16, 0, 1.41421, -8.37294e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13895e-18, 0, 0, 1.26096e-20, 2.84011e-19, 0, 8.32858e-16, 0, 0
0.103556, 0, 1.48238e-15, 0, 1.41421, -1.48238e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32771e-18, 0, 0, 2.27345e-20, 5.13677e-19, 0, 1.47452e-15, 0, 0
0.111426, 0, 2.60568e-15, 0, 1.41421, -2.60568e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28803e-17, 0, 0, 4.07051e-20, 9.22968e-19, 0, 2.59183e-15, 0, 0
0.119296, 0, 4.54777e-15, 0, 1.41421, -4.54777e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24801e-17, 0, 0, 7.23825e-20, 1.6477e-18, 0, 4.52357e-15, 0, 0
