   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00478569, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00309468, 0, 1.80409e-19, 0, 1.41421, -1.80409e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06098e-22, 0, 0, 6.3187e-25, 2.58497e-21, 0, 1.77018e-19, 0, 0, 0
0.0109751, 0, 3.62364e-19, 0, 1.41421, -3.62364e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61865e-21, 0, 0, 1.28579e-24, 5.29147e-21, 0, 3.55453e-19, 0, 0, 0
0.0188554, 0, 7.20646e-19, 0, 1.41421, -7.20646e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21816e-21, 0, 0, 2.59107e-24, 1.07242e-20, 0, 7.06701e-19, 0, 0, 0
0.0267358, 0, 1.41943e-18, 0, 1.41421, -1.41943e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33688e-21, 0, 0, 5.17239e-24, 2.15267e-20, 0, 1.39156e-18, 0, 0, 0
0.0346162, 0, 2.76975e-18, 0, 1.41421, -2.76975e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23615e-20, 0, 0, 1.02311e-23, 4.28105e-20, 0, 2.71457e-18, 0, 0, 0
0.0424966, 0, 5.35553e-18, 0, 1.41421, -5.35553e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38948e-20, 0, 0, 2.00575e-23, 8.43737e-20, 0, 5.24724e-18, 0, 0, 0
0.0503769, 0, 1.02637e-17, 0, 1.41421, -1.02637e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57791e-20, 0, 0, 3.89836e-23, 1.64858e-19, 0, 1.0053e-17, 0, 0, 0
0.0582573, 0, 1.94994e-17, 0, 1.41421, -1.94994e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69452e-20, 0, 0, 7.51277e-23, 3.1939e-19, 0, 1.9093e-17, 0, 0, 0
0.0661377, 0, 3.67313e-17, 0, 1.41421, -3.67313e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63725e-19, 0, 0, 1.43587e-22, 6.13678e-19, 0, 3.59538e-17, 0, 0, 0
0.0740181, 0, 6.86158e-17, 0, 1.41421, -6.86158e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05741e-19, 0, 0, 2.72211e-22, 1.16967e-18, 0, 6.71401e-17, 0, 0, 0
0.0818984, 0, 1.2713e-16, 0, 1.41421, -1.2713e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6627e-19, 0, 0, 5.11968e-22, 2.21193e-18, 0, 1.24352e-16, 0, 0, 0
0.0897788, 0, 2.33656e-16, 0, 1.41421, -2.33656e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04037e-18, 0, 0, 9.55413e-22, 4.15096e-18, 0, 2.28463e-16, 0, 0, 0
0.0976592, 0, 4.26053e-16, 0, 1.41421, -4.26053e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8963e-18, 0, 0, 1.76936e-21, 7.73162e-18, 0, 4.16423e-16, 0, 0, 0
0.10554, 0, 7.70834e-16, 0, 1.41421, -7.70834e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42947e-18, 0, 0, 3.25212e-21, 1.42957e-17, 0, 7.53106e-16, 0, 0, 0
0.11342, 0, 1.38395e-15, 0, 1.41421, -1.38395e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15462e-18, 0, 0, 5.93338e-21, 2.62433e-17, 0, 1.35154e-15, 0, 0, 0
0.1213, 0, 2.46594e-15, 0, 1.41421, -2.46594e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09615e-17, 0, 0, 1.07465e-20, 4.78382e-17, 0, 2.40713e-15, 0, 0, 0
0.129181, 0, 4.36109e-15, 0, 1.41421, -4.36109e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93767e-17, 0, 0, 1.93245e-20, 8.66025e-17, 0, 4.25509e-15, 0, 0, 0
0.137061, 0, 7.65582e-15, 0, 1.41421, -7.65582e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39988e-17, 0, 0, 3.4504e-20, 1.55718e-16, 0, 7.46607e-15, 0, 0, 0
0.144941, 0, 1.33417e-14, 0, 1.41421, -1.33417e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92186e-17, 0, 0, 6.11782e-20, 2.78136e-16, 0, 1.30043e-14, 0, 0, 0
0.152822, 0, 2.30827e-14, 0, 1.41421, -2.30827e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02399e-16, 0, 0, 1.07729e-19, 4.93549e-16, 0, 2.24866e-14, 0, 0, 0
0.160702, 0, 3.96504e-14, 0, 1.41421, -3.96504e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75796e-16, 0, 0, 1.88415e-19, 8.70179e-16, 0, 3.86042e-14, 0, 0, 0
0.168583, 0, 6.76275e-14, 0, 1.41421, -6.76275e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99655e-16, 0, 0, 3.2733e-19, 1.52453e-15, 0, 6.5803e-14, 0, 0, 0
0.176463, 0, 1.14536e-13, 0, 1.41421, -1.14536e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0718e-16, 0, 0, 5.64916e-19, 2.65433e-15, 0, 1.11374e-13, 0, 0, 0
0.184343, 0, 1.92632e-13, 0, 1.41421, -1.92632e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52423e-16, 0, 0, 9.6861e-19, 4.59313e-15, 0, 1.87186e-13, 0, 0, 0
0.192224, 0, 3.2174e-13, 0, 1.41421, -3.2174e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42273e-15, 0, 0, 1.65014e-18, 7.90014e-15, 0, 3.12416e-13, 0, 0, 0
