   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_701.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000863977, 0, 2.85209e-14, 0, 1.41421, -2.85209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07144e-16, 0, 0, 2.7724e-16, 0, 1.71249e-17, 0, 2.81194e-14, 0, 0, 0
0.00871799, 0, 4.35068e-14, 0, 1.41421, -4.35068e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63408e-16, 0, 0, 4.30852e-16, 0, 2.69443e-17, 0, 4.28856e-14, 0, 0, 0
0.016572, 0, 6.60864e-14, 0, 1.41421, -6.60864e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48163e-16, 0, 0, 6.66877e-16, 0, 4.22325e-17, 0, 6.51291e-14, 0, 0, 0
0.024426, 0, 9.99627e-14, 0, 1.41421, -9.99627e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75293e-16, 0, 0, 1.02808e-15, 0, 6.59444e-17, 0, 9.84934e-14, 0, 0, 0
0.03228, 0, 1.50573e-13, 0, 1.41421, -1.50573e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65178e-16, 0, 0, 1.57869e-15, 0, 1.02584e-16, 0, 1.48326e-13, 0, 0, 0
0.0401341, 0, 2.25865e-13, 0, 1.41421, -2.25865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47598e-16, 0, 0, 2.41475e-15, 0, 1.58994e-16, 0, 2.22443e-13, 0, 0, 0
0.0479881, 0, 3.37405e-13, 0, 1.41421, -3.37405e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26588e-15, 0, 0, 3.6794e-15, 0, 2.45515e-16, 0, 3.32214e-13, 0, 0, 0
0.0558421, 0, 5.01956e-13, 0, 1.41421, -5.01956e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88281e-15, 0, 0, 5.58513e-15, 0, 3.77732e-16, 0, 4.9411e-13, 0, 0, 0
0.0636961, 0, 7.43703e-13, 0, 1.41421, -7.43703e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78892e-15, 0, 0, 8.44631e-15, 0, 5.79046e-16, 0, 7.31888e-13, 0, 0, 0
0.0715501, 0, 1.09739e-12, 0, 1.41421, -1.09739e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11424e-15, 0, 0, 1.27271e-14, 0, 8.84459e-16, 0, 1.07966e-12, 0, 0, 0
0.0794041, 0, 1.61271e-12, 0, 1.41421, -1.61271e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0447e-15, 0, 0, 1.91091e-14, 0, 1.34615e-15, 0, 1.58621e-12, 0, 0, 0
0.0872581, 0, 2.36044e-12, 0, 1.41421, -2.36044e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84504e-15, 0, 0, 2.85908e-14, 0, 2.04161e-15, 0, 2.32096e-12, 0, 0, 0
0.0951122, 0, 3.44094e-12, 0, 1.41421, -3.44094e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28905e-14, 0, 0, 4.26314e-14, 0, 3.08554e-15, 0, 3.38233e-12, 0, 0, 0
