   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_850.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0411989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0333045, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02541, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0175156, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00962114, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00172668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00616777, 0, 2.97989e-19, 0, 1.41421, -2.97989e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7255e-22, 0, 0, 5.94685e-22, 0, 8.55178e-23, 0, 2.96736e-19, 0, 0
0.0140622, 0, 5.74904e-19, 0, 1.41421, -5.74904e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10457e-21, 0, 0, 1.16559e-21, 0, 1.67844e-22, 0, 5.72466e-19, 0, 0
0.0219567, 0, 1.09961e-18, 0, 1.41421, -1.09961e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11262e-21, 0, 0, 2.26514e-21, 0, 3.26628e-22, 0, 1.09491e-18, 0, 0
0.0298511, 0, 2.08563e-18, 0, 1.41421, -2.08563e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00683e-21, 0, 0, 4.3656e-21, 0, 6.3041e-22, 0, 2.07663e-18, 0, 0
0.0377456, 0, 3.92352e-18, 0, 1.41421, -3.92352e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53741e-21, 0, 0, 8.3461e-21, 0, 1.20703e-21, 0, 3.90643e-18, 0, 0
0.04564, 0, 7.32215e-18, 0, 1.41421, -7.32215e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40659e-20, 0, 0, 1.58308e-20, 0, 2.2932e-21, 0, 7.28996e-18, 0, 0
0.0535345, 0, 1.35582e-17, 0, 1.41421, -1.35582e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60443e-20, 0, 0, 2.97979e-20, 0, 4.32395e-21, 0, 1.3498e-17, 0, 0
0.061429, 0, 2.49135e-17, 0, 1.41421, -2.49135e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78549e-20, 0, 0, 5.56675e-20, 0, 8.09321e-21, 0, 2.48019e-17, 0, 0
0.0693234, 0, 4.54358e-17, 0, 1.41421, -4.54358e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72713e-20, 0, 0, 1.03233e-19, 0, 1.50397e-20, 0, 4.52302e-17, 0, 0
0.0772178, 0, 8.22534e-17, 0, 1.41421, -8.22534e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57982e-19, 0, 0, 1.90066e-19, 0, 2.7753e-20, 0, 8.18776e-17, 0, 0
0.0851123, 0, 1.47827e-16, 0, 1.41421, -1.47827e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83914e-19, 0, 0, 3.47466e-19, 0, 5.08629e-20, 0, 1.47145e-16, 0, 0
0.0930068, 0, 2.63783e-16, 0, 1.41421, -2.63783e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06593e-19, 0, 0, 6.30807e-19, 0, 9.2592e-20, 0, 2.62553e-16, 0, 0
0.100901, 0, 4.67388e-16, 0, 1.41421, -4.67388e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.9757e-19, 0, 0, 1.13739e-18, 0, 1.67451e-19, 0, 4.65186e-16, 0, 0
0.108796, 0, 8.22406e-16, 0, 1.41421, -8.22406e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57926e-18, 0, 0, 2.037e-18, 0, 3.00884e-19, 0, 8.18489e-16, 0, 0
0.11669, 0, 1.43718e-15, 0, 1.41421, -1.43718e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75966e-18, 0, 0, 3.624e-18, 0, 5.37226e-19, 0, 1.43026e-15, 0, 0
0.124585, 0, 2.49453e-15, 0, 1.41421, -2.49453e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78971e-18, 0, 0, 6.4053e-18, 0, 9.53264e-19, 0, 2.48238e-15, 0, 0
0.132479, 0, 4.3008e-15, 0, 1.41421, -4.3008e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25743e-18, 0, 0, 1.12482e-17, 0, 1.68117e-18, 0, 4.27962e-15, 0, 0
0.140373, 0, 7.36585e-15, 0, 1.41421, -7.36585e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41414e-17, 0, 0, 1.96276e-17, 0, 2.94713e-18, 0, 7.32914e-15, 0, 0
0.148268, 0, 1.25325e-14, 0, 1.41421, -1.25325e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40592e-17, 0, 0, 3.40354e-17, 0, 5.13587e-18, 0, 1.24692e-14, 0, 0
0.156162, 0, 2.11843e-14, 0, 1.41421, -2.11843e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06659e-17, 0, 0, 5.8655e-17, 0, 8.89804e-18, 0, 2.10761e-14, 0, 0
0.164057, 0, 3.55778e-14, 0, 1.41421, -3.55778e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82917e-17, 0, 0, 1.00469e-16, 0, 1.53278e-17, 0, 3.53937e-14, 0, 0
0.171951, 0, 5.93677e-14, 0, 1.41421, -5.93677e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13949e-16, 0, 0, 1.71057e-16, 0, 2.62546e-17, 0, 5.90565e-14, 0, 0
0.179846, 0, 9.84351e-14, 0, 1.41421, -9.84351e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88922e-16, 0, 0, 2.89517e-16, 0, 4.47206e-17, 0, 9.79119e-14, 0, 0
0.18774, 0, 1.62178e-13, 0, 1.41421, -1.62178e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11243e-16, 0, 0, 4.87161e-16, 0, 7.57607e-17, 0, 1.61304e-13, 0, 0
0.195635, 0, 2.65519e-13, 0, 1.41421, -2.65519e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09536e-16, 0, 0, 8.15034e-16, 0, 1.27656e-16, 0, 2.64067e-13, 0, 0
0.203529, 0, 4.3199e-13, 0, 1.41421, -4.3199e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28945e-16, 0, 0, 1.35591e-15, 0, 2.13963e-16, 0, 4.29591e-13, 0, 0
0.211424, 0, 6.98458e-13, 0, 1.41421, -6.98458e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34019e-15, 0, 0, 2.2433e-15, 0, 3.56756e-16, 0, 6.94518e-13, 0, 0
0.219318, 0, 1.1223e-12, 0, 1.41421, -1.1223e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15334e-15, 0, 0, 3.69148e-15, 0, 5.91812e-16, 0, 1.11586e-12, 0, 0
0.227212, 0, 1.79221e-12, 0, 1.41421, -1.79221e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43853e-15, 0, 0, 6.04291e-15, 0, 9.76829e-16, 0, 1.78175e-12, 0, 0
0.235107, 0, 2.84442e-12, 0, 1.41421, -2.84442e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45709e-15, 0, 0, 9.84204e-15, 0, 1.60444e-15, 0, 2.82752e-12, 0, 0
0.243001, 0, 4.48675e-12, 0, 1.41421, -4.48675e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60772e-15, 0, 0, 1.59512e-14, 0, 2.62272e-15, 0, 4.45957e-12, 0, 0
0.250896, 0, 7.03419e-12, 0, 1.41421, -7.03419e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34948e-14, 0, 0, 2.57313e-14, 0, 4.26735e-15, 0, 6.9907e-12, 0, 0
0.25879, 0, 1.0961e-11, 0, 1.41421, -1.0961e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10284e-14, 0, 0, 4.13221e-14, 0, 6.91202e-15, 0, 1.08917e-11, 0, 0
0.266685, 0, 1.69765e-11, 0, 1.41421, -1.69765e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25699e-14, 0, 0, 6.60792e-14, 0, 1.1147e-14, 0, 1.68667e-11, 0, 0
0.274579, 0, 2.61349e-11, 0, 1.41421, -2.61349e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01433e-14, 0, 0, 1.05252e-13, 0, 1.79016e-14, 0, 2.59616e-11, 0, 0
0.282474, 0, 3.99918e-11, 3.78351e-44, 1.41421, -3.99918e-11, 0, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 7.67368e-14, 3.78351e-44, 3.78351e-44, 1.67033e-13, 3.78351e-44, 2.86341e-14, 3.78351e-44, 3.97194e-11, 3.78351e-44, 3.78351e-44
